{'短评内容': '很好！', '短评打分': 5}
{'短评内容': '很好很干净', '短评打分': 5}
{'短评内容': '整体不错  就是发现有几个蟑螂！！！', '短评打分': 4}
{'短评内容': '性價比很高的酒店', '短评打分': 5}
{'短评内容': '這個價位的酒店，真的是很划算了，交通吃飯都很方便', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '为什么圆床没有电脑', '短评打分': 3}
{'短评内容': '城市边缘，周边有点乱，浴室太透明。装修普通，价格不高，早餐太差。房间超大，开车的话，交通倒是挺方便的。', '短评打分': 4}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '一如既往的喜欢这家酒店  就是有天网上有陌生人敲门 敲了两声就走了       我不知道是啥意思。。。。', '短评打分': 5}
{'短评内容': '总体来说还是不错的  就是在顶楼下雨  排水管夜里会有滴水声   环境不错  服务态度也很好  值得推荐', '短评打分': 5}
{'短评内容': '一家经济实惠的酒店，有机会还是住的。', '短评打分': 4}
{'短评内容': '一家经济实惠的酒店，服务不错。', '短评打分': 4}
{'短评内容': '经济实惠的酒店，住住还是不错的。', '短评打分': 4}
{'短评内容': '卫生不错 地段还行比较方便', '短评打分': 5}
{'短评内容': '地点很好，房间也很大，虽然有点旧，但住得蛮舒服。', '短评打分': 5}
{'短评内容': '还可以，房间挺大的，但我的房间里没有椅子，让我站着用电脑吗？打了电话后，也没有人送椅子来。', '短评打分': 5}
{'短评内容': '酒店还算干净，主要是春节带家里人洗个澡，客房里的网络速度还不错！就是周围没什么吃的、超市之类的。', '短评打分': 5}
{'短评内容': '很好，很不错，地处郊区，比较安静，但是设施对得起这个价格，推荐！', '短评打分': 5}
{'短评内容': '缺点：装修有点旧了，隔音不是很好，淋浴房偏小。\n优点：房间大，床大。', '短评打分': 5}
{'短评内容': '酒店的位置有点偏了，不过内部设施还不错\n还能住，性价比中等偏上', '短评打分': 5}
{'短评内容': '酒店比预想的要差\r\n网线插孔也离桌子很远\r\n人得在床边上才可以上网\r\n总之性价比不高', '短评打分': 1}
{'短评内容': '朝向马路的房间受来往车辆鸣笛的影响难以入眠。', '短评打分': 5}
{'短评内容': '除了窗外的鸡鸣声，都挺好的。卫生环境真的很不错，觉得超值', '短评打分': 5}
{'短评内容': '宾馆很干净，服务员态度都很周到热情，感觉就像住在家里一样，很温馨', '短评打分': 5}
{'短评内容': '房间采光好，很明亮。配套设施很齐全，房里可以上网，蛮好的，酒店位置不错，离市中心不远，出行方便', '短评打分': 5}
{'短评内容': '房间不错，价格也适当。', '短评打分': 5}
{'短评内容': '位置不是很好不是在市中心但是周边吃饭还可以，价格还是很合理的，服务也谈不上前台还行。其他的都还不错就是位置方面挺不理想的开车去的话还好但是要是自己搭车过去就不是很方便了。', '短评打分': 5}
{'短评内容': '位置不是很好不是在市中心但是周边吃饭还可以，价格还是很合理的，服务也谈不上前台还行。其他的都还不错就是位置方面挺不理想的开车去的话还好但是要是自己搭车过去就不是很方便了。', '短评打分': 5}
{'短评内容': '也是很一般的酒店，没有什么特别的地方。', '短评打分': 1}
{'短评内容': '也是很一般的酒店，没有什么特别的地方。', '短评打分': 1}
{'短评内容': '硬件条件和软件都挺一般的，服务也不是很跟得上，不过整体来讲还可以.毕竟价位不是很高.', '短评打分': 5}
{'短评内容': '该酒店客房很大，客房服务还算说的过去，不推荐的理由是这个酒店2楼的餐厅服务人员态度极其恶劣，客人退掉重做的菜.他们的处理方式为重新炒一下继续上，其行为不如路边小吃店，所以在该酒店只能住宿不能吃饭，其功能只是比较不错的招待所。', '短评打分': 1}
{'短评内容': '酒店的位置有点偏，但卫生条件还可以接受。', '短评打分': 5}
{'短评内容': '房间总体还可以,就是周边环境差了点!', '短评打分': 5}
{'短评内容': '邻着大街，非常吵，早上基本上无法入睡（5:00早起的朋友可以不用上闹钟了。）\r\n那里是市里，简直就是郊区的郊区，太偏了。\r\n服务还可以。', '短评打分': 1}
{'短评内容': '卫生间很差,简陋的酒店,服务态度很差,酒店说没有刷卡的机器,位置不是很好,', '短评打分': 1}
{'短评内容': '酒店的提供的早餐感觉不太好，别的方面都行，价格优惠，在靖江还算是比较好的酒店', '短评打分': 5}
