{'短评内容': '还算干净，虽然有点小，还是不错的', '短评打分': 5}
{'短评内容': '环境还不错~比较干净~~就是没电梯', '短评打分': 4}
{'短评内容': '这个价位配这样的设备，算是可以啦！', '短评打分': 3}
{'短评内容': '总体感觉还可以，双人房有大间和小间两种，那间的厕所很大，不过老板娘在房间喷了很多空气清新剂，特别难闻。还有房间枕头太软，太低。最可惜没有阳台和海景房。', '短评打分': 3}
{'短评内容': '地点就在旅游大道靠近山的下面，牌子不大，去的驴友要主要看，老板娘人很好，很热情，第一次去的驴友可以向老板娘咨询去哪里吃比较划算。', '短评打分': 5}
{'短评内容': '就是一般的旅馆，感觉还可以。距离大角湾也就5分钟距离', '短评打分': 5}
{'短评内容': '家庭旅社，自费前往小住还可以。如果需要开具正规发票就不能选择了。没有电梯。', '短评打分': 1}
{'短评内容': '暑假黄金旅游期间入住的，幸好订房早，不然都没房呢！房间较大，洗手间也很大。原来担心床小会睡不下女儿和我，原来担心是多余的。2大一小的床足可以睡5个人呢！赚了', '短评打分': 5}
{'短评内容': '酒店还可以，离大角湾较近，还可以停车，有问题找老板娘她还能热心帮我们解答，谢了！', '短评打分': 5}
{'短评内容': '老板娘人很好，很热情，推荐的地方价格很实在。宾馆设施－般但很干净。有机会去还愿意来住。', '短评打分': 3}
{'短评内容': '公寓老板姓卢，我们称她为卢姐。人特别特别细心体贴和周到。我们玩什么吃什么都问她，她知无不言言而不尽，有时候去怕我们找不到还会特意吩咐她老公骑摩托车带我们去，给我们带来很多帮助，在卢姐身上好有家人的感觉。而住宿环境方面也是特别干净整洁，价格也非常公道。交通方面，这个公寓离大角湾也就5分多钟的步行路程，到闸坡汽车站也是比较近，个人认为还是很方便的。公寓旁边的友记大排档以及对面的得意大排档是经卢姐介绍的', '短评打分': 5}
{'短评内容': '酒店不错，老板娘热心介绍当地景点、美食。', '短评打分': 3}
{'短评内容': '公寓属于家庭酒店，价格便宜，在旅游大道主干道旁，老板亲自管理，环境比较干净，床都是1.5米的床，睡得比较舒服。楼下有地方停车，公寓有安装监控，离大角湾广场和步行街好近，步行5分钟。老板很热情，有什么问题都一一帮忙解答，还可以帮忙订海滩门票（团体价43元，散客价50元）和泥焗鸡。有一点不足就是房间的厕所排水管可能没装U型管，偶尔会有点臭味攻出来，希望老板改进。总体来说满意。', '短评打分': 5}
{'短评内容': '环境不不错，老板很热情！', '短评打分': 3}
{'短评内容': '   雅丽阁公寓给人感觉挺干净明朗的，房间也很安静卫生，设备吧，跟酒店没多大区别，挺齐全的，感觉没那么危险。重要的是还有无线wifi，旅游工作两不误，呵呵。\n   旅店位置挺好的，离海滩和一夜埕步行街都很近，我们去的那天人比较多，也就干脆把车都停在了旅店门口，而且旅店门口有摄像头，前台人员又能直接看到，感觉更安全些，步行到大角湾也就不过5分钟而已。另外，最值得一提的还是离闸坡海产市场也很近，说到这', '短评打分': 5}
