{'短评内容': '比较满意 物流速度很快 好评', '短评打分': 5}
{'短评内容': '感觉蛮好的', '短评打分': 4}
{'短评内容': '住的还可以，比较热闹的地方', '短评打分': 5}
{'短评内容': '还不错的酒店。帮别人预定的。可能设施比较陈旧了。但是性价比比较高。适合学生出行。附近交通也方便的嗯。', '短评打分': 5}
{'短评内容': '比较老的酒店', '短评打分': 5}
{'短评内容': '房间算干净，前台效率太低', '短评打分': 4}
{'短评内容': '还算不错！', '短评打分': 5}
{'短评内容': '马路边，声音有点吵，装修也有点老了，周边逛街还算方便，马马虎虎，对住宿不讲究的来说还算可以吧。听起来名气还挺大。', '短评打分': 4}
{'短评内容': '这家宾馆的卫生基本上还是可以，出入也方便，以后出差都住这家宾馆，价格也非常合适的，大家都可以接受这价格', '短评打分': 4}
{'短评内容': '服务很好。', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '还不错，就是灯光有点暗。网络还行。', '短评打分': 5}
{'短评内容': '以前住过，这次入住比以前感觉好不少，性价比还不错的，下次还来。', '短评打分': 3}
{'短评内容': '不怎么样，性价比很低', '短评打分': 2}
{'短评内容': '还好。', '短评打分': 2}
{'短评内容': '名字很大气，其实不咋地，被名字唬住了', '短评打分': 3}
{'短评内容': '性价比不好，装修都是好掉牙的，真不知三星是咋评的', '短评打分': 1}
{'短评内容': '艾，价格较便宜，但房间小，有噪音，服务一般，最不能忍受的竟然有蟑螂？？？？？？？？？？？？？？？？？？', '短评打分': 1}
{'短评内容': '酒店好像没有餐厅，早饭可以去过了红绿灯的一个自助餐厅。\n酒店后面有个KTV，靠天井停车场的房间感觉满吵的，虽然房间装了两层窗。\n房间内卫生状况较差，感觉满脏的。希望能改善改善。', '短评打分': 1}
{'短评内容': '卫生间卫生比较差，后面是KTV，虽然是两扇玻璃，还是比较吵！无早餐！不方便！\n', '短评打分': 1}
{'短评内容': '地理位置较好，但停车困难，无早餐，房间设施陈旧，隔音较差，洗澡水冷热不均，不推荐入住。', '短评打分': 1}
{'短评内容': '房间一进门就是一股脚臭的味道。。。太旧，太脏，房间配备的电脑实在太垃圾，破的要死。。。隔壁的KTV晚上12点还是在大声的放音乐，更要命的是早上7点多又开始放音乐，还要不要让人休息啊。。。\n\n气味污染，声音污染，破旧的家具，脏的毛巾，简直就是一个折磨。。。。', '短评打分': 1}
{'短评内容': '性价比低，服务态度也欠缺。没早饭，硬件条件太差，希望有所改善。', '短评打分': 1}
{'短评内容': '在仙居这样的酒店算不错的了 但是价格偏高 住宿的话 建议在汽车站附近 比较便宜', '短评打分': 5}
