{'短评内容': '床很大，有电脑。网速太慢，其他都挺好。', '短评打分': 3}
{'短评内容': '  环境太差，一塌糊涂', '短评打分': 3}
{'短评内容': '。地方还行吧', '短评打分': 3}
{'短评内容': '还好，电梯不太好使。------------', '短评打分': 5}
{'短评内容': '酒店总体还行。', '短评打分': 3}
{'短评内容': '房间太闷。没有窗户。设施简陋了点。而且没有停车位。。。', '短评打分': 1}
{'短评内容': '还不错，蛮可以的。之前定的时候还有点担忧，但是住的比预想的要好', '短评打分': 5}
{'短评内容': '很方便,有電腦可用,不需要自己帶電腦出門用.', '短评打分': 5}
{'短评内容': '很给力啊```````````````````````', '短评打分': 5}
{'短评内容': '在市区，比较便利。去哪个景点都很方便。酒店条件还行，隔音不好，感觉人来人往非常吵。早餐有待加强。', '短评打分': 5}
{'短评内容': '.早上很吵闹！服务人员素质不高', '短评打分': 3}
{'短评内容': '该酒店位置尚可，设施较差，服务不太好，设施也许调整起来有难度，希望服务上再完善一点，用软件弥补硬件的不足', '短评打分': 1}
{'短评内容': '很一般，房间很小很小，交通还算方便。 以后不会住了。', '短评打分': 1}
{'短评内容': '可以说是非常差的酒店，受网评的误导入住的，请以后的客人慎重考虑！\n高峰期到达苏州，致电给酒店询问如何到达，居然一无所知。接近酒店两三百米的苏州市政府时，再度询问如何到达，依然说不知道，很难理解！\n离店时忘记了开发票，回头再打电话，对方以时间久为由拒绝了！\n', '短评打分': 1}
{'短评内容': '在苏州，这样的价格能住上这样的房间，算是不错了。支持一下。下次还会光顾！', '短评打分': 5}
{'短评内容': '装修比较精致大方的酒店，周边交通出行蛮方便的，服务很专业到位，感觉物超所值', '短评打分': 5}
