{'descr': '不号好，卫生差', 'star': 3}
{'descr': '房间干净整洁', 'star': 5}
{'descr': '前台服务热情，态度好，房间宽敞，干净卫生', 'star': 5}
{'descr': '他家的环境特别好，地理位置优越，出门就有公交站点，屋子很暖和，床很舒服，服务态度很好，屋子隔音好，很满意的一次入住', 'star': 5}
{'descr': '太冷了', 'star': 4}
{'descr': '太一般啦，但是可能一分钱一分货吧！不会再去', 'star': 3}
{'descr': '很喜欢很喜欢周末经常去，店员服务态度非常好，会员会送牛奶，棒棒哒', 'star': 5}
{'descr': '很好', 'star': 5}
{'descr': '房间装修一般，房间卫生一般，服务一般，我定的是经典大床，服务员要给安排无窗房间，有窗还要让加20元钱，我没同意，后来看完我的订单是经典大床才说给安排有窗房间！', 'star': 3}
{'descr': '很一般的客房', 'star': 3}
{'descr': '可以可以可以', 'star': 5}
{'descr': '一般般吧', 'star': 4}
{'descr': '不能去', 'star': 2}
{'descr': '11月初去的，房间供暖很好，很暖和，而且卫生也干净。在正街，位置很好找。', 'star': 3}
{'descr': '这个酒店不提供发票，坑死人了。', 'star': 3}
{'descr': '离火车站很近，环境也挺好的。干净。离超市饭店远了点', 'star': 5}
{'descr': '离火车站很近，环境也挺好的。干净。离超市饭店远了点', 'star': 5}
{'descr': '很干净也很安静交通也方便来长春基本都住这', 'star': 3}
{'descr': ' 不错，环境很好很干净', 'star': 3}
{'descr': '一般般，空间可以设施太差。', 'star': 3}
{'descr': '前台的小姑娘不错，人很热情，我的网络上不去了。帮我跑前跑好弄好了。。谢谢', 'star': 5}
{'descr': '床硬              设施老旧             水不大热', 'star': 1}
{'descr': '一般很吵', 'star': 3}
{'descr': '酒店还行\u3000就是住的圆床房\u3000没窗户\u3000前台也没告诉一声\u3000害我想换时已经没房间了', 'star': 3}
{'descr': '卫生干净，热情。古色古香。早点有点晚，七点开始就好。', 'star': 5}
{'descr': '还是不错的，房间很暖和。位置也还不错。网速也还不错的', 'star': 5}
{'descr': '非常舒适，服务热情周到，下次还去住，很不错的酒店。', 'star': 5}
{'descr': '卫生很一般，浴室的死角都有污迹。\n价钱算便宜的了，地理位置还可以，离工作的地方近。', 'star': 5}
{'descr': '非常不错的酒店，很干净，很暖和，卫生间很大。', 'star': 5}
{'descr': '很干净、设施比较新、价格实惠的一家酒店。推荐！', 'star': 5}
{'descr': '地点优越，价格合理，优质服务，温馨如家，我还会来。', 'star': 5}
{'descr': '不错，交通方便，房音也大，也高，住着舒服。。。。。', 'star': 5}
{'descr': '之前几次入住都很满意 只是上一次入住的房间很不好很冷', 'star': 5}
{'descr': '到省政务大厅办事很近，很高的性价比，继续选择', 'star': 5}
{'descr': '不好，没有电视。网络不通。前台服务人员服务态度很差。', 'star': 3}
{'descr': '浴室是淋浴，设计不合理，没有浴帘，一冲凉全洗手间都是湿的。晚上冲凉，发现水温只是温热，加上喷淋头很高，更觉得冷，通过前台叫来工程部人员看看，说太阳能只能这个温度，没办法调了，晕死。入住时，还发现房间有个苍蝇，打开门赶了半天才赶走。下次不会考虑再住这家酒店了。', 'star': 1}
{'descr': '晚上超级吵！墙壁不隔音！临街晚上车也多！浴室干湿不分……而且还有「小强』', 'star': 5}
{'descr': '还好', 'star': 5}
{'descr': '\n总体感觉很干净.环境温馨.地理位置比较合适.服务态度也不错.本次来长春感觉比以前住的舒服.', 'star': 5}
{'descr': '地板都裂的，灯光偏暗，看上去比较旧，而且窗户外面可以看到其他房间里面，隔音效果不好，卫生也较差，入住时，床上留有灰尘与头发，打扫完毕后还是有头发！', 'star': 3}
{'descr': '地板破 床单上有头发 灯暗 和想想的差距太大', 'star': 5}
{'descr': '服务态度好,厕所有些堵,卫生状况提高会有更多的客人.', 'star': 5}
{'descr': '898商务宾馆位于北京大街和人民大街交汇处人民大街东侧。农业银行吉林分行旁边，乐府酒店后，胜利公园门口斜对面。距离长春火车站步行也就十多分钟左右。距离吉林省委、省政府步行也十多分钟。我住的是大床A，房间很宽敞。配液晶电视，还配有电脑，液晶电视也可以充当电脑显示器。让我很惊讶的是，上网速度超快，基本上在300k/s 以上，瞬时最高也有400k/s.这是我住过的酒店中上网速度最快的一个。对于喜爱上网的', 'star': 5}
{'descr': '898宾馆还算挺好的，除了没有餐厅，卫生服务各方面都好，价格相对这家酒店会员会贵10块，但离公园很林空气很好。很值得.', 'star': 5}
{'descr': '＋没有餐厅，很不方便', 'star': 3}
{'descr': '总体不错，房间也算干净，希望能设置无烟层，另外如果带孩子入住，看到一些成人用品不是很好，还有就是吃饭不方便。', 'star': 5}
{'descr': '＋装修和通风都不错，但细节不好，电梯没有验收证明。望价格能再优惠些，和它的会员价格一样。', 'star': 5}
{'descr': '床垫比较差，一棱一棱的，房间有霉味，临街比较吵，其他还好', 'star': 5}
{'descr': '订的是138元的标间，性价比很不错，很适合居家旅行。房间很干净，也很舒适；床是1.2米宽的，带小孩子完全睡得下；距离火车站很近，打车仅需要5元。唯一觉得不太方便的是，酒店没有餐厅，吃早餐要走大约10分钟，但楼下有超市，如果想吃方便食品，还是可以的。总的来说是很值得推荐的！', 'star': 5}
{'descr': '我睡的房间被单和水壶都比较脏，特别是水壶，最后也没给换，但她很认真地拿新牙刷给我们刷了一阵，但最后也没能变干净', 'star': 5}
{'descr': '卫生，交通，设施都比较不错，就是附近吃饭比较麻烦\r\n总体不错，推荐', 'star': 3}
{'descr': '非常好，很舒适，条件也很好，这个价钱已经很不错了，下次还来。', 'star': 5}
{'descr': '屋内隔音太差。', 'star': 1}
{'descr': '位置很好，性价比不错', 'star': 5}
{'descr': '总体很好，只是酒店临街，特别是临近胜利公园，既有利，也有弊，弊端主要是早上很早就有人扭秧歌，有些吵人，其它都很好。', 'star': 5}
{'descr': '价钱合理，位置不错', 'star': 5}
{'descr': '不错。\r\n火车站比较近。\r\n附近吃饭不太方便。\r\n宾馆没有餐厅。', 'star': 5}
{'descr': '到了长春才发现这个价钱不算便宜，好在宾馆离火车站非常近，吃饭也挺方便的，内部装修的也挺好，美中不足呢，就是热水有点不热。', 'star': 5}
{'descr': '不错，好', 'star': 5}
{'descr': '电视不能用', 'star': 1}
{'descr': '   酒店硬件设施比较的好，服务还好。。', 'star': 5}
{'descr': '离火车站比较近.入住还是相对舒服.说是因为是月底没有发票,用挂号信邮寄给我.这个我很不满意.', 'star': 5}
{'descr': '酒店位于火车站旁，地理位置不错，服务态度也很好，值得推荐', 'star': 3}
{'descr': '地点不错，酒店设施不错，服务不错！', 'star': 5}
{'descr': '住宿环境不错，交通也比较便利', 'star': 5}
{'descr': '还不错', 'star': 5}
{'descr': '凑合', 'star': 5}
{'descr': '位置不错，服务特别热情，入住感觉不错，只是最后没有发票。。。。不能报销，有点遗憾。。。。不过瑕不掩玉吧。。。。总体还是相当不错的。', 'star': 5}
{'descr': '离火车站很近，打车不到5分钟就到了，设施很全，住的是没有窗户的房间，不过感觉还好，不是很闷，空调开过滤就没有什么感觉了。床很硬，毛巾很硬，其他都好。', 'star': 5}
{'descr': '    酒店距离火车站不远，价格较长春市内的一般经济型商务酒店要便宜。服务感觉还好。我住的房间抽水马桶坏了，通知总台后很快就得到修理。\r\n    同一价位的客房，设施和朝向竟然差别很大，这不合适。\r\n    所有类型客房的洗手间都很大，哪怕是只有12平方米的单间也有一个十分宽敞的洗手间。', 'star': 5}
{'descr': '此家酒店在长春的位置很好,去哪里都很方便.房间的暖气很好,舒适度很高,价格合适,下次我还会入住.', 'star': 5}
