{'短评内容': '还不错，热水很足', '短评打分': 5}
{'短评内容': '什么都没有，环境很差，很难找，在小区里面，没人打扫，不过离国展还是比较近，旁边有健身的地方，还是比较好。', '短评打分': 1}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '还不错，对得起这个价格', '短评打分': 5}
{'短评内容': '地方不好找，环境干净整洁，性价比高，离国展不远，地铁站附近，值得拥有！', '短评打分': 5}
{'短评内容': '很不错，性价比超高', '短评打分': 5}
{'短评内容': '比较划算，小区内，房间干净，外面环境安静，隔音较差。', '短评打分': 5}
{'短评内容': '卫生挺好，简单，价格合式', '短评打分': 4}
{'短评内容': '床很大，靠近地铁，价格较便宜', '短评打分': 3}
{'短评内容': '环境好 经济卫生 价格合适  不错', '短评打分': 3}
{'短评内容': '好 不错 环境卫生 价格合适', '短评打分': 3}
{'短评内容': '本来是预定付款了  又多收一份钱-  环境里边很吵 睡不好觉', '短评打分': 1}
