{'短评内容': '酒店走廊的天花板都是霉点 周围晚上很吵 有个会所', '短评打分': 3}
{'短评内容': '早餐不好，不适合带孩子，位置很好离火车站不远，有免费停车场', '短评打分': 4}
{'短评内容': '前台服务员态度差，明明可以2点退房，却硬和我说12点就要退房。早餐一般般，自助的种类不多，但是能吃饱。房间服务设施一般，没有免费的水喝，要自己烧。', '短评打分': 3}
{'短评内容': '前台服务态度超级差，再也不会住了～', '短评打分': 3}
{'短评内容': '安靜，整潔，沒免費礦泉水', '短评打分': 4}
{'短评内容': '设备有些陈旧。', '短评打分': 5}
{'短评内容': '设备老旧不说了，毛巾感觉都没换，感觉恶心，住一次怕一辈子，不会再光临', '短评打分': 5}
{'短评内容': '还好还好还不错', '短评打分': 5}
{'短评内容': '方便快捷，服务环境都很好，棒棒哒', '短评打分': 5}
{'短评内容': '比较窄', '短评打分': 5}
{'短评内容': '差的太多了', '短评打分': 1}
{'短评内容': '每次都是住这酒店，吃住行方便，较新，性价比高', '短评打分': 5}
{'短评内容': '经常入住该酒店，离目的地近，周边吃东西方便，最近在修路，房间经常爆满，难订房。卫生还可以，商务型酒店。', '短评打分': 4}
{'短评内容': '谢谢', '短评打分': 5}
{'短评内容': '一句话 下次去南宁优选目的地', '短评打分': 5}
{'短评内容': '环境优雅，之前朋友都在那里住，不错不错', '短评打分': 5}
{'短评内容': '性价比高', '短评打分': 4}
{'短评内容': '周边环境有吃有喝，酒店服务态度好，设备设施完备', '短评打分': 5}
{'短评内容': '周边环境有吃有喝，酒店服务态度好，设备设施完备', '短评打分': 5}
{'短评内容': '性价比高', '短评打分': 4}
{'短评内容': '住的次数不少，性价比可以，周伟出行方便', '短评打分': 3}
{'短评内容': '服务不错，网络也好用，不过设施比较陈旧，电视遥控不好用，但是由于价格便宜，总体还行。', '短评打分': 5}
{'短评内容': '我入住时间几近凌晨，房间里很冷，空调不制热！太差了！', '短评打分': 1}
{'短评内容': '总体不错，住过后感觉也就值这个价，最糟的是电视，基本没有信号，早餐也还不错。如果再贵一点，那就很不值了。', '短评打分': 5}
{'短评内容': '天妃酒店已经成了我出差的定点酒店了，餐厅的粤菜做得非常地道', '短评打分': 5}
{'短评内容': '每次出差的必然之选，对于酒店的餐饮总体来说是满意的', '短评打分': 5}
{'短评内容': '每次出差到南宁都是住这家酒店，位置合适，餐饮不错', '短评打分': 1}
{'短评内容': '单间房间太小了！出了床就没别的地方。如果再大点就好了！', '短评打分': 1}
{'短评内容': '服务好，但设施有点老化，主要是卫生间排气扇噪音大，淋浴室下水道排水不畅。', '短评打分': 5}
{'短评内容': '服务态度不错，可惜房间内小超市物品不丰富。', '短评打分': 5}
{'短评内容': '酒店有露天免费停车场，周围环境还算安静，设施比较旧。水温不够热，要很久才有热水。感觉比以前在广东地区住的四星要差些。', '短评打分': 5}
{'短评内容': '位置不错，但是房间太旧。设施陈旧，相对这个价格就很不值得。', '短评打分': 1}
{'短评内容': '酒店配套设施不错，晚上也挺安静的，是我喜欢的一家酒店，第二次住了，不错。', '短评打分': 5}
{'短评内容': '+酒店不错，我一直住这里，是这里的常客。', '短评打分': 5}
{'短评内容': '第二次入住了，还不错，交通也方便，下次还住这里', '短评打分': 5}
