{'短评内容': '还行吧，总体不错，下次还会来的', '短评打分': 5}
{'短评内容': '一般吧，适合学生住，交通方便', '短评打分': 2}
{'短评内容': '与想象中有落差，周围的交通倒是挺方便，离厦大近', '短评打分': 3}
{'短评内容': '离厦大和海边都挺近，这点到是不错。不过设施不怎么好，卫生条件一般', '短评打分': 5}
{'短评内容': '卫生间很差，好在第二天换了房间，其他一般', '短评打分': 2}
{'短评内容': '原本定的是楼上的，结果只有一楼和二楼，房间有些小，晚上一只苍蝇嗡嗡的一夜没睡好…', '短评打分': 1}
{'短评内容': '挺好的，老板人很好，接我们过去的。不过吹风机用的比较强呀。', '短评打分': 3}
{'短评内容': '非常非常一般，大家都懂得！希望大家理解。', '短评打分': 1}
{'短评内容': '很雅致的一家小旅店 老板人也好 关键是出行很方便 离主要景区都很近的', '短评打分': 5}
{'短评内容': '是自己的就好了,可以整理得很干净，很有味道。', '短评打分': 5}
{'短评内容': '还不错  房间很大  新装修的  价格来说也还好', '短评打分': 5}
{'短评内容': '舒适。。离景区很近，海边走路大概十五分钟！晚上可以吃到海边的宵夜。骑着自行车，吹着海风！最主要的就是住宿的地方下面的小庭院，有只隔壁的小猫会特别温馨的感觉', '短评打分': 5}
{'短评内容': '谢谢~老板给我们免费升级了房间，房间很漂亮，床也很舒服，很干净，喜欢房间里的香蕉椅。睡在上面看电视很不错哦~谢谢~有机会还会再来的~', '短评打分': 5}
{'短评内容': '到站了会有人来接，这点很好，特别是对我们这种外地人不用花时间找旅馆。院子很漂亮，有椅子，秋千很不错的！还有就是比较方便吧，有晾衣服的地方，还有洗衣机。房间硬件设施都有，能满足需求，最好的还是真的特别安静！下次还会再来！老板走的比较早，不想打扰你，钥匙放在房间桌上，下次再来。', '短评打分': 5}
{'短评内容': '入住还算顺利，到了厦门站我们就给客栈打的电话，小妹告诉我们出站旅游二线西边站下，下了我们就自己找，还好运气较好，没多久就找到47号了。楼下有个院子，还有咖啡椅，秋千环境很好。客厅在二楼，一进去最让我们惊奇的是椅子上躺着一只很大很肥的猫，呵呵老板很热情的给我们介绍她的猫，真的很漂亮也很懒！房间也在2楼，设施基本上都有，老板很随意，洗簌用品没有了我们自己拿就是，很随意但很亲切！住过很多，这家是我觉得最', '短评打分': 5}
{'短评内容': '掌柜的~~我们是202的~今天早上走的匆忙~没来得及跟你说~不好意思啊 ~~~请见谅哦~~环境很好~我和我老公很喜欢~下次去厦门肯定还住你家~嘿嘿~', '短评打分': 5}
{'短评内容': '啥都没有，要多差有多差，还不安全，离市中心又远。被单都没洗干净，连肥皂都没有，拖鞋也很脏', '短评打分': 1}
{'短评内容': '很一般..有蟑螂，有蚂蚁，没电视，不过配了个没电的笔记本。', '短评打分': 1}
{'短评内容': '服务感觉还是不错的，坐车到附近后打电话表示不认识，会开车来接，然后带我们到的是正在装修中的新店，说是比较靠海，不过住在5楼其实也很难看到，其实还是有点楼里面的。\n从住宿的角度来说，所谓的客栈其实也没什么特别之处，只是一幢居民楼改造的而已，想在曾厝垵找一家有点感觉的家庭旅馆的话，那这就不是一个推荐的选择了。房间的话，一般的经济型旅馆的基本配置，比较简单朴素，标间的床蛮大的，这点不错。\n总之个人认为，', '短评打分': 5}
{'短评内容': '本来以为是去老店。结果说是老店已满（话说偶还挺早定的 不会是老板忽悠我），给安排到新店了，远了两站路。新店刚装修完毕，一楼比较杂乱，房间还行，简洁，挺大的，有两个大窗户（有防护栏），阳光很足，普通的家庭旅馆，性价比还行。比较好的一点是，离海滩近，晚上早上还是可以出去逛逛沙滩的。', '短评打分': 5}
{'短评内容': '说是在曾厝垵，但是地点还是挺偏的。还有服务态度，和效率是在不怎么样。虽然我们有自带毛巾、牙刷，但你房间放都没放就太说不过去了吧。而且住的不是我们之前定得的房间，说是没有了。明明已经预定了，到了却说没有了，一点信誉都没有。', '短评打分': 1}
{'短评内容': '非常不错的一间酒店~虽然入住的过程稍显坎坷，可是环境相当不错价格也很公道~最重要是交通方便得很，笔者两个人去旅游感觉异乎寻常的温馨与体贴~对了，无线网络稍微有问题~后来拉了有线~解决了上网的问题~', '短评打分': 5}
{'短评内容': ' 交通不方便 老板态度很好 房间是住房改的 电视 空调都有 物美价廉', '短评打分': 3}
{'短评内容': '不知道老店怎么样，老板过来把我们接去了新店，新店还在装修，该具备的东西还欠缺很多，老板蛮客气。', '短评打分': 1}
{'短评内容': '首先我们在曾厝垵这站下车\n老板来接\n就带我们到一栋公寓楼 每家每户都几乎没装修过\n进了一套 里面只有床铺而已\n然后因为周围在装修 我说太吵 去原店\n老板就带我们去原店\n原店离新的打车要十元 是老板付得\n然后进去我们的是302\n但是说因为打扫阿姨去吃饭\n所以都还是乱七八糟的用过的房间\n我们两点到的 还没有吃饭\n就先放下行李 离开了乱七八糟的房间\n其实旅馆地点不算偏僻\n但是因为不认识路 就变得来回都很', '短评打分': 5}
{'短评内容': '旅馆不好.出租车都不知道在哪里.本人下出租车后找了一个多小时.但老板不错.电话联系后马就来接.赞一个!', '短评打分': 3}
{'短评内容': '老店满员，被安排住在新店一晚,设施及其简陋,位置及其偏僻。新店仅仅是一栋未完成商品房，没有总台，没有服务员，房间里只有床，电视，空调，卫生间，没有镜子桌子电话吹风机等基本配件。卫生间排水孔堵塞严重，最夸张的是卫生间的门只有锁没有把手,害的洗澡后被关在里面很长时间出不来，最后用牙刷插在锁孔里才打开门。极度极度不推荐住！', '短评打分': 1}
{'短评内容': '地方不大好找，但老板十分热情~房间也比较大，就是电视和wifi的信号不大好...另外还可以拜托老板预订外地游哟~', '短评打分': 5}
{'短评内容': '不错的酒店 ， 有特点，挺干净 ，会推荐朋友来着', '短评打分': 5}
{'短评内容': '很喜欢，很温馨，有一种家的感觉，以后还会继续支持的', '短评打分': 5}
{'短评内容': '因为到店已经是下午了，老板以为我们不去了，就把我们原先订的“几米阳光”租给别人了，有点小不满的，不过服务员很热情，帮我们联系了好久，腾出一个一楼的房间给我们，挺感谢她的。但是一楼的房间潮气好重啊，卫生间的水一直流到床脚，很不舒服。不过外面的小院挺阳光挺温馨的，很喜欢那个院子。', '短评打分': 1}
{'短评内容': '老板好热情，房间相当的温馨，阳光很充足，到海边很近，旁边的大排档不但好吃而且也不贵！', '短评打分': 5}
