{'短评内容': '不错不错很不错', '短评打分': 5}
{'短评内容': '有点旧了，好像正在改造样的，不过早餐不错', '短评打分': 4}
{'短评内容': '早餐还可以，但没以前的好了，好像不可以加床，要自己确定，有停车场，很大，位置也还行，离市中心距离不是很远', '短评打分': 4}
{'短评内容': '酒店霉味很大，再三要求下给我更换了房间，没有空调，', '短评打分': 2}
{'短评内容': '早餐品种较多，有停车场。', '短评打分': 4}
{'短评内容': '买的东西不错，物美价廉，很值得购买。', '短评打分': 5}
{'短评内容': '放假跟朋友一起出去玩住的，环境很好，厕所也很干净。酒店服务也很好，前台态度很好。下次出去还是会住这家酒店。', '短评打分': 5}
{'短评内容': '温馨提醒热水洗浴时间不宜超过15--20分钟。早餐也丰富。感觉在这个酒店的人都特别开心，相遇是一种缘分', '短评打分': 5}
{'短评内容': '有朋友过来拜访很方便，特别适宜商务人士。另外电视机可以双向观看，人性化！榻榻米茶道感觉很好，特别我带日本客人都特别喜欢', '短评打分': 5}
{'短评内容': '本人入住的是豪华大床房。整个装潢确实很温馨。很有家的感觉！豪华房：厅，房动静相隔亦相连！给人的感觉很好', '短评打分': 5}
{'短评内容': '很好很好的，非常非常的好，下次还会再光顾的', '短评打分': 5}
{'短评内容': '还好的酒店，大堂很宽广，有气势，挺不错。房间有点一般，商务酒店的感觉，还要加强，酒店早餐一般。停车免费。', '短评打分': 4}
{'短评内容': '不错的一家酒店，是通过携程旅行网搜索功能找到的，赞一个', '短评打分': 5}
{'短评内容': '招待客人的安排，不错', '短评打分': 5}
{'短评内容': '好，不错，好评', '短评打分': 5}
{'短评内容': '房务中心工作人员服务态度差，一个苹果6S的充电器要收100块钱押金，收就收吧，一开始还不情愿开押金单，当客人要求开押金单并盖章时，房务中心的工作人员就干脆改口说没有充电器', '短评打分': 1}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '还好，只是比以前要差了一些，早餐一般。', '短评打分': 4}
{'短评内容': '酒店位置不错，房间面积很好，但与四星标准还有差距！', '短评打分': 4}
{'短评内容': '硬件不错，暖气一般。', '短评打分': 5}
{'短评内容': '床太小、空调不能关、不知道为什么是四星级……一晚上没睡着、楼下停车居然还要收费……不值……', '短评打分': 3}
{'短评内容': '不怎么样，怎么评的四星，服务非常差，毛巾非常旧，防滑垫都是发霉的，被单上有污渍，隔音效果差，非常吵', '短评打分': 1}
{'短评内容': '酒店总体不错', '短评打分': 3}
