{'短评内容': '酒店自有停车场，停车方便。服务很好。', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '酒店早餐非要丰盛，服务热情，性价比非常高，下次肯定会在来，到枣庄的首选！', '短评打分': 5}
{'短评内容': '总觉得名气较大，实际设施与服务一般。有待提高。', '短评打分': 3}
{'短评内容': '酒店位置优越，有24小时保安值守的停车场，早餐没有吃，急着赶路，房间性价比很高，推荐', '短评打分': 5}
{'短评内容': '很好很好很好', '短评打分': 4}
{'短评内容': '很好很好很好', '短评打分': 4}
{'短评内容': '挺好', '短评打分': 4}
{'短评内容': '酒店位置不错，布局夸张', '短评打分': 3}
{'短评内容': '性价比很高，位置还不错。前台工作人员和客房工作人员态度都很好。酒店大堂和房间里卫生都很好，房间设施不错。', '短评打分': 5}
{'短评内容': '地理位置好，交通方便，饭菜可口。', '短评打分': 4}
{'短评内容': '非常不错', '短评打分': 5}
{'短评内容': '设施比较陈旧了，早餐还是不错的，', '短评打分': 3}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '性价比好', '短评打分': 5}
