{'descr': '一般。', 'star': 4}
{'descr': '房间里很大的霉味，让人恶心的那种，如果真的不是没钱的话还是不要住了', 'star': 2}
{'descr': '一般般吧啦', 'star': 4}
{'descr': '开门扑面而来的异味，早知道看评价了。希望这条差评你们可以看见。。。。。。。。。。。。。。。。。。。。', 'star': 2}
{'descr': '第三次', 'star': 5}
{'descr': '酒店整体还不错', 'star': 4}
{'descr': '房间居然有虫子，睡觉的时候会不会爬到被子里', 'star': 3}
{'descr': '还行', 'star': 5}
{'descr': '非常好', 'star': 1}
{'descr': '悲剧的携程给定了两小时最后给了这旅店，承诺大床，到了说没有只有两张单床的，是忽悠客人来的么？ 早知道就去洗澡了。房间干净程度一般偏低，一份价格一分商品。热水到是有，洗涑用具，建议入住的话自带肥皂和洗发水，只能提供这个评价帮助大家了。', 'star': 3}
{'descr': '酒店位置不错，就是设施较旧，电视看不了。', 'star': 4}
{'descr': '住过价格，性价比可以', 'star': 4}
{'descr': '还可以吧', 'star': 4}
{'descr': '位置还行，卫生还行，就是没有照片中那么大。', 'star': 4}
