{'短评内容': '服务态度差哈', '短评打分': 4}
{'短评内容': '酒店位置很好，设施不错，早餐比较丰富，整体体验很好', '短评打分': 5}
{'短评内容': '不错不错不错不错不错不错', '短评打分': 5}
{'短评内容': '总得来说85分', '短评打分': 4}
{'短评内容': '老酒店，还不错，很多年回来一直住这里', '短评打分': 4}
{'短评内容': '老酒店，还不错', '短评打分': 4}
{'短评内容': '酒店不错', '短评打分': 5}
{'短评内容': '不错的酒店，干净卫生，位置优越', '短评打分': 5}
{'短评内容': '酒店好着呢。住着很舒服。', '短评打分': 5}
{'短评内容': '服务态度很好', '短评打分': 5}
{'短评内容': '感觉非常不错，服务很好', '短评打分': 5}
{'短评内容': '不错，干净，舒适。', '短评打分': 5}
{'短评内容': '很好  床很舒服', '短评打分': 5}
{'短评内容': '店方服务极差。', '短评打分': 2}
{'短评内容': '这是我住过最差的酒店，房间隔音很差，房间墙纸是烂的，房间也很小，房间灯安装不合理，灯光很暗。', '短评打分': 2}
{'短评内容': '环境不错 又干净 交通方便 出门就可以逛街', '短评打分': 5}
{'短评内容': '可以', '短评打分': 4}
{'短评内容': '好好好好哈哈哈哈哈哈', '短评打分': 5}
{'短评内容': '好，入住还行，早餐一般。', '短评打分': 3}
{'短评内容': '早上很早楼下那些跳舞的，那个声音开很大，吵得让人无法睡觉。。', '短评打分': 5}
{'短评内容': '房间小，但比较干净。', '短评打分': 3}
{'短评内容': '房间大，舒适，交通方便，很好。只是在我居住期间，外面施工，吵杂。', '短评打分': 5}
{'短评内容': ' 还好，就是交押金不能刷卡', '短评打分': 3}
{'短评内容': '+电话不通，不隔音，服务不好。', '短评打分': 5}
