{'短评内容': '地理位置好，房间比较干净。', '短评打分': 5}
{'短评内容': '综合性价比很高的一个酒店，高新区内的交通特别快捷，早餐15一位，有停车场，位置好，加床不太现实', '短评打分': 5}
{'短评内容': '综合性价比很高的一个酒店，高新区内的交通特别快捷', '短评打分': 5}
{'短评内容': '综合性价比很高的一个酒店，高新区内的交通特别快捷，周边生活配套设施齐全便利。', '短评打分': 5}
{'短评内容': '综合条件不错', '短评打分': 4}
{'短评内容': '酒店故意不提供增值税专票。', '短评打分': 3}
{'短评内容': '房间位置比较好 停车场很方便 唯一不好的是设施比较老旧 然后床单枕套有点不干净', '短评打分': 5}
{'短评内容': '各方面都很好，下次继续', '短评打分': 5}
{'短评内容': '各方面都很好，下次继续', '短评打分': 5}
{'短评内容': '各方面都很好，下次继续', '短评打分': 5}
{'短评内容': '各方面都很好，下次继续', '短评打分': 5}
{'短评内容': '都不错', '短评打分': 4}
{'短评内容': '房间可以，就是上网网速慢，电视好像看不了。', '短评打分': 5}
{'短评内容': '什么都挺好的，唯一就是网络不稳定，经常断。', '短评打分': 5}
{'短评内容': '环境可以，价格有点贵，早餐需另外收费', '短评打分': 5}
{'短评内容': '挺好。满意。推荐。还会去的', '短评打分': 3}
{'短评内容': '那个水是从外面拉回来的  有一种味道；没有wifi', '短评打分': 4}
{'短评内容': '我去西安出差都住着一家，很不错。硬件不错，就是网速慢，', '短评打分': 5}
{'短评内容': '很舒适，宽敞，还有个会客间，我住过性价比最好的酒店，很满意。\n不方便的就是周边比较冷清，没地方吃饭。但是也相对宁静一些，不是那种闹市地段。比较适合商务人士出差商旅居住。', '短评打分': 5}
{'短评内容': '环境很干净，热洗澡水很舒适，周围环境比较安静。。。倾力推荐！', '短评打分': 5}
{'短评内容': '房间很大，还有个阳台会客沙发茶几，很不错，最适合商旅人士。', '短评打分': 5}
{'短评内容': '在唐延路办事，应该说这家酒店是附近性价比最高的了，唯一的缺点是卫生间太小，身材魁梧的人洗澡会比较别扭，但是酒店很安静、房间也很整洁，对了，网速不是很快，办公的话会有些小着急。', '短评打分': 5}
{'短评内容': '感觉还是不错的，比较整洁。 。 简单舒适', '短评打分': 5}
{'短评内容': '环境不错，很清静', '短评打分': 3}
{'短评内容': '不错，代朋友预定，单位一般来客都选择此处，简单方便又实惠。', '短评打分': 5}
{'短评内容': '房间比一般快捷酒店大，有个小阳台，非常舒服，洗手间略小，整体感觉很好', '短评打分': 5}
{'短评内容': '房间很大，住着挺舒服的，还有个阳台有两个沙发和小桌，要是玻璃弄成双层隔音的就更好了', '短评打分': 5}
{'短评内容': '卫生条件太差了，入住的时候感觉没有仔细打扫过，拖鞋很脏。', '短评打分': 1}
{'短评内容': '价格便宜，房间和阳台超大，来高新区附近可以考虑', '短评打分': 5}
{'短评内容': '房间不错，交通方便，下次还会住', '短评打分': 3}
{'短评内容': '环境还行，房间也很舒适，阳台不错。就是洗手间太挤，网络不好。', '短评打分': 3}
{'短评内容': '交通便捷，房间比较整洁，这个价位170还比较经济实用。', '短评打分': 5}
{'短评内容': '住几次了，交通很方便，离火车站和办事的地方很方便。房间价格170也还行。', '短评打分': 5}
