{'短评内容': '不错啊，比较近', '短评打分': 5}
{'短评内容': '天天住天天住', '短评打分': 5}
{'短评内容': '已经住了好几天了', '短评打分': 5}
{'短评内容': '已经住了好几天了', '短评打分': 5}
{'短评内容': '房间烟味太大了，窗户也是打不开的，整个闷闷的', '短评打分': 5}
{'短评内容': '交通便利。', '短评打分': 4}
{'短评内容': '交通可以，旁边有包子铺早点', '短评打分': 3}
{'短评内容': '卫生间很脏', '短评打分': 4}
{'短评内容': '毕竟这个价位，综合来说还是比较好的。唯一的问题是酒店灯也太暗了吧。开了跟没开一样。还有就是只有一次性拖鞋，洗澡很不方便。', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '房间窗户不通风，靠路边噪音较大', '短评打分': 4}
{'短评内容': '还不错总体满意', '短评打分': 5}
{'短评内容': '环境不错，设施相对齐全，还是很不错的。服务态度也很好。', '短评打分': 5}
{'短评内容': '环境不错适合出行什么都方便，总之挺好的', '短评打分': 3}
{'短评内容': '环境还可以，关键是离办事的地方近', '短评打分': 3}
{'短评内容': '设施住宿还行，离火车南站近', '短评打分': 4}
