{'descr': '酒店自己出了问题', 'star': 5}
{'descr': '非常好，服务热情，主动告诉我如何可以拿到很更便宜的价位，服务人员微笑服务让我又如到家一般的感觉，希望可以继续保持！', 'star': 5}
{'descr': '酒店费用不含早餐，没去吃，加床问题没有涉及到，带孩子完全没有问题，位置在十字路交叉口，门口应该可以停车', 'star': 5}
{'descr': '极差', 'star': 4}
{'descr': '挺好', 'star': 5}
{'descr': '位置蛮好的，停车方便', 'star': 5}
{'descr': '汉庭酒店(秦皇岛文化路店) 双床房A\n&yen;124.00', 'star': 5}
{'descr': '酒店很好，服务态度也很好，总之就是各种好，666，不错', 'star': 5}
{'descr': '挺好，挺好，挺好，挺好', 'star': 5}
{'descr': '，', 'star': 5}
{'descr': '不过可以 ', 'star': 4}
{'descr': '还行吧 可以 ', 'star': 4}
{'descr': '挺好', 'star': 5}
{'descr': '挺好的，周边很方便', 'star': 5}
{'descr': '还行吧，一般般。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '周围很方便！', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '好', 'star': 3}
{'descr': '环境还可以，适合商务出差。', 'star': 3}
{'descr': '汉庭还是很不错的，就是隔音效果还需加强，前台还是很热情的。', 'star': 3}
{'descr': '位置还不错', 'star': 3}
{'descr': '酒店总体还行，就是房间隔音不太好，窗户外面晚上太亮了', 'star': 5}
{'descr': '环境不错，交通方便', 'star': 3}
{'descr': '离出差要去的公司不远，特地选的这家店，交通方便，办入住时前台MM很热情，订的高级大床房161的，还有个高级大床房A和特价大床房不知道什么样的，我看介绍上写高级大床房A面积10平，估计特价大床房也差不多，所以果断选了161的，出差就是要住的舒服嘛，酒店宽带是电信的，浏览网页速度很快，比以前住的汉庭感觉要快些，不过限制了速度为100K，有点小不爽，电视是液晶的，这个也比住过的其它汉庭同类型房间要好，虽', 'star': 5}
{'descr': '服务很好  内部装潢业很好   推荐大家入住  酒店对面金汉斯还不错  很对胃口 ', 'star': 5}
{'descr': '很干净，方便便捷。刚开的酒店很值得推荐。价格也不贵', 'star': 5}
{'descr': '入住酒店感觉不错。', 'star': 3}
{'descr': '新开的，设施比较新，服务也很好！就是第一次订是还是二百以下，再定的时候就二百多了，价格不是很稳定。', 'star': 5}
{'descr': '服务热情，周到！交通方便，离中心商场很近，房间内的设施都很是的不错！！最主要赶上活动，很多品牌洗护用品，免费赠送！！网速也很快！！', 'star': 5}
{'descr': '地方不错。装修的还好。手开的发票。总的来说，还是相当不错的。', 'star': 5}
{'descr': '环境舒适  工作人员服务态度很好 服务意识强  尤其是那个脸小小的  声音有点沙哑的 笑起来还挺甜的前台 ~~~~', 'star': 5}
{'descr': '已入住', 'star': 3}
{'descr': '该酒店新开业，交通方便，房间干净。不错。', 'star': 3}
{'descr': '很好  前台服务人员很热情 房间赶紧设备齐全就是有点小 对得住这个价格了 早餐虽然没有免费 两人15 东西很好吃 早餐吃的东西很丰盛 非常满意 下次去 首选这家', 'star': 5}
{'descr': '酒店很多。', 'star': 3}
