{'短评内容': '酒店性价比很高，卫生干净，环境不错。前台服务员态度不错。', '短评打分': 5}
{'短评内容': '。。？？？？。好', '短评打分': 5}
{'短评内容': '听着方便，早餐可以。位置方便。', '短评打分': 5}
{'短评内容': '没有早餐，携程价和到店挂价是一样一样的。卫生间的抽风机效果不太好，匆匆一夜，没来得及细细品味。床不错，软软的。舒服', '短评打分': 5}
{'短评内容': '酒店大姐待人热情。前台服务也很好', '短评打分': 5}
{'短评内容': '客户来了，经常订这里的，主要出行市场比较方便，逛市场累了，如果酒店太远坐车不方便，所以住得近也是好的。', '短评打分': 4}
{'短评内容': '价廉物美可以滴', '短评打分': 5}
{'短评内容': '挺不错的。', '短评打分': 5}
{'短评内容': '交通很方便', '短评打分': 5}
{'短评内容': '很满意', '短评打分': 4}
{'短评内容': '一般，还行吧。', '短评打分': 3}
{'短评内容': '还可以......................... ，', '短评打分': 4}
{'短评内容': '酒店的卫生情况还可以，就是门牌标识有点乱，找了半天才找到房间，1091.', '短评打分': 5}
{'短评内容': '很方便', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '   位置不错，离火车站很近，服务员还帮我升级了房间。很好，设施也很齐全，很多外商都住那边，下次去还会住那的', '短评打分': 5}
{'短评内容': ' 刚装修的房间，门很难打开，电源还有问题，郁闷。', '短评打分': 3}
{'短评内容': '环境很不错哦，喜欢：）', '短评打分': 3}
{'短评内容': '酒店周边吃东西不太方便，其它都很好，还算对得起价格，好评推荐', '短评打分': 3}
{'短评内容': '还好，毕竟价格在这里。感觉有点旧，大堂挺漂亮的。', '短评打分': 3}
{'短评内容': '床和被子不错！睡的比较舒服。\n\n就是没有早餐不方便。\n\n房间里没有瓶装的矿泉水。\n\n电梯很旧，有点脏。\n\n房间里不线网络稳定性一般，靠近门口会好点。\n\n总体还OK吧。', '短评打分': 5}
{'短评内容': '酒店所处地方交通方便，但是酒店本身设备陈旧，价格偏高，相对火车站附近的酒店是没多大的区别。', '短评打分': 3}
{'短评内容': '酒店理火车站很近，交通方便', '短评打分': 3}
{'短评内容': '还不错的哦~', '短评打分': 3}
{'短评内容': '房间的床很不错，睡觉很舒服，入住的时候在装修，气味比较浓。', '短评打分': 5}
