{'短评内容': '各方面都不错，就是有些贵。', '短评打分': 5}
{'短评内容': '出行方便，位置好找', '短评打分': 5}
{'短评内容': '不错，挺合适', '短评打分': 5}
{'短评内容': '充电器都没有，没见过那么差劲的酒店，又贵，又残旧，网上相片都是假的，没有一点舒适感。', '短评打分': 1}
{'短评内容': '携程价格有bug', '短评打分': 1}
{'短评内容': '环境不错，设施都挺新的，商务旅游合适，交通挺方便的，附近有很多餐饮娱乐等，下一次出行还可以住在这里。', '短评打分': 4}
{'短评内容': '国庆节去的，1700的价格不值，房间小。出行方便', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '离地铁站步行5分钟的距离，房间很宽敞，服务号。到店有酒水和小食赠送。就是房间外的风景不是很好，还是值得推荐。', '短评打分': 5}
{'短评内容': '周边生活，购物很方便，房间卫生优良', '短评打分': 4}
{'短评内容': '酒店整体感觉不错，去入境处很方便。', '短评打分': 5}
{'短评内容': '交通便利，环境很好，每次出差必选。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '环境不错，交通便利，出差必选！', '短评打分': 5}
