{'短评内容': '比较老的酒店了，洗手间的下水都是堵的，体验不好', '短评打分': 3}
{'短评内容': '很好，环境很好，梳子好用，我带走了。另外就是挺好的，房间不是很小。还可以，在我接受范围之内，比我这趟出差其他住的地方好', '短评打分': 5}
{'短评内容': '房间有点太陈旧，标间178元，对不起这个价', '短评打分': 3}
{'短评内容': '好好好，特别喜欢', '短评打分': 5}
{'短评内容': '很好，非常满意', '短评打分': 5}
{'短评内容': '没房    真不好', '短评打分': 5}
{'短评内容': '环境老旧，卫生一般，但早饭不错', '短评打分': 4}
{'短评内容': '很老的酒店', '短评打分': 4}
{'短评内容': '酒店太老了，设备很陈旧，卫生状况很差！', '短评打分': 3}
{'短评内容': '前台哪个脸啊难看！', '短评打分': 4}
{'短评内容': '挺不错的，房间干净，周边购物房产', '短评打分': 5}
{'短评内容': '老酒店了吧，总体来书还可以。', '短评打分': 4}
{'短评内容': '不错..............', '短评打分': 5}
{'短评内容': '值得推荐的酒店，可以入住', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '还好，价格很低，我感觉超实惠。。。。。停车方便', '短评打分': 5}
{'短评内容': '从开业到现在一直就在这家酒店住，慢慢看着这家酒店的兴起和艰难，这次入住看到客流量开始恢复，尽管比较偏僻，但是价格已经调整到合理的价位了，还是比较经济实惠的!', '短评打分': 1}
{'短评内容': '推荐，挺不错的！房间挺大，早餐也可以……', '短评打分': 5}
{'短评内容': '交通便利，适合自驾，房间宽敞，但设施有些陈旧，相对价格而言，超值。', '短评打分': 5}
{'短评内容': '酒店性价比较高，房间宽敞，卫生也可以，早餐热菜一般，凉菜还不错', '短评打分': 5}
{'短评内容': '不错，环境舒适，交通便利，以后还会来的，凑字，凑字', '短评打分': 5}
{'短评内容': '挺好舒适', '短评打分': 3}
{'短评内容': '价格实惠，早餐不错。房间面积很大，硬件设施稍微差点儿，房间老断电，一般每天最少三次，我都成电工了。', '短评打分': 5}
{'短评内容': '房间很大，早餐也不错。就是房间卫生一般，还有就是房间老断电，一般每天最少断三次！', '短评打分': 5}
{'短评内容': '关于桃园国际酒店，总体来讲还是不错的，包括环境、服务，但是硬件相对不足，比较多的房间都不能上网，实在是一大短板！', '短评打分': 5}
{'短评内容': '酒店整体不错，停车方便，服务挺好。只是住2楼不方便，要先上到三楼再下到二楼。', '短评打分': 5}
{'短评内容': '这样的价位，感觉超值！', '短评打分': 3}
{'短评内容': '酒店性价比高', '短评打分': 3}
{'短评内容': '大厅服务不怎么样，客房的服务员服务很好 。', '短评打分': 5}
{'短评内容': '环境很好，洗澡水很大。', '短评打分': 3}
{'短评内容': '服务很好，就是退房速度太慢。', '短评打分': 3}
{'短评内容': '环境很好自助餐很好', '短评打分': 3}
{'短评内容': '酒店不错，早餐味道很好，性价比超高。', '短评打分': 3}
{'短评内容': '环境 好 ,半夜的时候 空调不 热,服务很一般.总之不是很满意.', '短评打分': 5}
{'短评内容': '有点冷', '短评打分': 3}
{'短评内容': '环境很好，暖和。', '短评打分': 3}
{'短评内容': '房间一般般吧，算不是上四星，房间面积挺大的，但是装饰太少了，看上去空空的，总体来说一般般，希望贵酒店能够合理的改善一下。', '短评打分': 5}
{'短评内容': '嗯  感觉挺好的  服务员态度挺好的\r\n                ※锋※', '短评打分': 3}
{'短评内容': '环境还可以，设施有些旧，总体来说还可以！', '短评打分': 3}
{'短评内容': '房间够大，让人舒心，位于市中心，很好找，周围环境不错。', '短评打分': 5}
{'短评内容': '位置太偏了。这么热的天居然不开中央空调。', '短评打分': 1}
{'短评内容': '还不错，一个非常有特点的酒店，房间里装饰比较古色古香', '短评打分': 5}
{'短评内容': '差不多', '短评打分': 3}
{'短评内容': '酒店的服务挺好的，房间卫生条件也不错，打扫的很干净，服务员都是随叫随到的，感觉各方面都不错', '短评打分': 5}
{'短评内容': '酒店房间装修的不错，硬件设施很齐全，服务也特好，酒店大堂装修的比较庄重古朴，也蛮豪华，感觉还是比较适合我的身份的', '短评打分': 5}
{'短评内容': '酒店整体印象还是不错的，地理位置还可以，出行比较方便，房间硬件设施齐全，也很新，房里也可以上网，还是蛮方便的', '短评打分': 5}
{'短评内容': '0+按四星标准硬件差点，服务很好', '短评打分': 5}
{'短评内容': '酒店出行还是比较方便的，门口公交挺多的。', '短评打分': 5}
{'短评内容': '最后一次入住，虽然所有的服务员态度都很好', '短评打分': 1}
{'短评内容': '服务上也不错，还比较专业，态度也挺热情的。', '短评打分': 5}
{'短评内容': '房间色彩搭配的挺协调，硬件设施也挺不错，住的挺舒适的。', '短评打分': 5}
{'短评内容': '房间装修的很素雅，家具看上去也挺结实的，打扫的很干净，住的还挺舒适的。', '短评打分': 5}
{'短评内容': '酒店的地理位置离市区有点儿远，但酒店是个新酒店，所以酒店的服务、卫生、设施都非常不错', '短评打分': 5}
