{'短评内容': '很一般的酒店', '短评打分': 3}
{'短评内容': '最好服务员不要没有允许进房间', '短评打分': 5}
{'短评内容': '刚开始给的房间一推进去一股味，换了间还好点，总体感觉一般般吧', '短评打分': 3}
{'短评内容': '酒店整体设施已有较多年代，特别是墙纸地毯十分老旧！！房间卫生状况较差，住在十楼蚊子依然很多，夜里被扰得难以入眠，第二天早上打死13只满血蚊子，现在想起都恐怖！总之是环境很差，比一般快捷酒店都差！再也不会入住了！！', '短评打分': 3}
{'短评内容': '氛围较好交通方便快捷早餐丰富多元化', '短评打分': 5}
{'短评内容': '不错。。。。。。。。。。。。环境还是可以的。', '短评打分': 5}
{'短评内容': '挺不错了', '短评打分': 5}
{'短评内容': '环境卫生，很不错！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '前台服务质量超级差。而且感觉我是得罪她一样。  首先我来这里消费。态度要好。如果我做的不对说。今天的前台  11月24。下次绝对不可能来这里了。希望外来的旅客可以看到我的评论。一个酒店服务态度不好。你住的也不开心', '短评打分': 2}
{'短评内容': '周边环境太吵，酒店服务员态度冷淡', '短评打分': 3}
{'短评内容': '价格优惠，位置很方便，出差首选', '短评打分': 4}
{'短评内容': '一如既往的支持！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '酒店有点老了，床垫太硬，房间卫生很好，价格有点贵，4星的价格，一般小酒店的床去。', '短评打分': 4}
{'短评内容': '酒店装修比较老，给人一种昏暗的感觉，早餐也不是很好。', '短评打分': 5}
{'短评内容': '连个热空调都没有 什么酒店啊真是 弄得我感冒了', '短评打分': 4}
{'短评内容': '行政房差，很差，咖啡夜没，环境差，很老，房间不大', '短评打分': 3}
{'短评内容': '去杭州出差经常住的酒店，比较实惠。这次入住的房间空调不太给力，不过后来给换了房间。总的来说出差住住还是可以的。', '短评打分': 5}
{'短评内容': '去杭州出差经常住的酒店，比较实惠。不过这次去空调很不给力啊，不过后来给换了间房，总体来说出差随便住住还是可以的。', '短评打分': 5}
{'短评内容': '装修一般，有点老了。住5楼没点蚊香，被蚊子烦了一晚。', '短评打分': 3}
{'短评内容': '早餐每天一样，换换口味', '短评打分': 3}
{'短评内容': '房间陈旧，早餐一般', '短评打分': 3}
{'短评内容': '房间陈旧，早餐一般，和其他地方的戴斯没法比！', '短评打分': 5}
{'短评内容': '房间太旧', '短评打分': 3}
{'短评内容': '酒店地理位置较好，离市中心比较近，服务态度较好，早餐还比较丰富，但硬件设施比较陈旧，房间也比较小。', '短评打分': 5}
{'短评内容': '很好，干净卫生，豪华气派，服务周到，比想象中好。', '短评打分': 5}
{'短评内容': '床单不干净有味道装修太落后了房间还是满大的', '短评打分': 3}
{'短评内容': '房间较宽敞   也很干净  只是整体感觉装修比较老  性价比还可以', '短评打分': 3}
{'短评内容': '\ue667 性价比很好的四星酒店。', '短评打分': 3}
{'短评内容': '地理环境不错,设施有点旧,但总体来说还是比较清洁.美容美发是亮点!', '短评打分': 5}
{'短评内容': '酒店设施比较老旧，房间也稍小，价格便宜', '短评打分': 3}
{'短评内容': '这样的酒店才叫酒店么,干净,空间也够大,住的挺舒服,关键早饭还挺丰富!', '短评打分': 5}
{'短评内容': '总体来说一般，就是晚上蚊子多了些，周边吃饭的地方不多，酒店都是南方口味，吃不惯，出来找别的地方又不方便', '短评打分': 5}
{'短评内容': '房间装修太老旧，尽管早餐比较丰富，但仍显得性价比不高，应该尽快重新装修房间了。', '短评打分': 1}
{'短评内容': '有些旧，但是在酒店吃饭还是挺实惠的。下次去还会住在这里。', '短评打分': 5}
{'短评内容': '豪华房较安静，设施简单陈旧，自助早餐品种多，交通便利。', '短评打分': 1}
{'短评内容': '距离西湖非常远。而且房间设施很陈旧。不过还算干净。早餐不错。\n前台接待非常不负责任。说话不算话。', '短评打分': 1}
{'短评内容': '房间蛮陈旧的，虽然干净但总会感觉有些不太舒服，房间的窗户隔音也不是很好', '短评打分': 1}
{'短评内容': '装潢陈旧，离物产大厦最近，去那里办事较为方便！', '短评打分': 1}
{'短评内容': '房间还是不错的，就是空调有点响。早餐品种比以前少了。', '短评打分': 5}
{'短评内容': '帮朋友定的，他在周边办事，不过好象除了离办事的地方近点可以避免杭州出租的不好乘坐之外就没有什么可说的了。', '短评打分': 1}
{'短评内容': '就在铁路边，很吵，而且房间很旧的感觉。早餐差的一塌糊涂', '短评打分': 1}
{'短评内容': '酒店设施老旧，服务也跟不上，房间有味道，应该可以装修了', '短评打分': 1}
{'短评内容': '东茂宾馆位置不错，离市中心10分钟车程，交通方便，价格适中，适合！！', '短评打分': 5}
{'短评内容': '前台接待太慢，房间也没打扫。服务太差。很失望!', '短评打分': 5}
{'短评内容': '还有一点要说，我是凌晨1点半入住的，居然收我一天房费，而且声称“我们酒店没有收半天房费的”！！', '短评打分': 3}
{'短评内容': '实在不敢恭维，与该酒店的房价相比，无论硬件还是服务都乏善可陈。早餐实在太简单了。', '短评打分': 1}
{'短评内容': '设施陈旧，洗澡间，早餐卫生差，达不到三星标准。', '短评打分': 1}
{'短评内容': '酒店环境还不错，打扫也很干净，电视、空调都有，质量也挺好，住的挺舒适的。', '短评打分': 5}
{'短评内容': '酒店的位置还不错，交通很便利，出行很方便。', '短评打分': 5}
{'短评内容': '    办理入住后，我拿房卡进入房间！房间居然没有打扫，呈“有人”状！找前台理论，结果振振有辞“人多。。。。。。”！\r\n    设施差的不一般，入住即后悔！', '短评打分': 1}
{'短评内容': '酒店很不错', '短评打分': 5}
{'短评内容': '交通方便！性价比高！不错！', '短评打分': 5}
{'短评内容': '感觉还不错。', '短评打分': 5}
{'短评内容': '凌晨4点钟到居然也要收半天房费', '短评打分': 1}
{'短评内容': '酒店的环境硬件设施都还可以，位置也还不错，因为当时是五一节期间价格还是合理适中的，整体来讲算是比较达标的酒店值得推荐入住。', '短评打分': 5}
{'短评内容': '房间超级差,豪华房的床由如地板一般硬，浴室是否有打扫值得怀疑，未使用的毛巾里居然有20cm的头发。(本人是板寸)地毯也脏的可怜。早餐由如非洲难民救济食品。虽然免费不敢问津。', '短评打分': 1}
{'短评内容': '酒点设施很好,服务也不错,卫生间很宽敞,洗澡水很大很舒服,对面的金穗子餐饮连锁,就餐很方便实惠,离武林广场不算远,特别是坐长途车很方便', '短评打分': 5}
