{'descr': '垃圾，连热水都没有。', 'star': 1}
{'descr': '真的很不错 前台服务也很满意！', 'star': 5}
{'descr': '挺好的，下次还会预定', 'star': 5}
{'descr': '位置还好，设施不够好。', 'star': 2}
{'descr': '房间还行，但是，那个厕所用的沐浴露是二合一的。。。然后，有漏电。整体来说，还行，可以，是一个非常适合情侣…', 'star': 4}
{'descr': '酒店环境不错，交通方便，卫生间也很干净，床垫和枕头睡着还比较舒服，早餐的种类也很丰富，酒店服务员态度也很好，下次来可还以选择这里。', 'star': 5}
{'descr': '酒店环境不错，交通方便，卫生间也很干净，床垫和枕头睡着还比较舒服，早餐的种类也很丰富，酒店服务员态度也很好，下次来可还以选择这里。', 'star': 5}
{'descr': '房间还不错，不过就是隔音效果有点', 'star': 5}
{'descr': '价格合适 比较贵', 'star': 5}
{'descr': '挺不错的', 'star': 4}
{'descr': '环境好，交通方便。', 'star': 5}
{'descr': '房间可以，但是周边环境不好。', 'star': 3}
{'descr': '环境卫生好', 'star': 5}
{'descr': '还好吧，一般般。', 'star': 4}
{'descr': '价格不贵，卫生还行，就是附近有一些娱乐场所，晚上有些吵，距离考试地点近', 'star': 4}
{'descr': '服务态度很好', 'star': 5}
{'descr': '总体感觉还是不错的，当时又找不到房，只有这家店，住进去还是蛮好的', 'star': 5}
{'descr': '  住宿条件还不错', 'star': 3}
{'descr': '酒店还可以 和汉庭差不多 还特价 挺值的\n', 'star': 3}
{'descr': '很一般吧。价格较低。位置还可以，加强下管理吧。', 'star': 1}
{'descr': '房间挺干净的，周围交通也很方便。', 'star': 3}
{'descr': '空间小 必须是标准间 不好 但是价钱便宜 建议不要选择', 'star': 1}
{'descr': '还可以，交通方便。', 'star': 3}
{'descr': '总的来说值得推荐 价位和服务态度都还可以 就是洗澡水太凉 屋里暖气也不足。', 'star': 5}
{'descr': '不错，下次还住这', 'star': 3}
{'descr': '不错，下次还住这', 'star': 3}
{'descr': '还可以，就是卫生间的感觉不好，还有就是没有停车位，很郁闷', 'star': 5}
{'descr': '还可以，就是卫生间的感觉不好，还有就是没有停车位，很郁闷', 'star': 5}
{'descr': '房间够大，中央空间很给力！就在市中心地段。', 'star': 5}
{'descr': '房间够大，中央空间很给力！就在市中心地段。', 'star': 5}
{'descr': '交通方便，不过镇江也不大，价格有优势。。。', 'star': 5}
{'descr': '交通方便，不过镇江也不大，价格有优势。。。', 'star': 5}
{'descr': '房间还是不错的！', 'star': 3}
{'descr': '房间还是不错的！', 'star': 3}
{'descr': '房间还可以，设施也很齐全，交通也很便利，非常不错。', 'star': 5}
{'descr': '房间还可以，设施也很齐全，交通也很便利，非常不错。', 'star': 5}
{'descr': '隔音效果太差！\n大晚上的有人在楼道里大声说话聊天', 'star': 1}
{'descr': '隔音效果太差！\n大晚上的有人在楼道里大声说话聊天', 'star': 1}
{'descr': '环境还不错，服务也还好，下次还会入住，就是夏天的空调不是太给力', 'star': 5}
{'descr': '环境还不错，服务也还好，下次还会入住，就是夏天的空调不是太给力', 'star': 5}
{'descr': '不错     各方面都不错     没有别的打扰   感觉就像自己的家', 'star': 5}
{'descr': '不错     各方面都不错     没有别的打扰   感觉就像自己的家', 'star': 5}
{'descr': '环境还不错，交通也不错 团购的 价格挺 便宜', 'star': 5}
{'descr': '还可以，就是洗梳用品三合一不怎么好\r\n         *Ginny*', 'star': 3}
{'descr': '还可以，就是洗梳用品三合一不怎么好\r\n         *Ginny*', 'star': 3}
{'descr': '很好。。。。要是免费赠送有早餐就好。和汉庭可以一比', 'star': 5}
{'descr': '很好。。。。要是免费赠送有早餐就好。和汉庭可以一比', 'star': 5}
{'descr': '地理位置所处大市口，交通和购物很方便。酒店内就是设施旧了点，水龙头会彪水，电视机也是那种老式电视机，希望以后能改进。\n', 'star': 5}
{'descr': '地理位置所处大市口，交通和购物很方便。酒店内就是设施旧了点，水龙头会彪水，电视机也是那种老式电视机，希望以后能改进。\n', 'star': 5}
{'descr': '房间挺舒适，环境很好！', 'star': 3}
{'descr': '酒店卫生环境不错，服务态度也很好，就是空调不太热。', 'star': 3}
{'descr': '酒店地理位置不错，房间也很好，床也很舒服，性价比算是高的，就是附近吃饭的地方不多', 'star': 5}
{'descr': '酒店地理位置不错，房间也很好，床也很舒服，性价比算是高的，就是附近吃饭的地方不多', 'star': 5}
{'descr': '环境很好', 'star': 3}
{'descr': '酒店还不错，虽然旁边有工地，但是不吵。酒店还不错，虽然旁边有工地，但是不吵。', 'star': 5}
{'descr': '酒店还不错，虽然旁边有工地，但是不吵。酒店还不错，虽然旁边有工地，但是不吵。', 'star': 5}
