{'descr': '交通方便，还可以。。', 'star': 3}
{'descr': '建议完善房间设施，提高服务质量。', 'star': 3}
{'descr': '房子墙皮都开裂了 灯光昏暗', 'star': 3}
{'descr': '位置方便，交通便利，出来就是公交站。公益西桥地铁站A出口即到酒店。', 'star': 4}
{'descr': '楼下台球厅，门口便利店，对面很多餐馆，门口有地铁，方便。住宿符合这个价位', 'star': 3}
{'descr': '交通方便', 'star': 4}
{'descr': '周边配备不错，出行方便', 'star': 3}
{'descr': '一般', 'star': 4}
{'descr': '还行吧，交通比较方便，环境卫生一般吧', 'star': 5}
{'descr': '酒店比较好找，就在地铁口。因为半夜到南苑机场，所以选择在这。感觉不实惠，房间显得不干净，毛巾发黄，直接没有让我有洗澡的冲动，隔音极差', 'star': 3}
{'descr': '感觉还好，环境一般，短期住宿还行，服务不错的', 'star': 5}
{'descr': '地理位置还不错，出门就是地铁站。', 'star': 3}
{'descr': '凌晨1点半到店后和前台说安排间安静的，被告知只有一间，开的第一间房，都没收拾，相当乱！给总机打电话，又从新换房！一点责任感都没！', 'star': 1}
{'descr': '凌晨1点半到店后和前台说安排间安静的，被告知只有一间，开的第一间房，都没收拾，相当乱！给总机打电话，又从新换房！一点责任感都没！', 'star': 1}
{'descr': '酒店价格还算可以，交通方便，就是没有餐可以订，不太方便！', 'star': 5}
{'descr': '酒店价格还算可以，交通方便，就是没有餐可以订，不太方便！', 'star': 5}
{'descr': '不错，就是房间小了点，服务员态度挺好。。。。', 'star': 5}
{'descr': '不错，就是房间小了点，服务员态度挺好。。。。', 'star': 5}
{'descr': '酒店的环境很好 服务态度也很好 就是网络太差 ', 'star': 5}
{'descr': '酒店的环境很好 服务态度也很好 就是网络太差 ', 'star': 5}
{'descr': '不错 住的一楼感觉也很好 以后还会选择汉庭', 'star': 5}
{'descr': '不错 住的一楼感觉也很好 以后还会选择汉庭', 'star': 5}
{'descr': '很干净^^ 地理位置也很好~ 出行很方便~', 'star': 5}
{'descr': '很干净^^ 地理位置也很好~ 出行很方便~', 'star': 5}
{'descr': '钱还算比较合理的。房间有点小，挺干净的，就是一次性生活用品只有一份的，毛巾是两份的。洗澡用的拖鞋也没有。其他的还不错啦。', 'star': 5}
{'descr': '钱还算比较合理的。房间有点小，挺干净的，就是一次性生活用品只有一份的，毛巾是两份的。洗澡用的拖鞋也没有。其他的还不错啦。', 'star': 5}
{'descr': '根本不是汉庭的水准 设施连如家和锦江之星的一半也赶不上', 'star': 1}
{'descr': '根本不是汉庭的水准 设施连如家和锦江之星的一半也赶不上', 'star': 1}
{'descr': '房间太小了，屋子比较旧，不通风', 'star': 3}
{'descr': '房间太小了，屋子比较旧，不通风', 'star': 3}
{'descr': '第一次住汉庭，比想象当中好多了，很舒服，服务卫生什么的都蛮好，设施都很齐，就是在小巷内，才去不好找，总体很满意~~~', 'star': 5}
{'descr': '第一次住汉庭，比想象当中好多了，很舒服，服务卫生什么的都蛮好，设施都很齐，就是在小巷内，才去不好找，总体很满意~~~', 'star': 5}
{'descr': '这里的早餐还不错，下次来还住这里。距离沈阳站和沈阳北站都很近。\n', 'star': 5}
{'descr': '这里的早餐还不错，下次来还住这里。距离沈阳站和沈阳北站都很近。\n', 'star': 5}
{'descr': '交通还算方便，房间很干净就是有些小。下次来还住这里，房价能便宜点就更好了。', 'star': 5}
{'descr': '交通还算方便，房间很干净就是有些小。下次来还住这里，房价能便宜点就更好了。', 'star': 5}
{'descr': '条件太差，下次肯定不住了。服务设施什么的都不行，网速太慢了。', 'star': 1}
{'descr': '条件太差，下次肯定不住了。服务设施什么的都不行，网速太慢了。', 'star': 1}
{'descr': '不错的', 'star': 3}
{'descr': '不错的', 'star': 3}
{'descr': '此店位置不错，离我需要办事的地方很近。\n地处市区中心，交通便利。\n服务员服务贴心。', 'star': 5}
{'descr': '此店位置不错，离我需要办事的地方很近。\n地处市区中心，交通便利。\n服务员服务贴心。', 'star': 5}
{'descr': '不错环境好安静', 'star': 3}
{'descr': '不错环境好安静', 'star': 3}
{'descr': '不错的   不过就是隔音不是很好    心潮澎湃的  ', 'star': 5}
{'descr': '不错的   不过就是隔音不是很好    心潮澎湃的  ', 'star': 5}
{'descr': '地方不好找，房间卫生也不行。面积小，床也不舒服', 'star': 1}
{'descr': '地方不好找，房间卫生也不行。面积小，床也不舒服', 'star': 1}
{'descr': '我住的是128的特价房，含早餐，价格还是可以，只是房间太小了，设施也很陈旧，房间有股烟味，散不掉。本来计划住两天，住了一天撤了。如果想省钱，住住还凑合。', 'star': 5}
{'descr': '我住的是128的特价房，含早餐，价格还是可以，只是房间太小了，设施也很陈旧，房间有股烟味，散不掉。本来计划住两天，住了一天撤了。如果想省钱，住住还凑合。', 'star': 5}
{'descr': ' 不是太好找,房间小,电视老。其它条件还不错', 'star': 3}
{'descr': ' 不是太好找,房间小,电视老。其它条件还不错', 'star': 3}
{'descr': '交通方便，闹中有静。\n汉庭统一的风格，大堂的书吧很好，非常适合经常出差的人。每天从外面回来，可以在书吧坐一会，喝杯咖啡，避免了回来就躺着。\n服务员很热情，服务周到。', 'star': 5}
