{'短评内容': '不错很安静，下次还来', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '酒店布置很有情趣', '短评打分': 5}
{'短评内容': '就是没有出风口，其它都还好', '短评打分': 5}
{'短评内容': '环境可以，交通较方便', '短评打分': 5}
{'短评内容': '很好，很值得推荐的酒店', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '床上地上洗手台上都是长头发，卫生超差，凌晨3点半听到隔壁房女人叫床，都叫出花样来了，连续叫了半个小时，我怀疑是她自慰', '短评打分': 2}
{'短评内容': '卫生和通风方面可以需要做得更好，其他的都OK的，附近吃，行都方便。服务好', '短评打分': 4}
{'短评内容': '设施还行，服务一般般，有点小贵。', '短评打分': 3}
{'短评内容': '很有个性，指的体验一下！但是这个价位，也没个早餐？', '短评打分': 5}
{'短评内容': '房间不大但是装修有点特色，', '短评打分': 3}
{'短评内容': '房间漂亮干净，卫生满意，看电影很方便，总体感觉很好', '短评打分': 5}
{'短评内容': '环境还行，窗户不能打开', '短评打分': 4}
{'短评内容': '酒店设施不错，音箱效果也不错，酒店只有2楼，虽然酒店较小，但是住得好舒服', '短评打分': 5}
{'短评内容': '酒店设施不错，音箱效果也不错，酒店只有2楼，虽然酒店较小，但是住得好舒服', '短评打分': 5}
{'短评内容': '不错，有特色，服务也不错。不错，有特色，服务也不错。', '短评打分': 5}
