{'短评内容': '卫生间水很小，热水洗一会就没有了，', '短评打分': 2}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '一般一般，很一般，卫生条件一般，WiFi坏了，移动信号差，但对比起这价格，也OK了，睡个觉还是可以的', '短评打分': 4}
{'短评内容': '确实很多灰尘，卫生不彻底，晚上很吵，交通便利，到楼上要刷卡，第一次去前台电话没人接，只能干等。', '短评打分': 4}
{'短评内容': '网络超差，房间整体还行', '短评打分': 4}
{'短评内容': '住的体验不是很好', '短评打分': 3}
{'短评内容': '房间热水的温度是要自己设定的。床头没有手机插头比较奇怪。位置很好。如果卫生间没有异味就更好了。总体来说不错。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '位置好，价格便宜', '短评打分': 4}
{'短评内容': '感觉还行。', '短评打分': 5}
{'短评内容': '一般，性价比可以', '短评打分': 4}
{'短评内容': '一般吧', '短评打分': 4}
{'短评内容': '像7天一样的差！真心恶心死了！', '短评打分': 2}
{'短评内容': '8号线的昌岗E口，进入地下停车场直接坐电梯到六楼给酒店前台打电话去接你到38楼办理入住，位置不错，服务也挺好的，就是房间好冷，中央空调不太制暖风，难道南方都是这样的吗，其次毛巾放在桌面上感觉不太干净，应该挂起来！总体很好的价格也非常合理！位置、服务推荐！', '短评打分': 5}
{'短评内容': '总的来说还不错 就是设备有些旧了 附近环境很好', '短评打分': 4}
{'短评内容': '人员服务很不错,房间看夜景很好。床够软，缺点：房间有点旧，设施都有些年代的感觉了。', '短评打分': 4}
{'短评内容': '感觉比之前入住房间设施旧了很多啊', '短评打分': 4}
{'短评内容': '除了第一次上楼稍微有点不方便其他都很好，是朋友推荐的，设施真的很全，楼层很高，很舒服。服务很周到，细节做的很好。以后出差会常来。', '短评打分': 5}
{'短评内容': '性价比很高，服务周到很好。网上介绍的酒店健身，泳池，不是他们的。是同幢楼里一家5星酒店的要收费。', '短评打分': 5}
{'短评内容': '酒店很好，环境不错，交通方便，态度亲切，下次来还住这。', '短评打分': 3}
{'短评内容': '酒店很舒服，在这里还碰到了几个外国人，看来这里的服务也让外国人满意。以后还是会和朋友一起来住嘻哈的。', '短评打分': 5}
{'短评内容': ' 酒店位置很好，因为在高楼层，风景十分好！装修是新的，设备齐全，服务员态度也好！是性价比很好的酒店呢～诚意推荐！', '短评打分': 3}
{'短评内容': '除了上楼不是很方便以外，其他的服务包括设施都是物超所值的，性价比特别高，朋友特别喜欢。服务人员很热情。年轻就是好。', '短评打分': 5}
{'短评内容': '下了飞机坐三号线转二号线很方便就到了昌岗站，然后酒店的服务人员很热情的下来接我们上楼，前台不显眼，设置在3806房，不过房间的感觉很温馨，楼层很高，订了景观房，很漂亮。以后有机会还会来住。', '短评打分': 5}
