{'短评内容': '不错很好……很值得', '短评打分': 5}
{'短评内容': '房型很赞，就是阁楼房厕所不通电哈哈，吃喝逛楼下都很方便。', '短评打分': 5}
{'短评内容': '一如既往的好', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '有停车位是个重点知道吗！！！！！对于自驾游的人来说非常方便哦非常好哦服务态度也很棒，非常值得入住。。。', '短评打分': 5}
{'短评内容': '第一天房间特别小，第二天免费帮我升级了一个大房间。旅店外就是小吃街，方便', '短评打分': 5}
{'短评内容': '服务非常不错，老板人很好，非常推荐大家入住！', '短评打分': 5}
{'短评内容': '服务非常不错，老板人很好，非常推荐大家入住！', '短评打分': 5}
{'短评内容': '哈哈哈哈哈哈哈哈哈哈吧', '短评打分': 3}
{'短评内容': '环境不错，以后还会来', '短评打分': 5}
{'短评内容': '床非常软，很舒适，但是床小，在曾厝垵里边比较安静，但是实际上里面的客栈非常多，这个价格性价比并不高', '短评打分': 5}
