{'短评内容': '挺好的  ', '短评打分': 5}
{'短评内容': '空调不热，洗脸盆破损严重，墙面有破损，设施设备老旧', '短评打分': 3}
{'短评内容': '酒店经济实惠', '短评打分': 4}
{'短评内容': '卫生干净，服务好', '短评打分': 5}
{'短评内容': '除了卫生啥也不行    越来越差    住过好多好多次   但是没有下次了    提醒入住的朋友   一定要试试   不刷卡你的门能不能打开   好多门  卡就是个摆设', '短评打分': 4}
{'短评内容': 'bu不错，干净，卫生京东', '短评打分': 5}
{'短评内容': 'vb vb vb vb 好好好vb vb vb vb 好好好vb vb vb vb 好好好vb vb vb vb 好好好', '短评打分': 5}
{'短评内容': '挺干净，卫生也好。', '短评打分': 5}
{'短评内容': '网速差', '短评打分': 3}
{'短评内容': '性价比高，出差选择', '短评打分': 4}
{'短评内容': '位置还算不错。楼下就有快餐。去利群、淄博商厦、万象汇很近，十分钟左右。值得入住。就是Wi-Fi信号不是很好，马桶座是坏的，希望及时维修！传单的选择很温馨，这是亮点！', '短评打分': 5}
{'短评内容': '旅馆很棒，环境地理位置挺好，交通很方便，设备挺齐全的，很干净，床挺大的挺舒服，工作人员服务态度也很好，很满意！', '短评打分': 5}
{'短评内容': '设施老旧，噪音大', '短评打分': 3}
{'短评内容': '服务员太差，设备，用具太老', '短评打分': 1}
{'短评内容': '服务非常好！', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '第二次入住了，这家速八快捷酒店离淄博火车站很近，走路过去也就10分钟左右。前台服务热情，房间很干净，床品也不错，是差旅的理想选择。', '短评打分': 3}
{'短评内容': '酒店的环境很好，出行也很方便，前台接待非常热情，设施就一般般。', '短评打分': 5}
{'短评内容': '很少有三人间的连锁酒店，位置算是不错了，各种方便。', '短评打分': 5}
{'短评内容': '环境非常好，值得推荐', '短评打分': 3}
{'短评内容': '前台服务很好，房间很大，窗户是双层玻璃，所以即使临街房间也不吵。唯一不足是墙壁个别地方比较脏。总体还是满意的。', '短评打分': 5}
{'短评内容': '房间还是比较大的，扣除消费卷退款，性价比还是比较高的 ，就是附近的美食街在修路，没找到好吃的 ', '短评打分': 5}
{'短评内容': '感觉不错房间很干净', '短评打分': 3}
{'短评内容': '速8的房间简洁干净适用，非常适合一般出差住。还可以点餐送到房间，价格挺实惠。', '短评打分': 3}
{'短评内容': '酒店很干净，服务业很好，还送牛奶和果盘，如果能在送张会员卡那就更方便了。', '短评打分': 5}
{'短评内容': '整体不错，就是卫生差点，好多头发，建议把卫生搞好，床上也有头发，我找了半天才敢睡，前台效率慢点，耽误时间。', '短评打分': 5}
{'短评内容': '该酒店比较干净卫生、性价比较高,非常适合商务、旅游住宿。', '短评打分': 5}
{'短评内容': '房间很好，和图片一样，很干净，客房服务挺好，每天都打扫卫生，很实惠，总体感觉很好、、、', '短评打分': 5}
{'短评内容': '对于商务大床房非常的失望，设施老化，卫生较差，收费也高，楼道里甚至没有空调', '短评打分': 1}
{'短评内容': '酒店位置还是不错的，距离淄博的中心商圈很近，不行15分钟可到达商业中心。值得一提的是商业中心里有美食街，吃饭不用发愁，看到什么好的就可以直接下手。房间酒店房间的卫生不错，前台人员服务也可以，关键是停车方便，直接停在酒店的门前，安全有保证。', '短评打分': 5}
{'短评内容': '环境有点吵但是酒店风格很好值得推荐', '短评打分': 3}
{'短评内容': '干净整洁，性价比较高，不过住在了临街的房间，晚上噪音实在了得。。。\n', '短评打分': 5}
{'短评内容': '酒店总体不错，房间比较宽敞，也比较干净，性价比比较高。', '短评打分': 5}
{'短评内容': '酒店性价比蛮高的，房间布置的很好，通风和采光都不错，酒店距离汽车站和火车站都很近，购物很方便', '短评打分': 5}
{'短评内容': '房间还可以，就是窗户的隔音效果有点…好吵阿', '短评打分': 3}
{'短评内容': '房间蛮大的，床也很大，睡着很舒服，舒适度很好，服务员都是面带微笑的，很客气，卫生条件也打扫的很干净。', '短评打分': 5}
{'短评内容': '+不错', '短评打分': 5}
{'短评内容': '酒店的条件还算可以.综合性价比还是蛮高的,而且各方面都挺到位的.整体感觉还不错.', '短评打分': 5}
{'短评内容': '交通便利，离火车站近，卫生条件一般，服务态度好，餐厅很不错', '短评打分': 3}
{'短评内容': '离火车站比较近，交通便利，服务态度良好，卫生一般，还是比较舒适，三楼餐厅服务很好', '短评打分': 5}
{'短评内容': '这种品牌的酒店，在设施上的要求还是比较完善的，价格也很适中。', '短评打分': 5}
{'短评内容': '酒店有自己的停车场，挺大的，停车很方便，价格上也比较合适。', '短评打分': 5}
{'短评内容': '酒店的服务非常好，很人性化，不那么死板，让人感觉很贴心。', '短评打分': 5}
{'短评内容': '房间里以白色为主，显得很明亮很干净，感觉也很安静，住的挺舒心的，', '短评打分': 5}
{'短评内容': '服务态度很诚恳，办事效率也很高，卫生也可以给满分。', '短评打分': 5}
