{'短评内容': '价格实惠，交通便利', '短评打分': 5}
{'短评内容': '房间小，有异味。', '短评打分': 2}
{'短评内容': '', '短评打分': 5}
{'短评内容': '房间挺大的，卫生间也大', '短评打分': 5}
{'短评内容': '没有停车场 周边吃的很多 酒店环境很差', '短评打分': 3}
{'短评内容': '还可以&hellip;&hellip;', '短评打分': 5}
{'短评内容': '拖鞋很臭', '短评打分': 2}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '位置还一般吧，感觉前台服务态度不太行，然后房间的设备不是很齐全，衣架，洗漱用品都没有，毕竟是特价房，还算是凑合了', '短评打分': 4}
{'短评内容': '这个价格来讲 还不错 ', '短评打分': 4}
{'短评内容': '服务一般', '短评打分': 3}
{'短评内容': '酒店在大路，因訂的另一酒店被大廈包圍去到因遲被取消，因禍得福。酒店整潔高級，前台行動快，5分鐘訂好去到馬上辦入住。價錢合理，附近有超市及食店，一條街好很多大排檔。虽然靠近大街道，但高楼层的噪音很小，服务员的态度都挺好的，下次还会住。', '短评打分': 5}
{'短评内容': '酒店比较干净，刚进门有一股淡淡的香气，很舒服，不像其他酒店味道很重，感觉很满意', '短评打分': 5}
{'短评内容': '因为地铁施工，地点不太好找，灰尘多，施工噪音大，一般般。', '短评打分': 4}
{'短评内容': '酒店前台老板娘很漂亮哦，每次去看到都是不一样的发型。服务好，酒店还不错。就是附近最近修路，出行比较不方便，但也因为这个原因，酒店的价格也比较便宜。去机场打车就10-15元，附近吃的地方也非常多。下次还来', '短评打分': 5}
{'短评内容': '还算干净啦，离机场非常近', '短评打分': 5}
