{'短评内容': '服务差，不好，环境差', '短评打分': 1}
{'短评内容': '还行吧', '短评打分': 4}
{'短评内容': '房间挺干净', '短评打分': 5}
{'短评内容': '房间挺干净', '短评打分': 5}
{'短评内容': '房间挺干净', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '挺好的，房间挺暖和，房间大，无窗也不会觉得憋屈', '短评打分': 5}
{'短评内容': '简直一般的不能再一般了，还不如如家和7天！', '短评打分': 3}
{'短评内容': '不错，不错，不错', '短评打分': 5}
{'短评内容': '非常差，不能刷卡，房间内设施简单，都不敢洗澡睡觉，气味很大。收到确认短信了，到店里说是满员，奇差无比！！！携程太衰了。。。立即卸载。', '短评打分': 1}
{'短评内容': '酒店什么都不在乎，198元房间又脏又旧又破，没有无线网络，也没有有线网络。这样的酒店是我经历最差的一个，只有万般无奈时无奈才会入住。  携程原来给我订了汉庭酒店，入住时发现它不能接待外宾。大半夜一时不知上哪找住的，携程被联系后给我补订了这家酒店，才有这段不堪回首的经历。按理说，这是携程的错误，补偿是携程的义务。可是携程既聪明又小气，要我自己掏腰包，历经颠簸找酒店，还忍受这种不堪痛苦。看来，携程“放', '短评打分': 1}
{'短评内容': '1.房间闷，有霉味。2.住旅行社人多，半夜1点了还吵闹。3.服务态度差。', '短评打分': 1}
{'短评内容': '设施比较简陋，价格就是门市价没有优惠，交通也不方便，只是因为赛场在这才住的', '短评打分': 4}
{'短评内容': '挺干净', '短评打分': 5}
{'短评内容': '出差订的酒店，离出行的地方比较近，算是很方便，酒店设施还算不错，干净整洁，酒店人员服务态度也挺好的，周边交通出行非常方便，是个不错的选择，值得推荐', '短评打分': 5}
{'短评内容': '非常不错的一家 下次还会再来 交通便利 环境也很舒适 价格也比较合理 如果早餐改善一下就完美了', '短评打分': 5}
{'短评内容': '硬件设施比较差，房间不隔音。洗漱用品真不敢用。谈不上有什么服务。没有发票、刷不了卡，真不知道，他们就能这么开业？', '短评打分': 1}
{'短评内容': '地理位置实在是不占什么优势，卫生一般，服务一般，洗漱用具差一点儿意思', '短评打分': 1}
{'短评内容': '房间设施很好，很干净。就是有点偏…', '短评打分': 3}
{'短评内容': '环境不错', '短评打分': 3}
