{'短评内容': '一个人住的还可以吧', '短评打分': 4}
{'短评内容': '酒店在一个小区里，小区门口就有酒店的牌子，很好找！有免费的矿泉水和咖啡，这个是第一次遇到过的，很好！虽说设施是老设施，但是都很好用，洗澡水也很好调热！周边环境也不太吵！而且，我因为临时有事，晚到了四个小时，几次延迟到店，店家态度依然很好！很感谢店家的服务！', '短评打分': 5}
{'短评内容': '房间里有难闻的味道，无线信号也弱速度慢。价格比较便宜。位置还可以吧，走出去二百米以后有不少的饭馆可以吃饭', '短评打分': 3}
{'短评内容': '订的标准间，带双份早餐！早餐是7点半到8点半，餐厅不大，菜品可以，还挺全的，基本上是凉拌菜为主。吃的很顺口。房间设施比较陈旧，卫生间淋浴下水不是很流畅。WiFi信号不好。服务员态度很好很有礼貌。每次进出都起身站立问您好！给个赞！毕竟在沈阳一百多块钱能住上这样的宾馆也算是比较实惠的了！推荐入住！', '短评打分': 5}
{'短评内容': '各方面挺好的。', '短评打分': 5}
{'短评内容': '酒店很干净卫生，入住安全，早餐质量好。无论前台还是各方面服务都很好。', '短评打分': 5}
{'短评内容': '就是地方有点偏，环境及服务都不错，房间卫生还可以，还有免费的咖啡和矿泉水赠送，就是房间稍显小了点！！', '短评打分': 5}
{'短评内容': '挺好的，在小区内，安全还没有车辆的动静，挺干净，被子挺热，还赠免费的咖啡和矿泉水，就是别的屋子开卫生间风扇嗡嗡的响了一宿。', '短评打分': 5}
{'短评内容': '在小区内，安静，干净，房间小一些，不像3星级，门口停车方便。可能是预订的房间，给的小房间，其他房间不知是否大一些？', '短评打分': 3}
{'短评内容': '可以', '短评打分': 4}
{'短评内容': '整体来讲不错，服务硬件软件都可以', '短评打分': 5}
{'短评内容': '就是想找一家离463医院近的，说是1.1公里，完全骗人啊，太远了，定了退不了，不然绝对不在这住', '短评打分': 4}
{'短评内容': '虽然酒店有点儿旧，但是挺干净很安静，房间暖和，交通便利。赞一个！', '短评打分': 3}
{'短评内容': '安静，干净，满意', '短评打分': 5}
{'短评内容': '与办事的地方很近，安静，很满意', '短评打分': 5}
{'短评内容': '服务态度挺好的，无论是前台还是打扫的员工服务都很好，而且在小区里挺安静的，而且交通也挺方便的', '短评打分': 5}
{'短评内容': '不挑不捡，只是一个歇脚的地方。\n希望宾馆检查一下卫生间的灯、电子门锁的电池、电视的信号、网络！\n还是那句话，只是一个歇脚的地方，不能要求太多！', '短评打分': 5}
{'短评内容': '半夜很冷，没有电梯，卫生隔音较好', '短评打分': 3}
{'短评内容': '环境安静，交通还算便利，房间干净，物有所值，值得推荐。', '短评打分': 3}
{'短评内容': '＋大床房房间干净整洁，安静，而且门口的农家小院饭馆的饭菜物美价廉。要是房间的床灯能用就更人性化一些。如果有一个挂衣服的衣柜就更好了。', '短评打分': 3}
{'短评内容': '不知道为什么 酒店居然在小区里 问出租车都问不到..\n', '短评打分': 1}
{'短评内容': '我已经入住改大床房', '短评打分': 3}
{'短评内容': '定之前确实很犹豫，后来想想还是试试吧，来了沈阳好几天，每天都换新酒店，中煤是最后一个，也是很满意的，最后一天很累，住在这里很不错，很安静。虽然没有电梯，但是还是很值的。而且这么便宜的房间竟然还提供早餐，呵呵~~~真的很好', '短评打分': 5}
{'短评内容': '房间挺干净的，交通也挺方便，前几天住没有热水呢，网速也不行额', '短评打分': 5}
{'短评内容': '感觉不太好。\n去晚的话，早餐就没有啥可吃的了。', '短评打分': 1}
{'短评内容': '服务不错 ！！房间就是有点冷 空调 有点不好！', '短评打分': 5}
{'短评内容': '早餐很糟糕，房间换可以，居家旅游最好不要在这住，交通很不便', '短评打分': 5}
{'短评内容': '宾馆位置尚可，交通还算方便，夜间非常安静，附近有一个农贸市场，买的水果什么的倒是方便，房间挺大', '短评打分': 5}
{'短评内容': '房间太小了,而且没有电梯,电视台太少,唯一的好处是服务员很有同情心,如果忘带身份证也能帮忙入住', '短评打分': 1}
{'短评内容': '宾馆位置比较好找，交通还算便利；本人入住的是大床房，房间还算干净，只是洗浴用品只有一套，房价是138元一晚，含早餐，感觉有点高，但还算可以接受。', '短评打分': 5}
{'短评内容': '设备陈旧，房间狭小，服务态度好，交通便利。网站可以增加些标准较高的，质优价廉的宾馆合作伙伴。目前的选择有限', '短评打分': 3}
{'短评内容': '房间卫生还行，不过感觉设施有些老了，酒店周围还是比较安静的，服务也是一般化，价格感觉稍微高了些。', '短评打分': 3}
{'短评内容': '酒店地点很好，开始分配到二楼房间有异味，后来换到四楼房间比较干净整洁，当天服务员态度很好。我本来定的一天，因事要多住一天，早上去问是否需要办手续被问钱够不，并没说需要刷房卡，晚上回来门无法打开，后下楼询问同一服务员她说我当时没有出示房卡，从服务台要手纸说没有，当天碰见的两个服务台女服务员非常喜欢教训人，还说这些工作都应该在打扫卫生的时候处理，你当时挂牌子就没办法了，让出去到院外边超市买。言语间让人', '短评打分': 1}
{'短评内容': '性价比很高，设施很齐全也很卫生 就是洗澡水温度不太够', '短评打分': 5}
