{'短评内容': '没有早餐', '短评打分': 4}
{'短评内容': '卫生干净利落，价格美丽', '短评打分': 5}
{'短评内容': '总体不错，修路有点不方便', '短评打分': 4}
{'短评内容': '还行～～～～', '短评打分': 4}
{'短评内容': '没有设早餐厅，我是住单人大床不知道可不可以加床，一楼有停车位但要驾去后面，因前门口正在修改大道，前门下不了车。', '短评打分': 2}
{'短评内容': '这里的环境好好啊我下次出差还住这里', '短评打分': 5}
{'短评内容': '价格亲民，酒店干净卫生，服务员态度良好，主要的是宾馆够大！', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '酒店地理位置不错，服务员态度很好，房间干净卫生', '短评打分': 4}
{'短评内容': '好停车  离市区近', '短评打分': 5}
{'短评内容': '酒店地理位置不错，服务员态度很好，房间干净卫生！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 4}
{'短评内容': '还不错，房间大，性价比高', '短评打分': 4}
{'短评内容': '还行。', '短评打分': 5}
{'短评内容': '其它都很好，除了没有早餐', '短评打分': 5}
{'短评内容': '总体挺好的，价格也不贵', '短评打分': 4}
{'短评内容': '很便宜，不足之处就是电视坏了', '短评打分': 4}
{'短评内容': '服务态度恶劣，不能加被子，不想说了，住宿不舒适。', '短评打分': 2}
{'短评内容': '交通方便', '短评打分': 4}
{'短评内容': '环境可以，比较方便，价格也合适，就是房间隔音不是很好，隔壁声音比较大，你懂的。', '短评打分': 5}
{'短评内容': '服务好，价格实惠，房间很新，干净。', '短评打分': 5}
{'短评内容': '总体感觉还不错！就是隔音效果差了些，运气不好碰到个半夜入住的人，折腾的我也好久才睡着。', '短评打分': 5}
{'短评内容': '环境很好 ,设施齐全,前台得服务态度也很好,附近有乐购超市', '短评打分': 5}
{'短评内容': '不错，和出差的公司在一栋楼上，方便，但是酒店没有餐厅，早餐要出门去吃，', '短评打分': 5}
{'短评内容': '一进去就很大的霉味，毛巾也挺脏的有的黄，跟图片有的出入。像宾馆。房间内没有吹风筒所以需要打电话叫。送过来的还是坏的，需要试一下。', '短评打分': 1}
{'短评内容': '有点吵，外面工地', '短评打分': 3}
{'短评内容': '不错不错，这次还是很顺利就找到了~附近好多吃的，旅途很开心。', '短评打分': 5}
{'短评内容': '已经住了很多次了，感觉还是不错的，希望下次还过来住哈', '短评打分': 5}
{'短评内容': '总体来说还算不错，位置虽然有点偏但是交通还算便利', '短评打分': 5}
{'短评内容': '价格便宜，位置虽然有点偏但是交通还算方便，不过外面修路的噪音还是有点影响，总体来说还是不错', '短评打分': 5}
{'短评内容': '位置不错，价格合理。', '短评打分': 3}
{'短评内容': '门口修路能把人吵死，一天叮叮当当地凿个不停，没法睡觉。', '短评打分': 1}
{'短评内容': '服务不错，空间也比较大，暂时在修路，不太方便。', '短评打分': 5}
{'短评内容': '周围就是没吃的，其他的也都OK。和如家的基本都一样。', '短评打分': 5}
{'短评内容': '房间很整洁，可能房间不是靠大路那边，所以感觉还是很安静，很喜欢那里装修的色调，感觉很好，以后还会选择如家的', '短评打分': 3}
{'短评内容': '常平最好的一家如家酒店，下次出差还住这里。', '短评打分': 5}
{'短评内容': '不错 很实惠的酒店 干净 距离市区也很近', '短评打分': 5}
{'短评内容': '这次住在731房不理想，窗帘遮不到全黑的，烟缸和纸巾都没有，厕所冲不了的，望改善。', '短评打分': 5}
