{'短评内容': '房间很干净，噪音也比较小，东西食品也比较全，各项服务设施也比较全，洗漱方面也可以。住了好几回了，相比较都市快捷旅店来说，各项服务也比较速度，价格方面也较之之前的有优势，下次我还会选择这家酒店。 ', '短评打分': 5}
{'短评内容': '房间卫生特别不错，清洁也很及时，设施非常好，周边环境也很安静 ，酒店服务人员态度也非常不错，有贵宾的感觉，干净卫生，明亮宽敞，廊灯和房灯一应俱全，大床很宽1.8米的大床，松软舒适。非常不错', '短评打分': 5}
{'短评内容': '枕头硬的，窗打不开.一股烟味，一晚上睡不好', '短评打分': 3}
{'短评内容': '一般，服务不怎么好', '短评打分': 2}
{'短评内容': '早餐20块没去吃，感觉好贵', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '地方比较偏僻，环境一般！', '短评打分': 4}
{'短评内容': '交通方便环境很好个人感觉好', '短评打分': 5}
{'短评内容': '交通方便环境很好个人感觉好', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '帮亲戚订的，节假日贵了点。还过得去吧', '短评打分': 4}
{'短评内容': '算比较可以的，在附近玩，在这住', '短评打分': 3}
{'短评内容': '环境差，旧，电视信号差无声音，卫生一般', '短评打分': 3}
{'短评内容': '周围都是工厂，前台服务态度太差，根本没有任何好脸色，感觉欠他们500万', '短评打分': 2}
{'短评内容': '商务出差方便', '短评打分': 5}
{'短评内容': '有点硬件要改进！！！！！！！！！！！！', '短评打分': 4}
{'短评内容': '一、酒店比较干净，没有异味。不足之处是装修比较老了，柜门有坏的现象。\n二、周边餐厅较多，楼下有高登海鲜餐厅，旁边有湘菜馆，如果想有不同的体验的话，对面有个夜市一条街。\n三、离海泉湾最近的酒店，当然了，160元的价格也不要和五星级酒店来比服务\n四、总体而言，性价比较高，去海泉湾如果不住维景的话，就住这儿吧', '短评打分': 5}
{'短评内容': '贵得一塌糊涂，房间里的设施都很旧，还有点烂的感觉，性价比不是一般的低，以后接待来平沙的朋友，绝对不会住这里', '短评打分': 1}
