{'短评内容': '无言。', '短评打分': 3}
{'短评内容': '酒店走廊有共厕，气味非常难闻！每次路过回房间都很痛苦！房间并不干净，设施非常旧，房内厕所通风不好，异味很浓，不关厕所门味道会飘满整间屋子。服务员态度还可以。', '短评打分': 1}
{'短评内容': '酒店的配套娱乐休闲设施很全，周围环境也很不错。', '短评打分': 5}
{'短评内容': '酒店的环境很不错，位置出行交通方便。', '短评打分': 5}
{'短评内容': '九州的价格很有优势，和我们出差的标准很合适。', '短评打分': 5}
{'短评内容': '这家酒店环境还不错，设施配置硬件比较全。', '短评打分': 5}
{'短评内容': '这家酒店环境不错，感觉挺舒适，价格也挺实惠的。', '短评打分': 5}
{'短评内容': '这家酒店整体感觉不错，位置繁华地带，离火车站挺近的，出行挺方便，价格挺实惠的。', '短评打分': 5}
{'短评内容': '卫生条件不太好，蚊子特别多.位置好距离会计学校近，我去那办事方便.除了蚊子多之外其它各方面服务还不错.', '短评打分': 5}
{'短评内容': '一般般。', '短评打分': 5}
{'短评内容': '酒店不错，也很干净，就是酒店没有电梯，定的房间在5楼，一天怕了好几回，累死了！', '短评打分': 5}
{'短评内容': '酒店在市区，刚入住时普房没有网络，多次要求才给调到电脑房，没有涨价，还过的去', '短评打分': 5}
{'短评内容': '设施陈旧，浴缸塞子都没了，空调不能用，临街晚上风吹草动，停车场一片警报声，隔音差，装修陈旧', '短评打分': 1}
{'短评内容': '酒店位置还是可以的，距离火车站打车10分钟左右，舒适度，和卫生，还算满意吧。价格适中', '短评打分': 5}
