{'短评内容': '很不错，干净整洁', '短评打分': 5}
{'短评内容': '', '短评打分': 5}
{'短评内容': '一定要带耳塞', '短评打分': 5}
{'短评内容': '离城市中心比较远，卫生很不错！自驾游停车非常方便！下次去首先', '短评打分': 5}
{'短评内容': '环境还不错', '短评打分': 5}
{'短评内容': '空调设备欠检查，室外机声音那么大，不是一天二天的事，这也是客房硬件设施。', '短评打分': 1}
{'短评内容': '挺好，是的，真的挺好', '短评打分': 5}
{'短评内容': '挺好的，离办公地方近，吃饭逛街都方便', '短评打分': 5}
{'短评内容': '安排了一个靠窗的，一大早特吵，窗户没法锁窗帘也是坏的遮不了光，最可气的是我还没退房服务员竟然拿房卡打开了我的门，吓死宝宝了', '短评打分': 2}
{'短评内容': '太吵了，离马路和高架桥太近了，噪声太大了！', '短评打分': 5}
{'短评内容': '停车场很方便，到市区自驾比较近，周边有市场和超市', '短评打分': 4}
{'短评内容': '不错，最主要停车方便，停车场好大', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '客人住的很满意，服务很周到。', '短评打分': 5}
{'短评内容': '住几次了，朋友一来就帮定这边', '短评打分': 5}
{'短评内容': '帮朋友定的，朋友说还可以的', '短评打分': 5}
{'短评内容': '还好', '短评打分': 4}
