{'descr': '特别不错，环境好', 'star': 3}
{'descr': '安全', 'star': 5}
{'descr': '还可以', 'star': 5}
{'descr': '干净整洁舒适透气', 'star': 5}
{'descr': '交通特方便，进徐州直接开到宾馆后院的免费停车场。一层有咖啡出售，有雨伞租借，有杂志阅览。客房服务也挺负责，回到宾馆总能看到整齐的床铺和整洁的卫生间。下次还来！。', 'star': 5}
{'descr': '………不错', 'star': 5}
{'descr': '不错的酒店，位置偏一些，但是很安静，服务态度不错', 'star': 5}
{'descr': '啦啦啦啦啦啦啦', 'star': 5}
{'descr': '喜欢上，能使用。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '很舒适，挺满意的。汉庭还是能相信的，京东好好', 'star': 5}
{'descr': '挺好的，', 'star': 5}
{'descr': '住宿条件很好。舒适。干净。。。。。。。。。。。。。。。。。。。。。。。，，。。。。。。。。。。。。', 'star': 5}
{'descr': '住着挺舒服', 'star': 5}
{'descr': '非常好。。。。。。。。。', 'star': 5}
{'descr': '价格实惠一般，最不好的就是洗澡冷热水不好调节，要么冷死，要么烫人，是不是该换换了，这样谁受的了啊。就是地理位置比较好，其他没有什么好的', 'star': 3}
{'descr': '很好', 'star': 5}
{'descr': '条件还行，便宜', 'star': 5}
{'descr': '酒店隔音墙极差，半夜被隔壁房吵醒', 'star': 1}
{'descr': '环境好，服务好。。。。', 'star': 5}
{'descr': '服务挺好的', 'star': 5}
{'descr': '将就', 'star': 4}
{'descr': '宾归如至感，不错，我每次都会入住该酒店.房间整洁。', 'star': 5}
{'descr': '挺不错的，服务员态度很好', 'star': 3}
{'descr': '房间不小，干净，就是隔音效果不好！', 'star': 3}
{'descr': '还不错 挺干净的 房间、床也挺大的 各种设施挺人性化的 服务也挺好 下次还选择汉庭', 'star': 5}
{'descr': '位置方面，干净整洁，服务还算可以，价格还算可以', 'star': 5}
{'descr': '代父母订的，他们十分满意，离火车站也很近', 'star': 5}
{'descr': '服务跟设施都很不错！！唯独就是网速太卡了，跟本就没发用，希望改进下！！', 'star': 5}
{'descr': '很好很方便的一家酒店~~~汉庭的品质~~~你懂的~', 'star': 5}
{'descr': '咋晚七点己入住', 'star': 3}
{'descr': ',隔音真的好差啊', 'star': 3}
{'descr': '服务还不如，，，起初订的是无窗房，给升级了一个靠走廊的窗户', 'star': 5}
{'descr': '服务还好   晚上走廊声音有点大  隔音不是很好  ', 'star': 5}
{'descr': '感觉还可以', 'star': 3}
{'descr': '总体还算不错，出行方便，服务没得说，赞一个。\n吃饭的地方是个问题。希望有所改善。', 'star': 5}
{'descr': '还不错', 'star': 3}
{'descr': '定的周末百元房 非常划算的，下次还入住，汉庭除了上海之外其他的地方都很好', 'star': 5}
{'descr': '灬这家汉庭离火车站确实蛮近的~不过相比附近的锦江和莫泰168~从汽车站出来都差点没看到~总的来说~汉庭还是不错的~比较齐全的设施~', 'star': 5}
{'descr': '环境不错，只是隔音效果太差，隔壁声音清清楚楚。', 'star': 1}
{'descr': '设施简洁干净，早餐简单而可口，是性价比不错的便捷酒店。', 'star': 5}
{'descr': '每次去徐州都住这里 不错的哇 很好很好 推荐哦', 'star': 5}
{'descr': '挺好的，房间挺干净的', 'star': 3}
{'descr': '很好的酒店，干净卫生，服务态度也不错。。。。。', 'star': 5}
{'descr': '位置不错。离火车站不远。也比较好找。性价比不错。网速也还可以。', 'star': 5}
{'descr': '住的很干净,很舒服', 'star': 3}
{'descr': '酒店布局很温馨 很适合情侣入住。交通很便捷 价格也很值得', 'star': 5}
{'descr': '出门在外，首选的住所，舒适干净！特别是大床，可别爽！', 'star': 5}
{'descr': '印象挺不错，干净卫生，设施完善，出行方便，值得推荐。', 'star': 5}
{'descr': '酒店看着挺新的，服务还不错，卫生挺到位，主要是离火车站挺近，出行很方便。', 'star': 5}
{'descr': '周边环境挺好，出行挺方便，房间舒适度还好，服务也不错，下次还会光顾的。', 'star': 5}
{'descr': '很好，连续住了3天了，可能会继续续住，下次出差还是住汉庭', 'star': 5}
{'descr': '汉庭就是不一样，住进去就不想出来了，哈哈啊哈哈，以后出差就一直住这里。', 'star': 5}
{'descr': '服务人员办事效率挺快的，卫生挺好，设施也基本齐全，整体感觉不错。', 'star': 3}
{'descr': '环境挺安静，也挺干净，有宽带能上网，还能提供早餐，感觉挺不错。', 'star': 5}
{'descr': '服务上非常好，位置挺好，靠近火车站挺近，赶火车很方便。', 'star': 3}
{'descr': '环境挺好，安全性挺高，房间不错，挺干净挺舒适，床也挺大，睡着挺好。', 'star': 5}
{'descr': '酒店还不错，服务卫生挺到位，住的挺舒适的。', 'star': 5}
{'descr': '服务上挺好，早餐自助的，口味不错，位置挺好，周边交通挺便利的。', 'star': 3}
{'descr': '房间里挺干净，设施挺齐全，电视网络都有，整体感觉舒适度不错。', 'star': 5}
