{'短评内容': '非常不错，下次肯定再来', '短评打分': 5}
{'短评内容': '环境挺好的', '短评打分': 5}
{'短评内容': '环境挺好的', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '整洁乾诤，服務親切。', '短评打分': 5}
{'短评内容': '环境舒适 地段优越 服务热情', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '推荐', '短评打分': 5}
{'短评内容': '很不错很干净', '短评打分': 5}
{'短评内容': '很棒哦，环境什么的都很好，前台服务也好，就是可以考虑给房间梳子和毛巾架啊，这次的无锡之旅很开心，谢谢汉庭', '短评打分': 5}
{'短评内容': '住一晚挺好', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '沟沟壑壑解决', '短评打分': 5}
{'短评内容': '什么都好，值得推荐！', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '还可以，离神州租车很近。', '短评打分': 3}
{'短评内容': '还可', '短评打分': 5}
{'短评内容': '酒店整体很好，入住手续都很方便，住的是三人间家庭房，房间整体很好 也比较干净，洗手间也挺干净的，房间有一个灯是坏的开不了有点小问题哦 酒店的早餐是自助的 好像18元一个人 有粥 炒饭 馒头 鸡蛋什么 种类还算可以。附近交通很方便 可以坐车到景点，离恒隆 崇安寺一些玩的、购物的地方也很近 基本都可以步行。这次自助去无锡玩很不错。', '短评打分': 4}
{'短评内容': '很不错的酒店，方便，快捷，干净，推荐这个酒店', '短评打分': 5}
{'短评内容': '干净整洁且安静，离商业中心较近，比较方便。', '短评打分': 3}
{'短评内容': '地点好找，环境也不错，房间大，也比较卫生，就是房间在马路一侧，所以有点吵，不过下次如果再到无锡的话，我还会选择这一家的。', '短评打分': 5}
{'短评内容': '习惯了，出门还是住汉庭好。', '短评打分': 3}
{'短评内容': '环境和交通非常好，周边有历史名人故居', '短评打分': 3}
{'短评内容': '一直住的都是汉庭，但这次的房间真的很差，被套居然没有封好口，睡到半夜手都不知道放哪了。真是失望', '短评打分': 3}
{'短评内容': '这家酒店位置好，交通方便，服务周到，价格合适。', '短评打分': 5}
{'短评内容': '除了电梯感觉比较慢，其他都挺好的。对房间很满意。', '短评打分': 5}
{'短评内容': '非常舒服，简单快捷', '短评打分': 3}
{'短评内容': '服务态度好房间干净卫生', '短评打分': 3}
{'短评内容': '交通很便利，房间大小、舒适度都挺不错，就是洗浴出热水比较慢，而且水流小。。', '短评打分': 5}
{'短评内容': '房间挺大的，住得也舒服~只是停车不太方便~过了时间要收费', '短评打分': 3}
{'短评内容': '酒店地理位置很好，很方便，距离市中心走10分钟就到了；服务也很好，还给了我们免费地图；房间也很好，很干净，而且有窗户；二楼可以吃早餐喝咖啡，总之很不错，下次如果去还会住这里的~', '短评打分': 5}
{'短评内容': '再次入住，感觉依然不错。希望电梯能尽快年检，过期了仍在使用必竟是安全隐患。', '短评打分': 5}
{'短评内容': '干净，舒适，没有退房的麻烦。地段也很好，闹中取静。', '短评打分': 5}
{'短评内容': '干净整洁，夜间沿街也算安静，就是隔音效果差点，性价比不错。', '短评打分': 5}
{'短评内容': '还可以，就是位置在马路边会有点吵，电视机有点老，房间有点小吧，设施还是比较齐全，主要想说被子味道比较重，都不敢盖', '短评打分': 5}
{'短评内容': '很不错的汉庭。\n优点：汉庭一贯的双网口，合适的枕头。大厅咖啡奶茶。\n缺点：有点偏，没停车位。\n但还是值得的。', '短评打分': 5}
{'短评内容': '一前台服务周到很好。该店路名比较绕口，问路有点麻烦。如果提醒住客：在市政协旁就好找多了。', '短评打分': 3}
{'短评内容': '酒店附近的交通还算方便,但是没有直达景区的车子.酒店的设施相对比较陈旧,有股烟味,电视还是老式的,不过也无所谓啦,但是淋浴的水太小,洗的不舒服.因为定的是大房,大房都是靠路边的,稍微有点吵.', '短评打分': 1}
{'短评内容': '地理位置很好。房间稍微小了点。挺安静的。', '短评打分': 5}
{'短评内容': '房间很大.干净.地段很好,离市中心很近.如果能安排早餐将更好!', '短评打分': 5}
{'短评内容': '车位太少，其余啥都好。', '短评打分': 3}
{'短评内容': '较好', '短评打分': 3}
{'短评内容': '入住汉庭感觉很不错！', '短评打分': 3}
{'短评内容': '这次住酒店811房，设施非常的好！灯光照明柔和。有五星的感觉！大堂保安在休息厅抽烟不好！应该有人阻止！', '短评打分': 5}
{'短评内容': '房间太小，隔音极差，总之与其他汉庭比，性格比极差。', '短评打分': 1}
{'短评内容': '不错，去了好几次了~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '酒店位置在路口，打车很容易就可以找到，汉庭的口碑一向还不错，和价格相符', '短评打分': 5}
{'短评内容': '是很实惠的快捷酒店，经常住的，服务态度也挺好的', '短评打分': 5}
{'短评内容': '还好，不错的酒店。可以再来住。在这里看的巴萨大胜。', '短评打分': 5}
{'短评内容': '出租车师傅说很不好，我差点放弃不想住了\n后来去了服务员态度不错，还给我一个比较大的房间\n总体评价不错\n还蛮好的，吵也不是很吵，晚上18点的时候能听到车声音\n等睡觉时候听不到了', '短评打分': 5}
{'短评内容': '清爽整洁，临近市中心商业区，交通也便利，不错', '短评打分': 5}
{'短评内容': '酒店周边环境很好，属水景一类。经济型酒店中属舒适型。出入方便。还会考虑再次入住及推荐酒店。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '真方便', '短评打分': 5}
{'短评内容': '在闹市区边缘，地理位置不错。服务态度也不错。', '短评打分': 1}
{'短评内容': '汉庭酒店连锁无锡学前街店位置不错，服务也好，两个字“方便”。', '短评打分': 5}
{'短评内容': ' 地理位置不错,离市中心不远,闹中取静,周边有河、绿化带,环境比较好.就是三楼的房间因为楼下上岛的空调关系很吵,不过后来给换到', '短评打分': 5}
{'短评内容': '房间不是很大，隔音不太好，隔壁大声说话可以听得到', '短评打分': 5}
{'短评内容': '房间太小，其他还行~服务不错~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '住的是高级大床房 房间不错 挺好的', '短评打分': 5}
{'短评内容': '硬件设施不错，价格微贵，电梯不方便，卫生还可以，网速挺快', '短评打分': 5}
{'短评内容': '房间比照片小很多。', '短评打分': 5}
{'短评内容': '很干净 很舒服 离市中心也不是很远..总的来说不错', '短评打分': 5}
{'短评内容': '房间里有上网一体机，这点很方便，适合无电脑的。总体来说还是不错的。', '短评打分': 5}
{'短评内容': '+挺好', '短评打分': 5}
{'短评内容': '就在市中心，房间比较大，整体还是非常的舒适', '短评打分': 5}
{'短评内容': '还好....................................', '短评打分': 5}
{'短评内容': '+还不错，服务态度很好。', '短评打分': 5}
{'短评内容': '住着很舒服的店，就是价格贵了点，主要看上他家的大床了', '短评打分': 5}
{'短评内容': '+很不错，下次还住这里。', '短评打分': 5}
{'短评内容': '很好，很不错的房子，地点很棒，离商业街还有火车站都挺近的！还有很多好吃的地方，汉庭连锁下次继续~', '短评打分': 5}
{'短评内容': '总体感觉不错，只是无锡最近施工，出行不是很方便', '短评打分': 5}
{'短评内容': '很舒适干净，下次来还会来这家店住。交通比较方便。', '短评打分': 5}
{'短评内容': '酒店不错', '短评打分': 5}
{'短评内容': '酒店停车位比较少，不太方便，到八佰伴大概一站路的距离,服务态度还不错。夏天的时候有免费的清凉油赠送，比较贴心。', '短评打分': 5}
{'短评内容': '位置还可以,交通和购物还算方便,不过房间真的太小了,电视也很小,频道也很少,这个价格性价比太低了!', '短评打分': 1}
{'短评内容': '酒店服务非常周到，还送了很多小东西，晾衣架我们打个电话就送来好几个，房间也很大，总之感觉很好，房价也能承受', '短评打分': 5}
{'短评内容': '服务和卫生非常好，酒店地理位置优越，出门过马路穿过五爱广场便能坐1路通向各个景区，非常方便，只需2元。出门向左手边，大概10分钟便有八佰伴商场，购物非常方便，旁边有很多美食店，尽享无锡风味，值得推荐的好店，下次到无锡，继续光顾！', '短评打分': 5}
