{'短评内容': '去普陀山就住这家，码头对面，超级方便', '短评打分': 5}
{'短评内容': '交通便利，下次继续订', '短评打分': 5}
{'短评内容': '太方便了，出了码头就到', '短评打分': 4}
{'短评内容': '地理位置优，舒适', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '地理位置好，离码头近，出行非常方便，每次来普陀山的不二选择，就是房间比较小，床也比较小，设施也比较旧了', '短评打分': 3}
{'短评内容': '地理位置一流，设施陈旧，听说要装修了！', '短评打分': 4}
{'短评内容': '酒店地理位置非常好，只是设施旧了，听说要重新装修了！', '短评打分': 4}
{'短评内容': '每年都住这，交通方便，上网无无线', '短评打分': 4}
{'短评内容': '下了码头就到酒店，很方便，住宿环境也不错！', '短评打分': 5}
{'短评内容': '设施较老，但是地段方便出行，总体还行', '短评打分': 3}
{'短评内容': '就在码头旁边，地理位置绝佳。卫浴设备改造过了都是新的很干净，还免费给我们升级A型房，可惜房间内没有WiFi，另外没有早餐提供太可惜了', '短评打分': 5}
{'短评内容': '离码头很近，去哪里都很方便', '短评打分': 3}
{'短评内容': '不错，宾馆位置就在码头对面，很方便，爸妈住的很不错，还会再定', '短评打分': 5}
{'短评内容': '地理位置绝佳，去码头非常方便。房间虽然没有很高档，但干净。被子原来担心潮湿，结果发现还行。美中不足的是餐厅不好。不过可以自己去外面吃。适合对住宿没有太高要求的人。总体满意，下次如果自己来的话还会住。', '短评打分': 5}
{'短评内容': '干净，离码头很近，床有些小，隔音不好.', '短评打分': 4}
{'短评内容': '60住宿条件很好', '短评打分': 3}
{'短评内容': '还行，就是太潮湿了。其他设置还行。洗澡水流到门口了，有很多蚊子', '短评打分': 5}
{'短评内容': '非常好的位置，就在码头边上，服务态度也相当好，大力推荐！', '短评打分': 5}
{'短评内容': '交通很方便，但是这次住的房间窗户对着走廊，很不通风，所以感觉很不舒服', '短评打分': 5}
{'短评内容': '交通方便，设施齐全，服务态度好。餐饮味道鲜美。', '短评打分': 5}
{'短评内容': '酒店总体还可以   在普陀岛这种环境算是不错的了   酒店就在码头旁边坐车出行都很方便   酒店餐厅凭房卡打8折也比外面便宜', '短评打分': 5}
{'短评内容': '交通绝对方便，属于岛上第一，就在码头对面。环境尚可，就是价格高了点，夏天周末去价格顶得上五星级，不过岛上都一样，没的选择。', '短评打分': 5}
{'短评内容': '已入住，一直选择这家。', '短评打分': 3}
{'短评内容': '酒店的位置非常的好，一出码头就可以看到，\n建议选择此酒店，可以先放行李，轻装游玩\n酒店的条件也明显比家庭旅馆要好，是一个正规酒店\n吃酒店房卡可以在酒店的饭店打八折', '短评打分': 5}
{'短评内容': '进山门对面就是酒店，总体来说比农家的要好很多，比较满意', '短评打分': 5}
{'短评内容': '离码头近. 很方便的. 只是到了晚, 就没什么服务了. 房间, 还是满干净的, 至少我住的是.', '短评打分': 5}
{'短评内容': '靠码头近，厕所真心小，虽然两个都是女生，整个卫生间没有一个门，马桶这边的门又关不严实，洗澡前要在淋浴房外面脱衣服，淋浴房和睡觉的房间之间没个门，真的还是不太好意思的，房间镜子又能直接照到淋浴房门口，这点不大好，上次订的是海景房，结果只能看到一小块海，这次就定了标准房，但是离码头近，如果有机会再去应该还会定的！', '短评打分': 5}
{'短评内容': '酒店就在码头旁边，交通很方便，环境也不错，就是周末房价太贵，性价比不高。建议平时去。', '短评打分': 5}
{'短评内容': '酒店就在码头的正对面，旁边就是汽车站，坐车去哪里都方便！！不错！', '短评打分': 5}
{'短评内容': '酒店位置不错，去各个景点都很方面，关键是靠近交通的码头。\n\n', '短评打分': 5}
{'短评内容': ' 风景好,环境好,服务好,宾至如归', '短评打分': 3}
{'短评内容': '我定的是标B的房间，进去一看房间比较小，床很袖珍。去的时候是阴雨天所以被子很潮，房间有股霉的味道。最满意的还是那个淋浴室，莲蓬头很大全天都有热水还是挺舒服的。客房服务挺好的。不过房间隔音正的很差，旁边说什么都能听见，整体来说房间不值这个价，但是在景区那也就接受了。', '短评打分': 5}
{'短评内容': '地理占优势，去普陀山一直选择的酒店，卫生比较干净，', '短评打分': 5}
{'短评内容': '离码头很近，很近，一到普陀山，到酒店放下行李就可以出去游玩了。缺点是隔音效果不怎么好，怎么说呢，三星嘛，差不多就这样了', '短评打分': 5}
{'短评内容': '每次去都住这家，地理位置是最大优势，房价适中，就是比较潮湿。', '短评打分': 5}
{'短评内容': '不错，离码头很近，玩起来很方便，可以把行李记在这里，玩好回来取了直接上船，价格也很不错，小院很安静', '短评打分': 5}
{'短评内容': '房间挺干净，爸妈挺喜欢', '短评打分': 3}
{'短评内容': '每次去都住海通，因为他交通方便也很安静\n楼下餐馆的菜味道也不错，不过，今年去普陀山发现楼下餐馆涨得太厉害了，一个青菜鸡毛菜汤卖到20元，而且只有少量的青菜和少许豆腐，早餐的稀饭那真是稀啊~~~', '短评打分': 5}
{'短评内容': '酒店位置非常好 门外有到个各个景区的车 卫生不错 安静 满分', '短评打分': 5}
{'短评内容': '还可以吧，主要离码头近。。。。。。。。。', '短评打分': 5}
{'短评内容': '外部店面很不起眼，但里面客房比较干净整洁宽敞（标A），床软硬宽度舒适。服务态度也还不错。就在码头对面，离小公交站也只5分钟距离，交通便捷。就是价格偏高，年初一住一晚800元，我要四间花了3200元，有点心痛。两三百元的话还是很值得推荐的。', '短评打分': 5}
{'短评内容': '距离轮渡很近。缺点是房间有点小，卫浴用品有点脏。无他', '短评打分': 5}
{'短评内容': '宾馆的位置就在码头的附近，闹中取静，定的二楼的海景房，性价比高，比去年住的农家强很多，床单等干净，热水，暖风好，总之，这次选择海通宾馆，整体上很舒服，下次还会选它。', '短评打分': 5}
{'短评内容': '距离码头很近                                                           \n位置很方便\n服务不错\n', '短评打分': 5}
{'短评内容': '＋很好！下次来有机会还选择这里！', '短评打分': 3}
{'短评内容': '离码头非常近，非常便捷，但是房间很小，而且厕所没有门。不过很干净，没有什么景观。房间空调很暖。', '短评打分': 5}
{'短评内容': '离码头非常近，非常便捷，但是房间很小，而且厕所没有门。不过很干净，没有什么景观。房间空调很暖。', '短评打分': 5}
{'短评内容': '地理位置很好，离码头很近，房间也很干净。很值得推荐！', '短评打分': 5}
{'短评内容': '地理位置很好，离码头很近，房间也很干净。很值得推荐！', '短评打分': 5}
{'短评内容': '价格高房间小，隔音还不好。就是离码头特别近', '短评打分': 1}
{'短评内容': '价格高房间小，隔音还不好。就是离码头特别近', '短评打分': 1}
{'短评内容': '还可以离码头近，价格偏贵隔音效果不怎么好', '短评打分': 3}
{'短评内容': '还可以离码头近，价格偏贵隔音效果不怎么好', '短评打分': 3}
