{'短评内容': '挺不错的，环境好，服务业很到位。', '短评打分': 5}
{'短评内容': '服务非常好', '短评打分': 5}
{'短评内容': '酒店太差不像是汉庭', '短评打分': 1}
{'短评内容': '酒店太差了还没7天什么的好', '短评打分': 1}
{'短评内容': '很好，商家也实在。', '短评打分': 5}
{'短评内容': '朋友开的可以', '短评打分': 5}
{'短评内容': '一直都是住汉庭酒店  值得信赖！', '短评打分': 5}
{'短评内容': '一下子', '短评打分': 5}
{'短评内容': '总体不错，', '短评打分': 4}
{'短评内容': '性价比不错', '短评打分': 5}
{'短评内容': '还可以吧，床小了，', '短评打分': 4}
{'短评内容': '房间位置很好，住得很舒服。', '短评打分': 5}
{'短评内容': '环境和舒适度始终还是没有七天连锁好，床垫感觉已经被睡塌下去了，睡上去感觉怪怪的。卫生间的花洒出水太小，洗头要洗很久，真心累啊！早上八点左右，收拾房间的阿姨说话特别大声，房间隔音效果也不好，常常被吵醒，这个酒店必须改良啊！', '短评打分': 2}
{'短评内容': '商务出行地理位置不错房间较干净', '短评打分': 4}
{'短评内容': '地理位置好靠近步行街。.房间比较干净，房间小一些.值得推荐； 总体而言属于性价比比较高的酒店，是出差入住郴州的首选！', '短评打分': 4}
{'短评内容': '总体来说酒店各个方面都还不错，地理位置好靠近步行街。房间小一些，总体而言属于性价比比较高的酒店，是出差入住郴州的首选。', '短评打分': 4}
{'短评内容': '房间还算干净，服务员态度不好不坏，整体来讲这个价格基础上还算满意。', '短评打分': 4}
