{'短评内容': '一次性买了很多东西，晒图好累了.....满意。这家酒店凑合住吧', '短评打分': 5}
{'短评内容': '房间还比较大，床宽大舒适，但设施家具老旧，整栋建筑如教学楼，住一楼的:房间有霉味。不提供早餐，停车场很大且免费，距离大佛开车也不远。', '短评打分': 3}
{'短评内容': '房间很不错，很安静哦', '短评打分': 5}
{'短评内容': '没有早餐，停车方便。', '短评打分': 4}
{'短评内容': '不推荐大家入住，出来玩了那么多次，这是我最郁闷的一次住宿，提前下了住宿订单，结果开一天车到了目的地，老板告诉我你们没有提前预定啊？我现在就一个标间了，给她看了携程订单，她要我取消订单，呵呵，我也是笑了。我到的时候都快晚上8点了，周围都住满了，只能联系携程的客服，结果老板说：我现在帮你临时腾了3个房间出来，之前你们的订单我这新来的前台小妹，没看到你们的订单，只是你们定的是226元的房间，我现在给你的', '短评打分': 2}
{'短评内容': '感觉还过得去', '短评打分': 4}
{'短评内容': '环境优美 价格实惠', '短评打分': 5}
{'短评内容': '酒店的淋浴器该换了！', '短评打分': 4}
{'短评内容': '一般，设施简陋，环境还行，比较安静。', '短评打分': 4}
{'短评内容': '各方面不好', '短评打分': 2}
{'短评内容': '酒店比平时贵多了，原来住的是行政楼的标间，这次住的普通的，总的来说还行，下次还是住行政标间', '短评打分': 5}
{'短评内容': '仅仅是睡一觉，要求不要太高。设施陈旧，卫生有待改善。', '短评打分': 3}
{'短评内容': '还是比较安静。但是B楼设施相当陈旧！希望能改善！', '短评打分': 5}
{'短评内容': '停车方便，酒店环境还好了', '短评打分': 4}
{'短评内容': '卫生干净，环境安静，推荐', '短评打分': 3}
{'短评内容': '第二次入住，酒店干净卫生，出行方便，晚上也很安静，下次来乐山还会选择这家', '短评打分': 5}
{'短评内容': '非常满意！环境很好！和图片上的实图是一样的！', '短评打分': 5}
{'短评内容': '房间不错，就是在外面街上不好找', '短评打分': 3}
{'短评内容': '入住感觉非常好，服务员态度也很好，专门给我们安排院内不临街的房型，很安静。进到房间一看，绝对不亚于四星级酒店，床很大、很舒服，卫生间也很大，不是一般快捷或者商务酒店的小卫生间，综合感觉都很好，而且酒店门口就有一家烧烤，也是特别的好吃，整体感觉都不错。\nps:就是有个酒店的大叔态度一般，要个一次性拖鞋就有点不高兴，希望下次能改进。\n如果有朋友来乐山，就推荐这个酒店。', '短评打分': 5}
{'短评内容': '很不错，价格合适，房间的被子很干净，离乐山大佛也不远。', '短评打分': 5}
{'短评内容': '干净、卫生，和峨眉山下的相比较，各方面都好多了。', '短评打分': 5}
{'短评内容': '房间还不错就是如果可以标注每个开关的功能就好了…满意', '短评打分': 3}
{'短评内容': '住宿条件还行，服务态度不错', '短评打分': 3}
{'短评内容': '附近好吃得多，酒店也不错，就是淋浴间排水太差', '短评打分': 5}
