{'短评内容': '老，旧来形容，屋里面老有一股臭味', '短评打分': 2}
{'短评内容': '酒店在边检大院里，安全有保障，参照四星标准，房间大，性价比不错。中英街步行可到。出门就是沙头角海关公车站，去大梅沙东部华侨城啥的玩也很方便。房间不带早餐，但楼下中餐厅港式茶点挺不错，周一到周五还可以打六折。如今每次亲戚朋友过来，住星亮喝早茶都是标配。', '短评打分': 5}
{'短评内容': '位置还行，酒店比较老套，紧贴这香港，晚上十分安静，不足之处就是配置老旧，尤其是洗手间，有些气味，希望改进。', '短评打分': 4}
{'短评内容': '无早餐，位置不错，能停车', '短评打分': 4}
{'短评内容': '有点难找到', '短评打分': 4}
{'短评内容': '性价比比较好，离中英街也比较近', '短评打分': 5}
{'短评内容': '安静。服务不错。价格不贵。', '短评打分': 5}
{'短评内容': '比较安静', '短评打分': 4}
{'短评内容': '到沙头角办事临时找个地方住而已，也就一个普通的招待所吧，空调坏了忍了一个晚上，第二天客房阿姨来修的。', '短评打分': 3}
{'短评内容': '酒店环境还可以，周边安静，并且应该很安全！', '短评打分': 5}
{'短评内容': '还不错吧，还不错吧，还不错吧，还不错吧，还不错吧，还不错吧，还不错吧，还不错吧，还不错吧，还不错吧，还不错吧，还不错吧，还不错吧，还不错吧，还不错吧，', '短评打分': 4}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '卫生非常条件不好，不会再住了～', '短评打分': 3}
{'短评内容': '就在沙头角口岸附近，蛮方便，推荐', '短评打分': 4}
{'短评内容': '还可以。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '挺好！', '短评打分': 4}
{'短评内容': '交通不方便，环境闹中有静，住宿不错。。。', '短评打分': 5}
{'短评内容': '基本还不错，装饰属于比较老气一点的，交通方便，去大梅沙，民俗村都挺方便一车到。', '短评打分': 5}
{'短评内容': '位置很好找，非常安全，停车方便，装修新，喜欢房间里两张1.2米的床拼在一起，2.4米的宽度，带小孩的一家三口也不会拥挤，干净卫生。下次一定还会入住。', '短评打分': 5}
{'短评内容': ' 酒店新、安静入住还是很不错，就希望能准备两个护颈椎的枕头，枕头比较软', '短评打分': 5}
{'短评内容': '  一直以为在深圳沙头角附近酒店一般都很陈旧，因为自己也是做酒店管理的，所以对酒店的入住要求很高，当进入星亮酒店房间的时候，觉得这个酒店还是很不错的，新酒店干净、比较舒适，如果下次再去深圳沙头角，我还是会选择星亮酒店。\n   建议：席梦思可以做成软硬各一面的，现在人的颈椎都不好建议枕头准备两个护颈椎的枕头（酒店枕头有些偏低太软）\n  ', '短评打分': 5}
{'短评内容': '酒店是新开的，相对这个价格真的超好了，前台接待的服务员也很好。房间标双比星级酒店小，洗浴的时候，客房能透过玻璃看清里面的画面，比较适合情侣去！', '短评打分': 3}
{'短评内容': '总体：好评。\n洗澡水：好。缺点是没有浴帘，干湿分区的设计效果不尽人意。\n床：舒适，被褥好。\n环境：安静，好评。\n餐饮：附近餐厅方便。看了酒店餐厅的菜牌，感觉没有特点，故没有尝试。\n交通：自驾车抵达，导航仪上没有星亮酒店，摸过来的，还算容易。\n保安：停车场的保安很尽责，人很好，笑起来很可爱。\n感觉像是试营业期间，比较新鲜。', '短评打分': 5}
{'短评内容': '四星的装修标准，价格实惠，卫生，交通方便，下次还会住', '短评打分': 5}
{'短评内容': '看山景空气好，安全也比较好', '短评打分': 3}
{'短评内容': '很干净，服务态度很棒！下次来还会住，满意', '短评打分': 3}
{'短评内容': '好像说是沙头角边检的办公楼改成的酒店，所以从外面看不是很显眼，不过里面还可以吧，第二次入主了，觉得比较方便。', '短评打分': 5}
{'短评内容': '酒店处于一个住宅区里面，火车站有车可以直达，很方便。而且酒店很干净，地理位置不错，离中英街也很近，不错！而且酒店可以14点退房，这点不错哦，一般的酒店都是中午12点退房的。', '短评打分': 5}
{'短评内容': '很精致的一家酒店，新装修的，设施很完善，服务业很好，挺满意的。下回还会选择。', '短评打分': 5}
{'短评内容': '123', '短评打分': 3}
{'短评内容': ' 深圳鹽田區，經濟酒店', '短评打分': 3}
{'短评内容': '＋新酒店不错，够清静，干净，服务质量几好，地理位置几好，近中英街', '短评打分': 3}
{'短评内容': '酒店比較新，出行比較方便，缺點房間冷氣聲音太大，工作人员清洁不认真。但总体来看还算可以', '短评打分': 3}
{'短评内容': '酒店新，出行也方便，不错。', '短评打分': 3}
{'短评内容': '环境安静干净！后面的山景美，打开窗就可以闻到花草香！', '短评打分': 3}
{'短评内容': '环境很好，服务很亲切，设施都是新的。', '短评打分': 3}
