{'短评内容': '垃圾酒店', '短评打分': 1}
{'短评内容': '离高铁很方便很近，因市政修路有影响', '短评打分': 5}
{'短评内容': '出差会议在这里，卫生和周围环境都很一般，最过分的餐厅服务员，在很多座位的情况下一定要让我与别的客人拼桌，指指点点好几张桌子，太过分了', '短评打分': 3}
{'短评内容': '酒店位置和和卫生都很一般，因为出差会议在这里，不得已才住这里，餐厅服务员太过分，早餐用餐一定要让我与别的客人拼桌，又不是没有座位，太过分了，一气之下早餐也没吃！', '短评打分': 2}
{'短评内容': '房间不错', '短评打分': 5}
{'短评内容': '没进酒店前外观觉得挺高大上的，进入酒店大堂感觉就是3个字脏、乱、差，进入房间墙纸脱离，床的靠背上的皮也脱落一块，连天化板都有掉渣的，我只能说无语。', '短评打分': 4}
{'短评内容': '房间还可以，早餐一般，尤其是粥也熬不好', '短评打分': 4}
{'短评内容': '相当不错的环境，不错', '短评打分': 5}
{'短评内容': '地理区域不错 出行方便周边吃的也很多 房间很大', '短评打分': 5}
{'短评内容': '交通便利，环境也挺好的，服务很热情，房间比较多，房间干净，整洁，有家的感觉。床很大很舒服，是一次不错的选择。', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '停车要交费', '短评打分': 2}
{'短评内容': '适合出差住宿环境较好', '短评打分': 4}
{'短评内容': '住了两次了，一般吧', '短评打分': 4}
{'短评内容': '空调不给力，吹不了热风，其它不错', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '房间很很干净，服务人员都很热情，周边交通方便，性价比非常高，值得推荐哦！！！', '短评打分': 5}
{'短评内容': '酒店很好i卫生条件满意，早餐很好，相对比周围的酒店，性价比算不错，服务态度也不错，打车不方便。', '短评打分': 5}
{'短评内容': '酒店还不错。', '短评打分': 3}
{'短评内容': '新开的酒店，性价比还行，就在植物园北门，空调效果不错，下次还会再来。', '短评打分': 5}
{'短评内容': '整体环境很好，新酒店，硬件很好。早餐有待加强，服务不错！', '短评打分': 5}
