{'短评内容': '差', '短评打分': 2}
{'短评内容': '价格便宜，卫生环境还可以', '短评打分': 3}
{'短评内容': '一般但还是应实惠', '短评打分': 3}
{'短评内容': '环境还不错……住起来感觉好', '短评打分': 5}
{'短评内容': '老板热情', '短评打分': 5}
{'短评内容': '对面就是春园海鲜大市场，相对坑人的海鲜还算便宜，住的条件一般。', '短评打分': 4}
{'短评内容': '不好', '短评打分': 2}
{'短评内容': '房间极差，被网上的图片骗了，空调也是坏的，还296一间，这是我这辈子住过最差的房间了，像难民房一样，强烈建议大家不要入住！', '短评打分': 1}
{'短评内容': '房间很不错，很温馨，前台美女啊娇态度很热情很好人，赞！！', '短评打分': 5}
{'短评内容': '非常好，虽然没住进榻榻米，但老板人很好。', '短评打分': 5}
{'短评内容': '酒店还不错，服务人员也蛮好的还送了一点，水果吃，', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '对行起这价格.不好的就是外面有一些小姐拉客', '短评打分': 4}
{'短评内容': '对行起这价格.不好的就是外面有一些小姐拉客', '短评打分': 4}
{'短评内容': '简约酒店还行！', '短评打分': 5}
{'短评内容': '帮朋友订的房，朋友说还不错，干净，就是房间小点，第二天住亚龙湾从这边打车也很方便，吃海鲜买东西都很方便', '短评打分': 5}
{'短评内容': '酒店位置不错，主要出行购物方便，房间不大，但卫生干净，服务员也很热情，下次来三亚还选这里', '短评打分': 3}
{'短评内容': '普通型的私人酒店，房间空间小，床也小，感觉很一般，价格也高', '短评打分': 1}
{'短评内容': '房间空间较小,床也不大,卫生还可以,典型的私人宾馆', '短评打分': 3}
{'短评内容': '挂牌价980元与实际不付，还不如挂牌285元的房间。房间大部分没有窗户，做的是假窗，酒店外嘈杂，店内也嘈杂，周边环境脏。', '短评打分': 1}
{'短评内容': '酒店设施简单不愧简约，前台服务人员很热情，不过隔壁按摩房太乱，单独进出会被她们骚扰，他们的生意貌似比酒店的还要好', '短评打分': 1}
{'短评内容': '酒店位置很不错,就在春园海鲜广场对面,还有南山的4S接待处,很不错~~房间大小也可以,去市区的话可以选~~', '短评打分': 3}
{'短评内容': '宾馆一般，房间有蟑螂.。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '服务态度不错,就是小强们有点过于热情,不知道周边其他家是一样情况不。', '短评打分': 3}
{'短评内容': '就在春园对面,很方便,环境也不错', '短评打分': 3}
{'短评内容': '＋酒店服务不错！', '短评打分': 3}
{'短评内容': '朝马路的太吵了，不朝马路的太暗了，地点还行，房间太潮，', '短评打分': 1}
{'短评内容': '酒店服务还不错,就是太小了,窗户直对一面绘画的墙,简直不开灯就没法呆', '短评打分': 5}
{'短评内容': '在简约酒店入住后，因为要等晚班机，闲着无聊就跟前台聊了一下，才知道原来酒店对面就是4S南山寺购买门票点，在这里购买门票150元，就可免费坐南山专线服务车直达南山寺。一天两班，8:30分一班，9:30分一班。虽然免费班车时间是固定的，但是想想这样也可以省下几百块钱啊。之前在亚龙湾的时候就包车去南山寺，花了我300多块.酒店的位置还是挺好的。吃住方便，去景点看来也是很方便哦。\n', '短评打分': 5}
{'短评内容': '我订的是豪华双床，入住后感觉还不错，设施比较齐全、卫生、整洁，就是房间小了点，且窗户离另外一栋房子的外墙只有10厘米，网速不够快。', '短评打分': 5}
{'短评内容': '名字是简约，其实还是简单的家庭旅馆。房间比较旧，设施也一般，卫生间很简单。不过这样的价格可能也就只能是普通的家庭旅馆了。', '短评打分': 1}
{'短评内容': '所订的酒店卫生非常的差 所订的酒店卫生非常的差 所订的酒店卫生非常的差 所订的酒店卫生非常的差 ', '短评打分': 1}
{'短评内容': '物有所值。。周边配套设施也不错。。吃住行都很方便。。', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '有点吵', '短评打分': 3}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '  已经成功入住，酒店一般，还比较卫生。感觉服务还不错', '短评打分': 3}
{'短评内容': ' 还算干净整洁，确实很简约，路边有点吵，不过价格便宜嘛，也别要求过多了，个人觉得可以满足过夜基本要求。', '短评打分': 3}
{'短评内容': '环境安静，房间干净，服务不错，就是门口打车有点困难', '短评打分': 5}
{'短评内容': '酒店小了点，房间还不错，服务态度也好。就是房间能上网但没有桌子放电脑啊。。。', '短评打分': 5}
