{'短评内容': '总体感觉不错，吃和出行都比较方便，满意度很高，赞一个！', '短评打分': 3}
{'短评内容': '环境太差，需要重新装修了', '短评打分': 3}
{'短评内容': '住的是地下室，潮湿霉味大！不过设施还算齐全，卫生良好，服务态度还可以。', '短评打分': 3}
{'短评内容': '交通挺方便的.', '短评打分': 3}
{'短评内容': '位置不错，卫生还可以，其它都不太好。', '短评打分': 3}
{'短评内容': '环境不错，服务很贴心。', '短评打分': 0}
{'短评内容': '还不错，位置比较好，晚上溜达一下就能到海边，还比较干净，服务员的态度不错，性价比还算OK了', '短评打分': 5}
{'短评内容': '不知道图片从哪拷来的，就弄个上下层就创意客房了，连装修都没装修，屋顶管子用破布包着，地板都好大的缝，毛巾边都破破烂烂的了还不换，房间很小，楼下一个小床，一个双人沙发一个茶几，楼上一张床，一台电视，看不出哪里值308，跟图片半毛关系没有，实际看到房间绝不会住。', '短评打分': 1}
{'短评内容': '朋友来青岛，让我帮忙预订购物游玩方便、干净舒服而且价格适宜的酒店，这里各项都很符合，朋友很满意，而且服务员很热情！朋友要赶最早的火车去天津，服务员主动帮助拎行李，叫出租车，还帮助确认出租车价格，非常周到！', '短评打分': 5}
{'短评内容': '大厅很有创意，环境好，位置好，周边吃饭 购物 游玩都方便，入住后很舒心，酒店服务人员服务细心周到，为这次青岛之行加分不少，下次还会选择这家酒店。。。', '短评打分': 5}
{'短评内容': '环境还不错，位置不错，周围吃饭，购物方便，客房服务员服务挺好，有点家的赶脚，看样像是刚装修过的样子', '短评打分': 5}
{'短评内容': '还好，就是隔音一般。算是不错吧，地方挺好的，服务也不错。', '短评打分': 1}
{'短评内容': '网络不能使用。负一楼标准间无窗户。网络不能使用。负一楼标准间无窗户。网络不能使用。负一楼标准间无窗户。网络不能使用。负一楼标准间无窗户。网络不能使用。负一楼标准间无窗户。网络不能使用。负一楼标准间无窗户。网络不能使用。负一楼标准间无窗户。网络不能使用。负一楼标准间无窗户。', '短评打分': 1}
{'短评内容': '门面很小，但进去很大，我们是住的套房，感觉还不错，服务也很好，就是卫生间太小了。', '短评打分': 5}
{'短评内容': '有点潮~其他的还好。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '房间阴暗潮湿，好多东西都是坏的···隔音很不好~半夜隔壁的打呼声吵死了··', '短评打分': 1}
{'短评内容': '服务态度很好。语气很笑容不做作。很好。喜欢哪里的房间，周围交通便利，日常所需的小物品，出门上坡道左转就有。马路对面还有药房。离54广场很近，总之都还比错。推荐其他的好朋友到青岛，选择！呵呵！在青岛旅游可以说是个好住宿条件的地方，房间费不贵。我喜欢大床房，有情调！！！呵呵！2009号。呵呵！适合情侣！！------就是房间的里面的沙发有点旧了。', '短评打分': 5}
{'短评内容': '就价格，地段而言，还可以，房间小点不要紧，天热热水时热时冷也算了，居然没房间打扫的！天天要自己喊的，这算是我住过最差的饭店服务了', '短评打分': 1}
{'短评内容': '酒店位置还不错，就是住的是地下室，有点闷！', '短评打分': 1}
{'短评内容': '酒店环境还不错，服务也还可以。交通比较便利！', '短评打分': 5}
{'短评内容': '整体还不错啦~服务员的态度也很好。只是和大部分连锁快捷酒店比，还是有些差距。需要提高哦~~~\n价格也不错~', '短评打分': 5}
{'短评内容': '没有窗户，还很贵！服务也差劲，进了客房乱七八糟，服务员竟然还没有收拾，下次不住这里了！！', '短评打分': 1}
{'短评内容': '地段不错，在繁华的南京路上，对面有夜市，而且离美食街步行10分钟左右。但酒店底层太潮，一晚上打折空调除湿也不行，衣服根本没法干。服务也只能说是一般。', '短评打分': 1}
{'短评内容': '地位位置很好  离江西路、闽江路美食街都很近\n特价客房虽然无窗  但是设施比较新  住着很舒服\n只是有一点不好  没有大三孔的插座  我们的MOTO智能手机都没法充电', '短评打分': 5}
{'短评内容': '环境很好，位置也挺好的', '短评打分': 3}
{'短评内容': '很不错! 很满意!不多说,够20字就可以!', '短评打分': 5}
{'短评内容': '没有窗户，太闷了，但是电视可以收很多台。', '短评打分': 1}
{'短评内容': '没窗户', '短评打分': 3}
{'短评内容': '位置不错，出现方便，热水很好，房间还好，差强人意的是网络太差了，速度非常慢，虽然有WIFI,希望能改进', '短评打分': 5}
{'短评内容': '酒店的服务态度还不错.', '短评打分': 3}
{'短评内容': '房间还可以，但很多细节做得不好，不专业。如烧水的壶是坏的，没有地方插电源等。', '短评打分': 1}
