{'短评内容': '我是大概下午六点去的，可以住了。有停车的地方，保留停车费收据可以去前台报销。', '短评打分': 5}
{'短评内容': '房间有点小，不适合带孩子住，两张床不能拼到一起。', '短评打分': 5}
{'短评内容': '总体还不错', '短评打分': 5}
{'短评内容': '第一次在淮南住，干净舒适，吃上一碗淮南牛肉汤，啧啧，爽！', '短评打分': 5}
{'短评内容': '不错，性价比超高，每次都住这里！', '短评打分': 5}
{'短评内容': '不错，性价比超高，每次都住这里！', '短评打分': 5}
{'短评内容': '对于快捷酒店我住的算比较多的，但是他们一直让我把携程订单退了，做他们的会员这个我特别不能接受，一说不办卡立马态度就转变了。我觉得我下次不会再入住这家汉庭了。', '短评打分': 3}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '还可以，挺不错的', '短评打分': 5}
{'短评内容': '还不错，虽然房间不大，但是洗澡很舒服，水大，快捷酒店嘛，不能要求太多，这样已经不错了！', '短评打分': 4}
{'短评内容': '性价比高，满意', '短评打分': 4}
{'短评内容': '一般般', '短评打分': 3}
{'短评内容': '入住多次了。基本是来淮南出差定点酒店了', '短评打分': 5}
{'短评内容': '不错的选择，下次还去', '短评打分': 3}
{'短评内容': '原先不想给推荐的，后来感觉前台服务还行，入住以后还打电话来问可合适！但是这个图片上面的礼物呢！？送一次是什么意思！最夸张的是早饭都没有！也没有人通知。。。', '短评打分': 3}
{'短评内容': '酒店服务各方面都不错，就是早上周边环境太吵了！', '短评打分': 3}
