{'短评内容': '很不错 很好 京东的东西值得信赖 我经常在京东买东西 售后有保障 给好评 很喜欢 赞', '短评打分': 5}
{'短评内容': '还不错，就是洗澡的时候水太小了', '短评打分': 5}
{'短评内容': '就是房间稍微小点', '短评打分': 3}
{'短评内容': '还行，环境还可以', '短评打分': 5}
{'短评内容': '来这边三天，可惜第一天来晚了没订上，后两天连续订了，很满意，以后再来，还会选择这个连锁酒店，便宜，划算，性价比很高，走的匆忙，忘记拍照了，', '短评打分': 5}
{'短评内容': '每次来找男朋友都在布丁酒店，性价比很高。设施很好，房间很干净，服务也好，最重要的这么好的条件，价格却很便宜，希望继续保持！！', '短评打分': 5}
{'短评内容': '窗子真的是人才', '短评打分': 4}
{'短评内容': '特别是房间的窗户，暗窗', '短评打分': 2}
{'短评内容': '总体来说不错了', '短评打分': 5}
{'短评内容': '地理位置还不错，周围小吃比较多，交通也挺便利，前台人员服务挺好', '短评打分': 5}
{'短评内容': '环境差，房子太小', '短评打分': 2}
{'短评内容': '感觉亦曾相识', '短评打分': 5}
{'短评内容': '性价比高，很舒适', '短评打分': 4}
{'短评内容': '性价比高，舒适', '短评打分': 4}
{'短评内容': '房间大小还不错，就是不提供洗漱用品，卫生淋浴间太小', '短评打分': 3}
{'短评内容': '总体还好，房间那个窗子没什么好的作用，让人感觉很不安全，窗子对面是另一个房间的窗子', '短评打分': 3}
{'短评内容': '入住本酒店，环境很舒心，有种家的感觉，设施很齐全，服务也很让人满意！', '短评打分': 3}
{'短评内容': '地理位置较好，环境卫生比较好，服务较好，比较适合', '短评打分': 5}
{'短评内容': '昨天来西安出差、第一次住布丁酒店、感觉蛮好的。虽然房间有点小、但设计蛮精巧和温馨的、尤其楼层上的墙绘。很吸引人、心情也蛮舒畅的。哦忘了、前台小姑娘很热情的、办完入住送了我2瓶矿泉水、呵呵第一次住布丁还有这待遇。欣慰、欣慰~~  还有早上还的感谢前台小姑娘、今天早上我是8点的飞机。让前台小姑娘5:20叫醒了、小姑娘好像早上打我房间电话了、我睡的很迷糊、没有听见、也自己忘了定闹钟、最好敲我房间门把我叫', '短评打分': 5}
{'短评内容': '挺干净的，但是没有洗漱用品，没有自带的话需要买。', '短评打分': 3}
