{'短评内容': '位置很好 服务很好 早餐不错', '短评打分': 5}
{'短评内容': '地理位置很好，环境也不错，早餐品种还是比较全的，商务出差值得一住', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '出行方便，房间很大，早餐也很丰富。价格也比较实惠。', '短评打分': 5}
{'短评内容': '整体比较满意，就是设施有些老了。', '短评打分': 5}
{'短评内容': '总台小杨服务好，笑容灿烂甜美，好好', '短评打分': 5}
{'短评内容': '房间干净，枕头舒服', '短评打分': 5}
{'短评内容': '宽敞、干净', '短评打分': 5}
{'短评内容': '总台小杨服务不错 房间不错 推荐 好 总台小杨服务不错 房间不错 推荐 好', '短评打分': 5}
{'短评内容': '总台小杨服务不错 房间不错 推荐 好', '短评打分': 5}
{'短评内容': 'ez免费升级了房间、早餐丰富，好评', '短评打分': 5}
{'短评内容': '每次邀请专家来都住在这里', '短评打分': 5}
{'短评内容': '交通方便，可惜没有只包含单早的', '短评打分': 5}
{'短评内容': '据司机说，是老牌的五星级酒店。地理位置优越，旁边有一个公园，忘了名字，如果你有晨跑的习惯，这是一个很好的选择。离很多吃饭的地方也不远，很方便。\n前台接待服务态度很好，办事效率高。房间适中，干净卫生。有水果送。门童服务意识很强，我们暑假去时天气酷热，当时叫了滴滴，门童说他在外面等车，让我们在里面呆着，有空调。非常感谢。', '短评打分': 5}
{'短评内容': '每次请专家来都订这里，距离我们单位最近的五星', '短评打分': 5}
{'短评内容': '很好很好很好', '短评打分': 5}
{'短评内容': '好好。 还不错。', '短评打分': 5}
{'短评内容': '好好。 还不错。', '短评打分': 5}
{'短评内容': '环境好，卫生干净，服务态度好', '短评打分': 5}
{'短评内容': '很好！很不错！下次还来！', '短评打分': 5}
{'短评内容': '非常满意，位置佳服务好，凭房卡去吃自助晚餐可以享受132/位的优惠价格', '短评打分': 5}
{'短评内容': '很不错，满意，干净整洁舒适。价格也比其他平台优惠些，下次继续光顾', '短评打分': 5}
{'短评内容': '酒店周边环境特别好，住的非常满意，前台小王还送了礼品，下次还会选择华侨饭店', '短评打分': 5}
{'短评内容': '房间布置挺好的，不错，还有水果送，下次还订这酒店', '短评打分': 5}
{'短评内容': '不错的，服务也好', '短评打分': 5}
{'短评内容': '很不错的酒店哦 大堂气派 房间卫生状况好 床也睡得舒服 下次来还会考虑住这里', '短评打分': 5}
{'短评内容': '一般一般', '短评打分': 4}
{'短评内容': '房间干净整洁，还把东西落在了酒店，工作人员也帮忙寄回，感谢！到温州，值得一住的酒店！', '短评打分': 5}
{'短评内容': '环境好，地段好', '短评打分': 5}
{'短评内容': '很好…………………………………………………………………………………………………………………………………', '短评打分': 5}
{'短评内容': '老牌豪华酒店，的确不一样，非常好……', '短评打分': 5}
{'短评内容': '酒店不错 卫生有很好 好评！', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '整体不错，出入方便！', '短评打分': 5}
{'短评内容': '服务细节做的都不错，人员也比较热情！', '短评打分': 5}
{'短评内容': '地理位置不错，其他四星半。', '短评打分': 4}
{'短评内容': '设施已陈旧，服务还好，早餐不错。价格偏高，与酒店实际提供的设施服务不匹配。', '短评打分': 4}
{'短评内容': '酒店不错 很满意  下次还会住这里  酒店不错 很满意  下次还会住这里  酒店不错 很满意  下次还会住这里  酒店不错 很满意  下次还会住这里  酒店不错 很满意  下次还会住这里  酒店不错 很满意  下次还会住这里  酒店不错 很满意  下次还会住这里  ', '短评打分': 5}
{'短评内容': '温州性价比比较高的五星酒店，就是桌子上缺少点纸巾！！！室内无线网络信号差，手机有时连得上，有时连不上！！', '短评打分': 5}
{'短评内容': '每次到温州出差，都会入住温州华侨饭店，很有亲切感，温馨、舒服！', '短评打分': 5}
{'短评内容': '来了很多次，在市中心比较方便。美食很好。唯一不足的是这里必竟是市中心，不够安静咯。。', '短评打分': 5}
{'短评内容': '去温州一直首选的酒店，感觉不错，早餐丰盛。', '短评打分': 5}
{'短评内容': '第一次入住，还不错，位置好服务很好，以后还会选择这里。', '短评打分': 5}
{'短评内容': '老住客了，总体还行，在市中心，挺方便的，就是装修有点老了，', '短评打分': 5}
{'短评内容': '环境、服务都还挺好的。购物也比较方便。比较满意。', '短评打分': 5}
{'短评内容': '非常好，环境和设施也不错，市区交通也比较便利！！！', '短评打分': 5}
{'短评内容': '酒店比较舒适,总体比较满意,就是前台结账太慢\n', '短评打分': 5}
{'短评内容': '服务很好，下次来还住华侨酒店。', '短评打分': 3}
{'短评内容': '非常不错啊 下次还会再来的~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '出差到此地，骗人呢共有介绍的，入住后感觉不错，以后还会再来！', '短评打分': 5}
{'短评内容': '不错的酒店，感到很满意，下次出差还会到这里来！', '短评打分': 5}
{'短评内容': '酒店比较舒适,总体比较满意.以后出差还会入住', '短评打分': 5}
{'短评内容': '公司的同事出差入住,入住很多次了,总体满意的.', '短评打分': 5}
{'短评内容': '帮公司的同事订的,每次去都住这里,还是比较满意的.', '短评打分': 5}
{'短评内容': '温州华侨整体不错。', '短评打分': 3}
{'短评内容': '＋这个酒店还不错。', '短评打分': 3}
