{'短评内容': '步行街附近近吃喝玩乐方便！卫生服务态度好！', '短评打分': 5}
{'短评内容': '价格便宜！服务态度好！地址位于市中心步行街！方便！', '短评打分': 5}
{'短评内容': '一直觉得价格指数高！服务，好！地点方便！周围各种饭店都有', '短评打分': 5}
{'短评内容': '离方塔东街近！房间设施齐全！价格便宜！', '短评打分': 5}
{'短评内容': '很好，很满意', '短评打分': 5}
{'短评内容': '感觉很不错，服务态度好，环境不错，下次来还住这里！', '短评打分': 5}
{'短评内容': '酒店非常干净，安静，停车方便。', '短评打分': 3}
{'短评内容': '停车方便，价格适中', '短评打分': 3}
{'短评内容': '这个酒店太旧了，房间里面还有一股怪味，感觉物没有所值！', '短评打分': 1}
{'短评内容': '还行～～～～～～～～～～～～～～～～～～～～～', '短评打分': 5}
{'短评内容': '相当差的酒店了，建议同仁们不要入住这个酒店了，主要是接待旅游团的，房间和服务那是相当得差哦，尤其是早餐，无法下咽的……', '短评打分': 1}
{'短评内容': '性价比还可以。距离办事地点比较近，所以觉得位置还好。只是早餐再丰富些就好了。', '短评打分': 5}
{'短评内容': '酒店地理位置还可以，就是房间设施有些成就！总体感觉还可以！', '短评打分': 5}
{'短评内容': '还是不错的，房间很舒服，也很好找。下此来还是会选择', '短评打分': 5}
{'短评内容': '酒店环境不错', '短评打分': 5}
{'短评内容': '除了不时有蟑螂出没。其他都还好。。。。。', '短评打分': 3}
{'短评内容': '房间内部一直有蟑螂出现，其他都还行，忘酒店改善', '短评打分': 1}
{'短评内容': '酒店的装修配置都很不错，卫生服务也都还好，根据位置各方面条件来讲性价比还是合理的。', '短评打分': 5}
{'短评内容': '酒店应该是重新装修的，房间很整洁很干净。', '短评打分': 5}
{'短评内容': '配置硬件还可以，看起来很新，就是基本的商务型酒店干净方便。', '短评打分': 5}
{'短评内容': '整体来说酒店条件还不错，硬件和软件设施都可以.总得来说还不错.', '短评打分': 5}
{'短评内容': '酒店的位置还不错，出行交通都很方便，酒店也有停车场。环境很达标。', '短评打分': 5}
{'短评内容': '夜里太吵。\r\n想安稳休息的就不用考虑了。\r\n车马声一刻不息。', '短评打分': 1}
{'短评内容': '这里有着不同的房间，和女友住了一次主题大床房，真的很有乐趣十分有意思', '短评打分': 5}
{'短评内容': '朋友推荐的，很满意！房间设施很别致', '短评打分': 5}
{'短评内容': '酒店的服务还算不错', '短评打分': 5}
{'短评内容': '精简风格，人性化的布置，简洁体贴的设计，房间，舒适干净', '短评打分': 5}
{'短评内容': '出差住这，床很舒适，酒店干净，安静', '短评打分': 5}
