{'短评内容': '很用心的酒店，再不满意也要给五星。就冲这个心意。', '短评打分': 5}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '还好，是给家里人预定的。', '短评打分': 5}
{'短评内容': '环境安静，舒适，干净，功能齐全！！！', '短评打分': 5}
{'短评内容': '早餐没有吃，位置蛮好找，就在路边，房间名窗户没有锁，房间味道很重', '短评打分': 3}
{'短评内容': '一直住他家酒店，干净卫生，性价比不错', '短评打分': 5}
{'短评内容': '挺好的 希望活动多多 不错', '短评打分': 5}
{'短评内容': '环境挺优雅的，服务也不错。', '短评打分': 5}
{'短评内容': '酒店很不错，房间设施还是很齐全的，什么都准备得有，矿泉水和红茶都有', '短评打分': 5}
{'短评内容': '房间好浪漫！超喜欢', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '并不好，卫生不行，设备跟不上', '短评打分': 3}
{'短评内容': '房间不错，位置比较好找，房间宽敞明亮，物品也比较干净', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '还可以，就是隔音太差，还可以还可以还可以还可以还可以还可以还可以还可以还可以还可以还可以还可以还可以', '短评打分': 3}
{'短评内容': '还不错了，就这样了，没什么特别，就这样了。', '短评打分': 4}
{'短评内容': '还不错了，就这样了，没什么特别，就这样了。', '短评打分': 4}
{'短评内容': '还不错了，就这样了，没什么特别，就这样了。', '短评打分': 4}
{'短评内容': '还不错了，就这样了，没什么特别，就这样了。', '短评打分': 4}
{'短评内容': '酒店本身服务还可以，但是周围环境太差，尤其同楼有KTV，晚上太吵，使人难以入睡。', '短评打分': 3}
{'短评内容': '隔音太差 水龙头也很糟糕', '短评打分': 1}
{'短评内容': '不错的酒店~支持环保，房间挺大服务态度也很好~以后还会选择入住这家酒店。', '短评打分': 5}
{'短评内容': '地点还行，设施配备的还是有点不足，特别是没有配一次性洗漱用具，还有卫生间居然没有毛巾挂架。但是离机场比较近，打的过去35块钱左右，适合第二天要赶飞机的朋友。', '短评打分': 5}
{'短评内容': '不错，已经是第四次入住了。不错，已经是第四次入住了。不错，已经是第四次入住了。', '短评打分': 5}
{'短评内容': '房间干净舒适，交通便利停车方便。楼下美食很多，值得推荐。', '短评打分': 5}
