{'短评内容': '蛮好的，离华山很近', '短评打分': 4}
{'短评内容': '客栈离车站很近，就在华山脚下，很方便。', '短评打分': 5}
{'短评内容': '要爬山住那挺好', '短评打分': 5}
{'短评内容': '离华山近，方便', '短评打分': 5}
{'短评内容': '住在3层超大一居室，1.8米大床，客厅有双人沙发床，环境很好，安静卫生。离景区和免费摆渡车站很近', '短评打分': 5}
{'短评内容': '房间很干净，但是空调好像不太热，十月的天气，在屋里有些冷。', '短评打分': 5}
{'短评内容': '华山脚下   除了用水不方便 其他都很好，老板娘很热情  房间很大2室一厅，适合家庭出去游玩时入住，干净卫生  ，好评！', '短评打分': 5}
{'短评内容': '还不错，房间挺大的，一间双人床一间大床。有浴霸哦！设施就一般般，不过性价比还是挺高的！四五个人可以住一套很划算！', '短评打分': 4}
{'短评内容': '环境特别棒，和朋友一起出游，老板人特别好，这次旅行很愉快，住处周围餐饮交通都很便利，距离山门也特别的近，朋友都说以后再去玩还住这里。', '短评打分': 5}
{'短评内容': '是个小家庭房，有客厅有厨房和卫生间。很干净，咨询也很热情给我们说怎么上华山之类的', '短评打分': 5}
{'短评内容': '很好很舒适', '短评打分': 5}
{'短评内容': '比较好，安静，靠近入山步道，比较方便。老板也很热心，解答了好多登山的问题', '短评打分': 5}
{'短评内容': '环境卫生好，空间大，离景区近！', '短评打分': 5}
