{'短评内容': '很好', '短评打分': 5}
{'短评内容': '早餐比较丰富，南北口味都能满足，客栈的服务也很满意。', '短评打分': 5}
{'短评内容': '是一家一般般的客栈', '短评打分': 4}
{'短评内容': '酒店在古城外面，去可以避开古城保护费，老店开了八年设施尚可，服务热情，但房间临马路，夜间较吵，石板路声音挺大。看中他家小院子的潺潺水声，可以在里面发呆', '短评打分': 5}
{'短评内容': '非常非常棒的一家很用心做服务的客栈！每个角落，每个细节都能看出老板的用心！', '短评打分': 5}
{'短评内容': '酒店在古城北门附近，不需要进古城里面，环境不错，可以在院子喝茶，只是价格相比其他有点小贵。', '短评打分': 5}
{'短评内容': '不错很安静的地方', '短评打分': 4}
{'短评内容': '客栈靠近一棵树上车点，很方便接送，房间足够大，配套设施也齐全，如果说美中不足的话应该就是早餐做得太晚了，如果赶一早的车去周边景区的话基本无法在客栈吃上早餐', '短评打分': 4}
{'短评内容': '很好很方便', '短评打分': 5}
{'短评内容': '很方便很方便', '短评打分': 5}
{'短评内容': '酒店非常不错，特别是这个大阳台，下午晒着太阳，听这音乐，这才是丽江的生活', '短评打分': 5}
{'短评内容': '环境很好，靠近古城出行很放便。', '短评打分': 3}
{'短评内容': '路过他们家的时候就被他们家古朴的院落吸引了。在大研古镇的最后一晚就住在这里。很喜欢这家客栈。无论院子还是房间都很有味道。感觉他们房间里的设施应该是古镇里任何一家客栈都不可比拟的。美中不足的是房间临街，有点吵。隔音也有点差，能听到隔壁的说话声。不过总体还是很喜欢。下次来肯定是我的不二选择。另外，入住的时候才知道，极限挑战黄磊他们也是住的这家哦', '短评打分': 5}
{'短评内容': '十和院，是丽江美好之旅的最大依赖。客栈的人都特别的热情有礼，中途去大理旅行，就把行李放在客栈才可以轻装上阵。出去花花玫瑰园玩也全靠玲的推荐，骑马划船都特别好玩。客栈早餐和饭菜也超级好吃。一个字，完美！', '短评打分': 5}
{'短评内容': '十和院是令我很感动的。外婆86岁，在十和院的四个晚上，两晚因高原反应送市医院急诊吸氧挂点滴；其实这事和酒店没多大关系，大可以帮忙打个车后就不需要管了。但是田经理是真的令我非常感恩的，第一次直接二话没说亲自背着我外婆一路陪着去医院，一直到四个多小时后输液结束又背着外婆一路回酒店。凭心而论，确实是很负责任的一个人。第二次是最后一晚从拉市海回来又高反，客栈的司机男生也是同样一路陪去陪回又是守了四个小时。', '短评打分': 5}
