{'短评内容': '房间干净卫生，服务态度热情，停车方便，夜晚安静。', '短评打分': 5}
{'短评内容': '停车方便，房间整洁', '短评打分': 5}
{'短评内容': '环境优美', '短评打分': 5}
{'短评内容': '酒店位置外面指示欠妥，我们在外面出租车都转了两次，感觉不对，后来问了人家，才知道原来叫新兴商务酒店，现在叫', '短评打分': 5}
{'短评内容': '酒店外指示欠妥', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '越来越差', '短评打分': 3}
{'短评内容': '住宿安静，出入方便。', '短评打分': 5}
{'短评内容': '住宿的环境不错，很安静。', '短评打分': 5}
{'短评内容': '酒店价格实惠，停车方便而且免费，离玩的地方也近，门口小吃很多，买东西方便，就是卫生差点，下次如果来广州还会选择这儿', '短评打分': 4}
{'短评内容': '很偏僻，晚上出租车都不去，只好走小路两公里多', '短评打分': 4}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '交通方便，酒店服务态度也好，价格合适，酒店地理位置特别方便，逛街吃饭都很方便，最主要是价格还比较有优势，下次还来，还会推朋友过来！！！', '短评打分': 5}
{'短评内容': '安静！广交会期间价格上涨较多，所以性价比就低了', '短评打分': 3}
{'短评内容': '总的还行，只是房间里面没有浴巾', '短评打分': 3}
{'短评内容': '价格非常实惠， 位于小区内， 但是出奇的安静。出门打车就不是太方便了， 对于有车一族， 停车太方便了。在广州其他地方以这个价格的酒店， 免费停车的， 屈指可数。', '短评打分': 5}
{'短评内容': '       环境不错，在小区里面，不好找性价比高             推荐', '短评打分': 5}
{'短评内容': '条件还挺好的。。。。。。，价格合理，环境很舒适。', '短评打分': 5}
{'短评内容': '偏僻，卫生条件欠佳，房间有烟味。', '短评打分': 3}
