{'短评内容': '就在地铁站边上，很方便，住了好多次了', '短评打分': 5}
{'短评内容': '很满意，每次都住这里', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '还可以可以可以可以就要看他今天开通', '短评打分': 5}
{'短评内容': '就要不断努力去实现自己的人生不如意事常八九！你不会健健康康快快乐乐健健康康快快乐乐快乐就多达数十家知名的地方新闻中心线', '短评打分': 5}
{'短评内容': '房间挺好的，住靠路的房间就是有点吵，会有些休息不好', '短评打分': 5}
{'短评内容': '可以可以可以可以可以可以看见', '短评打分': 5}
{'短评内容': '呵呵，性价比和房间一般很一般。还有小卡片现象屡禁不止，甚至一度威胁到人身安全，希望酒店加强安保和监管措施。', '短评打分': 4}
{'短评内容': '还可以吧，性价比过得去，符合快捷连锁酒店的标准。就是什么一次性用品都要收费，这一点另客户体验特别差。建议冬季增加毛绒拖鞋。', '短评打分': 4}
{'短评内容': '可以可以可以可以可以买也可以', '短评打分': 5}
{'短评内容': '订购方便，下次还用。', '短评打分': 5}
{'短评内容': '还可以可以可以可以可以哭哭哭哭吗', '短评打分': 5}
{'短评内容': '地铁站边上，交通方便，每次都是住这里', '短评打分': 5}
{'短评内容': '离地铁站近，出行算是方便', '短评打分': 5}
{'短评内容': '酒店环境不错，地理位置也很好，就在地铁口对面，每次去长沙都住这', '短评打分': 5}
{'短评内容': '酒店环境不错，地理位置也很好，就在地铁口对面', '短评打分': 5}
{'短评内容': '酒店环境不错，地理位置也很好，就在地铁口对面', '短评打分': 5}
{'短评内容': '不错，基本上每次去长沙都住这', '短评打分': 5}
{'短评内容': '房间太小', '短评打分': 4}
{'短评内容': '不值那么贵', '短评打分': 3}
{'短评内容': '好。很好。非常好', '短评打分': 5}
{'短评内容': '方便、卫生、舒适', '短评打分': 5}
{'短评内容': '干净，实惠，推荐', '短评打分': 5}
{'短评内容': '交通条件不错，卫生条件果然一般', '短评打分': 5}
{'短评内容': '便宜便宜便宜便宜便宜便宜便宜便宜', '短评打分': 5}
{'短评内容': '。', '短评打分': 5}
{'短评内容': '酒店非常好，与卖家描述的完全一致，非常满意；卖家的服务太棒了，考虑非常周到，完全超出期望值； 卖家发货速度非常快；物流公司服务态度很好，运送速度很', '短评打分': 5}
{'短评内容': '床单和枕套有点发黄，空调效果不错，地段位置好', '短评打分': 4}
{'短评内容': '交通方便，设施很不错，服务也很好，靠近地铁站', '短评打分': 5}
{'短评内容': '这个是酒店给我取消确认的房型&hellip;&hellip;', '短评打分': 5}
{'短评内容': '环境还可以，位置好找，就地铁附近~房间卫生还不错', '短评打分': 5}
{'短评内容': '便宜，确实很便宜。\n酒店质量一般水平吧。但是很方便。不罗嗦，挺好的', '短评打分': 5}
{'短评内容': '非常不错，每次都住这里', '短评打分': 5}
{'短评内容': '整体感觉很好！性价比高。', '短评打分': 5}
{'短评内容': '距离地铁站近，交通方便', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '还行吧，就近', '短评打分': 3}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '这酒店设施好,服务态度欠佳,早餐比较丰富,交通方便.性价比较高。', '短评打分': 5}
{'短评内容': '酒店总体很好，空间相对较大。唯一一点不足，是洗手间抽水马桶需要一直按着手柄才能完全冲水。之前的客人可能只是拨了一下手柄，长时间内没有完全冲干净，导致洗手间气味不好。希望酒店能够改进。', '短评打分': 4}
{'短评内容': '总的还不错，服务很好，房间卫生也很好，只是房间小了一点。', '短评打分': 4}
{'短评内容': '周边环境可以，就是在巷子里面。', '短评打分': 3}
{'短评内容': '电视不好，其他OK', '短评打分': 4}
{'短评内容': '早餐非常棒 环境也很好 出差住过性价比最高的 下次去长沙还住', '短评打分': 5}
{'短评内容': '还不错，干净舒适', '短评打分': 5}
{'短评内容': '干净！房间偏小！安静！', '短评打分': 5}
{'短评内容': '挺好的，真心不错', '短评打分': 5}
{'短评内容': '挺好的，真心不错', '短评打分': 5}
{'短评内容': '干净、舒适，不过有小卡片，现在地铁建设比较吵。前台服务员太少。', '短评打分': 5}
{'短评内容': '干净，环境较好，床舒服，也足够大，被子也大就是卫生间太小', '短评打分': 5}
{'短评内容': '酒店干净卫生，服务也很好，就是有很多发卡片的。', '短评打分': 5}
{'短评内容': '房间很好·吃饭很方便，环境也还可以，但是打车很难打', '短评打分': 5}
{'短评内容': '环境很好', '短评打分': 3}
{'短评内容': '还是不错的，只是赶上一个什么会议 爆满~~~ 在长沙一个商圈中心~~ 锦江是最好的选择', '短评打分': 5}
{'短评内容': '房间面积不大,提供的洗漱用品等全为计费用品,没有吹风机,房间隔音效果差,外面施工比较吵。但房间干净卫生!光线明亮!', '短评打分': 3}
{'短评内容': '房间里还不错。但是周边感觉荒凉', '短评打分': 3}
{'短评内容': '只想说，今后我不会再去这家锦江之星，也不会推荐任何身边的人去这家锦江，甚至有点影响到我去锦江别的门店的信心。这家南湖路店，前台态度极差，前台的那些妹子，爱理不理的，一个个好屌的，仿佛我是在求着她们办事一样，很不耐烦的，凶的死，要不是办喜事依着我脾气那天真想骂那前台服务员一顿！不说酒店环境质量如何，就这服务态度，就砸了锦江的牌子！要是锦江的领导什么的看到这评论，希望去好好整治改革一下酒店服务员素质，', '短评打分': 1}
{'短评内容': '还不错吧，地方挺好的。大床房床也很宽。\n电梯也很安全，要刷房卡才能上来。', '短评打分': 5}
{'短评内容': '酒店干净、卫生，空调、热水、效果好，小巧精致，只是双标房的床一大一小不太好。', '短评打分': 5}
{'短评内容': '交通便利，干净舒适，安排在10楼，晚上没什么噪音，睡的很好，设施也不错', '短评打分': 5}
{'短评内容': '房间设施还是挺不错的，酒店位置也还理想，价位也适中。', '短评打分': 5}
{'短评内容': '房间通风和设施都不错,价格也很适中。值得入住。', '短评打分': 5}
{'短评内容': '交通方便，房间干净。有窗但窗外—米便是墙。', '短评打分': 3}
{'短评内容': '还不错吧。下次可以继续选择喔！', '短评打分': 3}
{'短评内容': '＋安静，舒适，下回去还住那！', '短评打分': 3}
{'短评内容': '除了前台入住每次等待的时间都要20分钟（当然，前台人员有各种各样的解释：他们刚刚在开会，他们刚刚开完会，他们还在打扫，他们刚刚上班……），入住房间之后，一切都好。友情提示，入住请自备吹风机。一次性拖鞋也是有偿使用的。', '短评打分': 5}
{'短评内容': '酒店非常舒适，特别满意其房间干净整洁，服务也比较热情，推荐入住！', '短评打分': 5}
{'短评内容': '房间硬件还是不错的，吃饭很方便，就是地方有点偏，不过还是值得推荐', '短评打分': 5}
{'短评内容': '房间小小,但却很精致,装修得也适用,住得非常舒服.', '短评打分': 5}
{'短评内容': '洗完澡，发现大浴巾上有女人的长头发，小毛巾上有絮状灰尘加头发。估计是上一个房客没有用这些东西，服务员就没有换，也没有仔细检查。第二天我就把所有的毛巾都让服务员去换了。其它方面还好。连锁酒店，比较标准化的模式。', '短评打分': 5}
{'短评内容': '设施卫生都不错，但是住的那个A房型窗户很小', '短评打分': 5}
{'短评内容': '锦江之星一贯的风格，房间很整洁，不错！建议对早餐、中餐和晚餐进行改进，因为是自助餐，经常菜或饭是冷的。', '短评打分': 5}
{'短评内容': '一如既往的老样子，酒店卫生不错。一楼的饭菜很可口，就是酒店门口打车有点费劲。', '短评打分': 5}
{'短评内容': '个人付费的话选择锦江之星是不错的选择，条件是最简单的，但很干净舒适。', '短评打分': 5}
{'短评内容': '很好，很干净！', '短评打分': 3}
{'短评内容': '环境不错，很干净，交通也很便利，下次出行继续选择', '短评打分': 5}
{'短评内容': '酒店环境不错，价格适中，是个不错的酒店，下次出行继续选择', '短评打分': 5}
{'短评内容': '房间挺干净的，楼下用餐方便，房间和窗户有点小，总之还不错，适合于出差人士', '短评打分': 5}
{'短评内容': '舒服，方便，安静，空调很好，下次还住这家，。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '环境不错，很整洁。服务态度很好，电梯是刷卡的，感觉很安全。', '短评打分': 3}
{'短评内容': '床还是比较舒服， 每天还免费提供两瓶矿泉水，地段空调效果也可以，就是房子空间稍微小了点。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '我都忘了有没有什么时候住的了。。。。。。。。。。。没印象啊~', '短评打分': 5}
{'短评内容': '房间相当干净,住宿条件蛮好 非常温馨 每天还免费提供两瓶矿泉水', '短评打分': 5}
{'短评内容': '住过十多家锦江之星，这家性价比，绝对no.1', '短评打分': 5}
{'短评内容': '很好很干净，性价比高,地点位置也还好，交通方便', '短评打分': 5}
{'短评内容': '还是不错的 床褥很舒服 只是房间有点热 总的来说还可以吧', '短评打分': 5}
{'短评内容': '舒适，比较干净，期待下次再来的时候还住在这里', '短评打分': 5}
{'短评内容': '房间挺干净，就是稍微小了点，单人间大一些，双人间小些', '短评打分': 5}
{'短评内容': '其他都还好，就是修路不方便！转了几圈才找到', '短评打分': 5}
{'短评内容': '还是挺不错的，就是我们入住的时候在修路，挺不方便！', '短评打分': 5}
{'短评内容': '洗澡后卫生间居然积水洗澡后卫生间居然积水', '短评打分': 1}
{'短评内容': '一如既往的舒适，干净，安静，每次到长沙都住这里', '短评打分': 5}
{'短评内容': '  服务还行，住两晚被子没换！', '短评打分': 3}
{'短评内容': '设施齐全。。离考雅思的地方步行大概15min。。周围吃的还蛮多的。。\n不错哦~', '短评打分': 5}
{'短评内容': '近期酒店门前修路,最好在网上告知,或告知比较详细的抵达路线,方便旅客顺利入住.', '短评打分': 3}
{'短评内容': '服务一如既往的好；交通便利，安静，超喜欢住这家', '短评打分': 5}
{'短评内容': '卫生不错，就是隔音不好，价格实在，以后还会光临的！\n', '短评打分': 5}
{'短评内容': '打车从车站到那里17元，卫生，交通方便，门口就有家肯德基，可是最近门前修路，晚上有点噪音。', '短评打分': 5}
{'短评内容': '还可以，但是就是第一天去停电了有点恐怖，前面在修地铁噪音有点大……', '短评打分': 5}
{'短评内容': '很不错的一家酒店，值得推荐。。。。。。。。。。', '短评打分': 5}
{'短评内容': '环境不错 位置也很方便 主要是房间不拥挤 是我最满意的 比五一路那家宽敞\n', '短评打分': 5}
{'短评内容': '正门前南湖路正在修路，出行不太方便，需要兜个圈子从后门进。', '短评打分': 1}
{'短评内容': '非常干净，整洁，服务不错，就是房间有点小，空调不太习惯。', '短评打分': 5}
{'短评内容': '环境不错，经济实惠，交通便利，适合旅行居住', '短评打分': 5}
{'短评内容': '早餐要是含在房费你就好了，总体还可以。网速很快.', '短评打分': 5}
{'短评内容': '就是前台的工作能力和服务态度差了些，其他都蛮好', '短评打分': 5}
{'短评内容': '还行  就是隔音一般。卫生条件还不错，厕所也比较干净。', '短评打分': 5}
{'短评内容': '挺好的一家酒店，服务态度很不错，就在我家附近，所以，去的比较多。', '短评打分': 5}
{'短评内容': '锦江的整体装修和床垫特别喜欢，相比较其他快捷酒店让人感觉更加安心，而且前台服务很不错。', '短评打分': 5}
{'短评内容': '服务不错，卫生一般', '短评打分': 3}
{'短评内容': '服务很好，卫生一般', '短评打分': 3}
{'短评内容': '很不错..对于学生来说..干净..舒适..就是隔音可以加强点~', '短评打分': 5}
{'短评内容': '总体感觉不错 服务人员服务周到细心', '短评打分': 3}
{'短评内容': '长沙的店里最喜欢南湖路店了，房间大，餐点很丰盛，超喜欢，住了好多次了', '短评打分': 5}
{'短评内容': '长沙的店里最喜欢南湖路店了，房间大，餐点很丰盛，超喜欢', '短评打分': 5}
{'短评内容': '一直都很喜欢锦江之星  性价比很高  很舒适   ', '短评打分': 5}
{'短评内容': '标准间的窗户实在是小得可以!', '短评打分': 3}
{'短评内容': '酒店挺干净的，交通也方便，下次还来。', '短评打分': 3}
{'短评内容': '性价比可以，房间有点小，位置可以，靠近繁华地段。', '短评打分': 5}
{'短评内容': '干净卫生，服务好，交通方便。', '短评打分': 3}
{'短评内容': '很干净。。服务很好。。在长沙繁忙地段旁边有酒吧\n', '短评打分': 5}
{'短评内容': '蛮好的，整体感觉很干净很整洁，客房不豪华但舒服，周围出行、用餐方便，适合商务入住。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '感觉还不错，交通，什么的比较方便。不过房间确实小。', '短评打分': 5}
{'短评内容': '住了很多次，还是不错的。可以推荐。。。服务态度也不错', '短评打分': 5}
{'短评内容': '挺好，房间简洁、卫生！要是有个挂衣柜就好了。', '短评打分': 5}
{'短评内容': '干净卫生...感觉很不错,很值得入住,性价比比较高', '短评打分': 5}
{'短评内容': '很不错，但是没有沐浴露，只有一块香皂...外面马路在修路，有点不方便，其他都很好···', '短评打分': 5}
{'短评内容': '一直喜欢锦江之星，本店的被子有点重，其他的都挺好，还会来的', '短评打分': 3}
{'短评内容': '住的商务房，大床房，感觉很舒服，一直喜欢锦江之星', '短评打分': 5}
{'短评内容': '地理位置很方便&#183;~交通很不错&#183;~~靠近东塘商圈&#183;~买东西非常方便&#183;~~不远处有超市~~餐厅~~~~很不错', '短评打分': 5}
{'短评内容': '不错！不错！不错！不错！不错！不错！不错！不错！', '短评打分': 3}
{'短评内容': '+非常干净舒适经济的连锁酒店！', '短评打分': 5}
{'短评内容': '挺好，卫生可以，比较方便，服务态度也挺好，就是窗户挺小', '短评打分': 5}
{'短评内容': '房间比较大，卫生也不错，但是没有沐浴露...很在意沐浴露的朋友要自备了&#183;&#183;&#183;', '短评打分': 5}
{'短评内容': '不错，推荐，不错，推荐，不错，推荐，不错，推荐，', '短评打分': 5}
{'短评内容': '锦江之星一向都不错，\r\n性价比很好。\r\n住快捷酒店首选\r\n继续保持吧', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '+满意', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': 'hao ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~````', '短评打分': 5}
{'短评内容': '门口在修路。。破破烂烂的。 周围比较方便，酒店的饮食很棒，经济实惠！', '短评打分': 5}
{'短评内容': '头一天在桂林也是住的这家酒店感觉不错，到长沙又选了这家比桂林锦江的服务差多了。还不提供车位，因为到的晚只好将就一晚。', '短评打分': 1}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '价格还比较实惠，但服务不是很好，房间硬件还需要改善！', '短评打分': 5}
{'短评内容': '不错，离考试地点挺近的，比较安静。', '短评打分': 5}
{'短评内容': '宾馆设备较新，色调比较柔和，住宿很舒适。不足是商务房没有电脑，不是太方便', '短评打分': 5}
{'短评内容': '环境交通卫生都挺好的~', '短评打分': 3}
{'短评内容': '还好，酒店的自助餐还是比较方便的 ', '短评打分': 3}
{'短评内容': '主要是考试方便，连锁店的品质还是可控的，值得信赖', '短评打分': 5}
{'短评内容': '感觉单人间比双人间还舒服&#183;&#183;上次的房间空调很烂&#183;&#183;但是这次效果很好哦&#183;', '短评打分': 5}
{'短评内容': '尽管南湖路修路，但是好在这家酒店就在路口走50米，不影响出行，打的也方便，对面就是国防科大。我睡了2晚，总体感觉不错！', '短评打分': 5}
{'短评内容': '整条南湖路在改建中，一塌糊涂，出入很不方便。宽带不行，许多网站都联不上！不过只要走到芙蓉中路，交通很便利。附近有餐馆，超市等。', '短评打分': 1}
{'短评内容': '第二次住了，不错，就是不含早餐有点遗憾。', '短评打分': 5}
{'短评内容': '酒店干净，温暖，服务周到，热情', '短评打分': 5}
{'短评内容': '住商务连锁酒店就要这样的，特别喜欢它的早餐，不过停车有点不方便，希望改进', '短评打分': 5}
{'短评内容': '交通方便，就在芙蓉路上，而且离东堂很近，关键是没有蟑螂，哈哈(别的酒店有时候有好大好大的蟑螂让我对长沙很有阴影）', '短评打分': 5}
{'短评内容': '这家酒店是新装修的,卫生和设施还是可以的,周边环境也不错,交通也是蛮方便的,整体感觉价格还是比较合适的.', '短评打分': 5}
{'短评内容': '很好的酒店，地段方便，卫生也很好，价钱也比较便宜，很适合住宿。', '短评打分': 5}
{'短评内容': '酒店的隔音效果不好，半夜不知道旅客还服务人员开关门，能听到声音，别的我都很满意，价格合适，卫生条件也很干净', '短评打分': 5}
{'短评内容': '经济实惠，整体感觉还不错，就是傍边有工地，当时在施工，外面的环境有点吵', '短评打分': 5}
{'短评内容': '在附近的学校考试，这家店近一点，还比较新，当时要求延迟1小时退房，中午考试前还能休息一下，他们不同意，说只有酒店的会员才能享受，服务不太好，综合来看，价佫有点点偏高', '短评打分': 5}
{'短评内容': '还不错 就是边上有个工地早上有点吵', '短评打分': 5}
{'短评内容': '总体来说不错,房间干净明亮,位置也不偏僻.重要的是,工作人员态度很好,我们要网线\\要拖鞋\\要被子等等要求都一再微笑着满足.很暖心...只是希望自助早餐能再多些品种就好了,另外就是星连心茶餐厅的品种也比较少,我们只能走路到外面去觅食.', '短评打分': 5}
{'短评内容': '酒店比较新装修的很干净设施比较好,环境也很不错值得推荐.', '短评打分': 5}
