{'短评内容': '还行吧挺干净的', '短评打分': 5}
{'短评内容': '整体价格比较合适，就是住了很多的印度阿三，隔音比较差，隔壁楼上的声音都能听到', '短评打分': 5}
{'短评内容': '环境不错,面积挺大,设施虽然有些旧了,但洗手间还算整洁,性价比不错。服务挺好,帮忙把行李送到房间，一路还有简单介绍。 前台的服务也很热情，很喜欢，而且价格实惠，房间又大又安静，环境很好，比较干净卫生，Wifi很快，打游戏都没掉过线，太棒了，很满意得一家酒店，推荐大家入住，赞一个，会常来的。价格实惠,环境清幽,吃的选择少。', '短评打分': 5}
{'短评内容': '房间很干净，噪音也比较小，东西食品也比较全，各项服务设施也比较全，洗漱方面也可以。住了好几回了，相比较都市快捷旅店来说，各项服务也比较速度，价格方面也较之之前的有优势，下次我还会选择这家酒店', '短评打分': 5}
{'短评内容': '环境可以吧', '短评打分': 5}
{'短评内容': '位置很方便', '短评打分': 5}
{'短评内容': '不错，干净，有阳光，光线好', '短评打分': 5}
{'短评内容': '上京东定酒店很方便很简单，我又续订了一天', '短评打分': 5}
{'短评内容': '不错，用京东定酒店很方便，支付完了还返京豆，超划算的', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '里面房间还不错的，靠近华强北很方便里面房间还不错的，靠近华强北很方便里面房间还不错的，靠近华强北很方便', '短评打分': 4}
{'短评内容': '里面房间还不错的，靠近华强北很方便里面房间还不错的，靠近华强北很方便里面房间还不错的，靠近华强北很方便', '短评打分': 4}
{'短评内容': 'Good!', '短评打分': 4}
{'短评内容': 'Good!', '短评打分': 4}
{'短评内容': '經濟實惠', '短评打分': 4}
{'短评内容': '位置好，交通方便，服务态度好！文明礼貌，价格实惠！', '短评打分': 5}
{'短评内容': '就是房间没有窗户，其他都很好。', '短评打分': 5}
{'短评内容': '蛮好，位置不错，环境很好，离华强北很近', '短评打分': 5}
{'短评内容': '房间卫生很整洁，前台服务人员态度非常的友好，十分满意哦。', '短评打分': 5}
