{'短评内容': '用空调还要付费，意味着，价格比原来更加高了', '短评打分': 4}
{'短评内容': '还不错.', '短评打分': 5}
{'短评内容': '靠江边，景色很美', '短评打分': 5}
{'短评内容': '卫生较差。', '短评打分': 3}
{'短评内容': '卫生条件是真心的差，大城市去的肯定不习惯，洗澡的水估计直接取自河里。有股味。', '短评打分': 2}
{'短评内容': '很不错的家庭旅馆，很干净，又安静，离景点也不远，谢谢老板夫妇的照顾', '短评打分': 5}
{'短评内容': '适合看凤凰的夜景，景区里的酒店', '短评打分': 3}
{'短评内容': '边城别院环境不错，特别是浪漫大床房，最好提前在网上预订好。', '短评打分': 3}
{'短评内容': '停车20空调10元另外收费的、最好自带毛巾', '短评打分': 3}
{'短评内容': '客栈位于金水桥一侧，位置有点偏，距离比较繁华的河段有一点距离，不过正好避免了吵闹。店主两口子人挺热情。房间还算干净。不过，待了凤凰才知道，小客栈真多啊，如果不是在旅游旺季来凤凰，建议不一定要先预定，自己跟着感觉走走。', '短评打分': 5}
{'短评内容': '像这种酒店   以后可能要把你家公司名誉搞坏啊    建议你家别人要加盟的话    你家要实地考察下', '短评打分': 3}
{'短评内容': '不错，老板态度很好，清洁也不错，床很干净。只是顶楼热水水流不稳定，但也洗得比较舒服。', '短评打分': 3}
{'短评内容': '客栈的小区里，比较安静，就是第一次去不太好找，老板亲自出来接，感觉还好，是不错的选择', '短评打分': 5}
