{'短评内容': '位置不错啊！', '短评打分': 3}
{'短评内容': '真一般的宾馆。', '短评打分': 3}
{'短评内容': '环境很好，住的很舒服，适合出行', '短评打分': 5}
{'短评内容': '环境不错，服务不错，只是，只是，只是，前台就是不告诉你网上订购便宜那么多，非让米买500多一间，结果携程花了一半价格', '短评打分': 5}
{'短评内容': '房间还不错，比较安静，到酒店的时候前台给我做了一个免费升级。房间里面还是挺干净的，楼下有好多餐馆还有小超市，配套服务还是蛮方便的。', '短评打分': 4}
{'短评内容': '还行还行还行', '短评打分': 1}
{'短评内容': '房间很大 但是中间被隔开了 感觉挺不习惯的 厕所排气扇声音好响', '短评打分': 3}
{'短评内容': '酒店环境还可以，房间宽敞，但朋友反应地方偏僻不好找，打车难，旁边还施工，城乡结合部的感觉，性价比一般。', '短评打分': 5}
{'短评内容': '周边环境比较好！', '短评打分': 4}
{'短评内容': '房间挺大，但设施简陋。早餐就不要拐进去吃了。', '短评打分': 4}
{'短评内容': '沖涼水比較細小，未能很舒服地沖好涼……，房間比較大小適中……………………………………希望下次再去過！', '短评打分': 5}
{'短评内容': '环境不错，房间很大，性价比高', '短评打分': 5}
{'短评内容': '周边交通不太便利，周边环境不太好', '短评打分': 3}
{'短评内容': '服务很好，周边餐厅很好，离虹桥机场火车站很近。', '短评打分': 5}
{'短评内容': '周边交通不方便，距离地铁站较远', '短评打分': 3}
{'短评内容': '离公司近，周边环境一般，距离地铁站较远', '短评打分': 3}
{'短评内容': '因酒店装修，比较闹，其它尚可。', '短评打分': 3}
{'短评内容': '不错，酒店前台张小姐服务很周到，谢谢她！顶》》》》》》》》》', '短评打分': 5}
{'短评内容': '没有吃饭的地方顶顶顶顶顶顶顶顶顶顶顶顶顶顶顶顶各国国歌日日日日日日日日日哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈', '短评打分': 1}
{'短评内容': '总体感觉不错 就是有点偏 还是可以的 以后在住。\n\n', '短评打分': 5}
{'短评内容': '整个酒店的环境太差了，而且早餐实在不像是宾馆。', '短评打分': 1}
{'短评内容': '迦南酒店价格合理、服务周到，交通方便，到虹桥机场很近挺好的。', '短评打分': 5}
{'短评内容': '房间宽敞，还行。只是早餐太简单。', '短评打分': 3}
{'短评内容': '硬件太差，服务一般', '短评打分': 3}
{'短评内容': '酒店价格教低，周边环境不是很好。酒店里面味道比较重。', '短评打分': 1}
{'短评内容': ' 还算可以。', '短评打分': 3}
{'短评内容': '席梦思太软不是很舒服，有的地方很各人,房间35平，足够宽敞，舒适度还好。房间隔音差，感觉很乱很嘈杂！\n设施比较陈旧，毛巾等用品也该淘汰换新了。\n价格还好，性价比高！ \n', '短评打分': 1}
{'短评内容': '我们住的是三人间，房间够大，卫生条件不错。', '短评打分': 5}
{'短评内容': '房间够大，只是不知道为何洗澡水颜色有点怪怪的～～～价格偏高。', '短评打分': 1}
{'短评内容': '已入住，还可以。', '短评打分': 3}
{'短评内容': '迦南酒店房间大，但陈旧，有点象快捷酒店。', '短评打分': 5}
{'短评内容': '房间很大，打扫的较干净，早上有自助早餐，外出也方便，设施要是再新一点就更好了。', '短评打分': 5}
{'短评内容': '这家酒店的性价比还是很不错的，卫生服务也很达标，就是酒店外表看上去规模没有四星级标准，位置也比较一般比较偏，整体来讲算是合格的可以考虑入住。', '短评打分': 5}
{'短评内容': '设施不象四星', '短评打分': 3}
{'短评内容': '设施陈旧', '短评打分': 1}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '卫生不错很干净，设施完善，地理位置交通方便，性价比不错', '短评打分': 3}
{'短评内容': '附近有很多韩国餐馆，酒店设施比较旧点，不过房间够大，也安静，离虹桥机场很近。适合休闲。', '短评打分': 3}
{'短评内容': '酒店离虹桥机场比较近，交通挺方便。早餐太简单了些,但是价格还算合理。而且这个宾馆附近好像是个韩国人比较集中的地方，周边商店、饭馆、足疗等都有。但是相对离市中心较远。\r\n\r\n', '短评打分': 5}
{'短评内容': '酒店的地理位置不错,离虹桥机场比较近,出租车还是挺方便.但是设施比较陈旧,但是价格还算合理.其它各方面还是不错的.', '短评打分': 3}
{'短评内容': '这家酒店比较安静，房间也挺舒适的，服务也不错，至少遇到的服务员都是有笑容的。到虹桥机场也很方便，不会遇上塞车，附近也有超市。下次到上海我还是回选择住这家酒店。', '短评打分': 5}
