{'短评内容': '第一次旅游来住，十分不错。环境优美', '短评打分': 5}
{'短评内容': '位置好，环境也不错', '短评打分': 5}
{'短评内容': '早餐挺好的，房间很好，很不错', '短评打分': 5}
{'短评内容': '酒店配套设施都不错。', '短评打分': 5}
{'短评内容': '很好很干净，服务态度也很好！', '短评打分': 5}
{'短评内容': '房间设施很全，住着舒服，早餐丰盛，入住退房前台态度也很好！性价比很高！', '短评打分': 5}
{'短评内容': '前台服务员很热情，酒店住的也很满意，还免费给我们升级', '短评打分': 5}
{'短评内容': '好的好的话说回来', '短评打分': 5}
{'短评内容': '吾消费京东商城数年，深知各产品琳琅满目。然，唯此宝物与众皆不同，为出淤泥之清莲。使吾为之动容，心驰神往，以至茶饭不思，寝食难安，辗转反侧无法忘怀。于是乎紧衣缩食，凑齐银两，倾吾之所有而能买。东哥之热心、快递员之殷切，无不让人感激涕零，可谓迅雷不及掩耳盗铃儿响叮当仁不让世界充满爱。待打开包裹之时，顿时金光四射，屋内升起七彩祥云，处处皆是祥和之气。吾惊讶之余甚是欣喜若狂，呜呼哀哉！此宝乃是天上物，人间又得几回求！遂沐浴更衣，焚香祷告后与人共赏此宝。人皆赞叹不已，故生此宝物款型及做工，超高性价比之慨，且赞吾独具慧眼与时尚品位。产品介绍果然句句实言，毫无夸大欺瞒之嫌。实乃大家之风范，忠义之商贾。', '短评打分': 5}
{'短评内容': '不错的，对面就是永陵，还有送水果', '短评打分': 5}
{'短评内容': '酒店交通方便，店内环境设施干净整洁，到店房间给免费升级并给延长了退房时间，赞一个', '短评打分': 5}
{'短评内容': '不错 这酒店 服务很好', '短评打分': 5}
{'短评内容': '第二次入住了，整体不错，就是地毯该换换了，有些陈旧了。', '短评打分': 5}
{'短评内容': '再次入住这酒店。酒店很老了吧，有些设备已经很旧了，比如地毯，感觉不是很干净。早餐有点晚，希望能提前一些时间。', '短评打分': 5}
{'短评内容': '比较温馨', '短评打分': 5}
{'短评内容': '很不错，值得推荐', '短评打分': 5}
{'短评内容': '非常好，下次来成都还要住这里', '短评打分': 5}
{'短评内容': '总体来说非常不错，早饭很丰富，周边吃饭，打车都非常的方便，来成都几乎都住他们家，性价比还是很高的，四星级的标准。', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '酒店已经第二次入住了。交通非常便捷，去景区游玩打的和公交都方便。客房服务很好，妈妈住不惯软床，酒店居然有硬床板备着，意想不到啊！为超凡的服务大大加分。到成都还来这里住。', '短评打分': 5}
{'短评内容': '酒店整体不错，可以推荐。。。。。。。', '短评打分': 4}
{'短评内容': '酒店很好，同事说，出行到客户那很方便，打车只在20分钟内。周边的环境很好，吃饭购物都非常方便，是可以推荐的一家酒店。', '短评打分': 5}
{'短评内容': '值得入住的酒店', '短评打分': 5}
