{'短评内容': '各方面都不错，前台服务很热情。房内设施不错', '短评打分': 5}
{'短评内容': '可以的啦，前台还不错。很热心。。。。。。。。。。', '短评打分': 4}
{'短评内容': '不可以', '短评打分': 4}
{'短评内容': '服务好，设施齐全', '短评打分': 5}
{'短评内容': '我女朋友巨漂亮', '短评打分': 5}
{'短评内容': '新装修，性价比高。但尴尬的是没从京东订到房间', '短评打分': 5}
{'短评内容': '酒店很好，面积大，免费早餐也不错，比较了几个平台，只有京东价最低。', '短评打分': 5}
{'短评内容': '酒店很好，面积大，免费早餐也不错，比较了几个平台，只有京东价最低。', '短评打分': 5}
{'短评内容': '很喜欢榻榻米的设计哦！儿子超喜欢，一大早就起床连声称赞：这床真带劲！', '短评打分': 5}
{'短评内容': '一般，脏乱差', '短评打分': 2}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '屋内有烟味。', '短评打分': 4}
{'短评内容': '很好，会再次入住的', '短评打分': 5}
{'短评内容': '不错的住所', '短评打分': 5}
{'短评内容': '房间很大，舒服宽敞，卫生间马桶坏了，严重浪费水资源，请尽快维修', '短评打分': 5}
{'短评内容': '风格独特，服务贴心.值得分享', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '酒店设施不错  半夜还有饺子点  早餐还行  电视很大  台较少  网络速度超快  床也挺大  睡四个人都没问题', '短评打分': 3}
{'短评内容': '还行吧,设施比较新', '短评打分': 3}
{'短评内容': '比较干净，价位有点高。', '短评打分': 3}
{'短评内容': '睡到半夜被热醒让人很恼火，可气的是“水务会馆”还停水，让人哭笑不得！', '短评打分': 1}
{'短评内容': '在酒店半夜被热醒的可怕经历，中央空调坏。又停水，多好的装修都不值得推荐！', '短评打分': 1}
{'短评内容': '价格还比较合适。环境不错，离奥运村不远，有窗户，但只能打开透气；最让人无语就是手机信号极差，一到电梯中和走廊中手机都是没有信号；拖鞋也没配全，找服务员要也就提供了一个不是一次性的拖鞋；晚上走廊灯光特别的强，门上有磨砂玻璃，灯光投射进来让人感觉太亮，很不适应', '短评打分': 5}
{'短评内容': '就住宿本身而言，还是很不错的，环境，装潢都挺好，卫生间淋浴水真叫一个大啊，可能是因为本身就是一个洗浴商务会所的缘故吧。就是所在位置在北五环之外，比较远，但是离鸟巢挺近的还算，呵呵。不错~', '短评打分': 5}
{'短评内容': '很好 还有保健中医按摩 自助早餐也很好吃', '短评打分': 3}
{'短评内容': '新开没多久，比较干净，楼下带洗浴很好。不过早餐有点次。', '短评打分': 3}
