{'短评内容': '酒店还不错，就是价格贵了点！', '短评打分': 4}
{'短评内容': '应该是县城里最好的酒店了吧 房间大 服务好，交通方便，汽车站有公交车直达中餐直接在酒店餐厅吃的，量足味道好宾馆有个女保安（警察）超热情，帮我们问路拦的士，赞一个早餐虽然品种不多，但米粉用的高汤，浇头，佐料也有很多选择 好吃', '短评打分': 4}
{'短评内容': '位置不错，距离周边夜市美食不远，门口可停车，房间设施除了略陈旧，早餐标准简单的有点惊人。整体在紫云县算是可以了。', '短评打分': 4}
{'短评内容': '酒店ok..服务员热情可人，早餐种类特别少，但肉粉留下了完美', '短评打分': 5}
{'短评内容': '在紫云县算得上是最好的酒店吧，酒店门口就有停车场，位置在中心地段。服务态度挺好，酒店虽然不是很新，但卫生不错。', '短评打分': 4}
{'短评内容': '酒店还不错，性价比高，而且国庆假期期间还没涨价。', '短评打分': 4}
{'短评内容': '酒店还不错，性价比高，而且国庆假期期间还没涨价。', '短评打分': 4}
{'短评内容': '酒店不错，看出来是以前的政府接待主要场所，设施有些老化，但总体很不错，来紫云就选它了。', '短评打分': 5}
{'短评内容': '200多元一晚，还有丰富的早餐，当地最好的宾馆，性价比超高，至今难忘。', '短评打分': 5}
{'短评内容': '200多元一晚，还有丰富的早餐，当地最好的宾馆，性价比超高，至今难忘。', '短评打分': 5}
{'短评内容': '一般的三星宾馆，也没什么特别好与不好的，县城唯一的宾馆了', '短评打分': 3}
{'短评内容': '酒店位于中心城区，房间宽敞，服务态度好，停车方便。', '短评打分': 5}
{'短评内容': '条件还不错，紫云最好的酒店了，没别的可选', '短评打分': 3}
{'短评内容': '服务好，在当地酒店中环境算不错的了。', '短评打分': 3}
{'短评内容': '应该算是紫云好点的酒店了，258的价格真心有点贵，因为酒店设施有点旧了，配套将就，起来晚了，早餐没有去吃。', '短评打分': 4}
{'短评内容': '在紫云这样的小地方，应该算很不错了，房间有异味，其他都还可以，推荐。', '短评打分': 5}
{'短评内容': '在一个县城来说还是很不错的了. \r\n卫生间淋浴房内沐浴洗发液挂的位置建议改一下.一是挂得太高了,不要说儿童,就是身高稍低一些的成人都有些够不着,西南地区的人,特别是女性,身高普遍都不高,不知挂这么高是怎么考虑的. 二是位于喷头位置的里侧,如果大人想帮小孩子去挤出沐浴液,就必须关水,否则就会淋得透湿,建议挂在外侧的墙上．\r\n宾馆内的餐厅仿佛是专为会议或团队设立的, 基本上只能提供桌菜(即配好了的一桌', '短评打分': 5}
