{'短评内容': '一直在这住 还不错', '短评打分': 5}
{'短评内容': '还行吧', '短评打分': 4}
{'短评内容': '这就是携程提供给客人的四星级豪华酒店   真醉了  订了2晚 要求携程住把还没住的一晚退了 携程记然说要和酒店勾通 一小时后来电话说 明早十点才能答复  就是拖着了  换了2个房间 第一个房间有个不知道是机器  嗡嗡嗡响   吵得不行  给换了一个房间是个带麻将桌的房间  里面哪味道真是一辈子难忘  四个字  酸甜苦辣  什么味道都齐了  这都忍下了 1.2米的床2张 记然配1.3米的被子  还是', '短评打分': 1}
{'短评内容': '酒店不错，房间很干净', '短评打分': 5}
{'短评内容': '没吃早餐不知道唉，但是位置比较好，附近有许多商业街，买衣服，买鞋子，填饱肚子都不是问题。酒店干净整洁，装修精致，空调降温快。设施齐全。', '短评打分': 5}
{'短评内容': '环境一级棒，当然了价格也不是特别贵。环境真心赞，服务也是超级棒。强烈推荐这个酒店', '短评打分': 5}
{'短评内容': '位置很好，周围吃饭玩耍都很方便，房间很高级，冬天非常暖和，好评，点赞', '短评打分': 5}
{'短评内容': '环境很好 暖气很足', '短评打分': 5}
{'短评内容': '不错嗯就是那个普通房有点太低挡了床太低狗的风很高档很', '短评打分': 5}
{'短评内容': '不错不错不错不错很大房间很大很高档很豪华', '短评打分': 5}
{'短评内容': '环境不错！价格合理！值得推荐✔！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '非常满意', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '服务还好，房间很暗，设备有点旧', '短评打分': 4}
{'短评内容': '商务旅游非常好！', '短评打分': 5}
{'短评内容': '性价比绝对可以，环境够风格', '短评打分': 4}
{'短评内容': '性价比一般，替朋友定的这家酒店，反馈不好，下次不住这家酒店了', '短评打分': 1}
{'短评内容': '酒店很不错，很有风格，离王城公园很紧，环境比较好。', '短评打分': 3}
{'短评内容': '真的不怎么样，价格太高，酒店规模太小，与要的价格不相符，有上当的感觉！！！！！！！室内空气不好！特别是床上的被子、单子不干净，床单上发现有脚印！！！脏！！！', '短评打分': 1}
{'短评内容': '欧式风格，很讲究。干净整洁。服务很好，很周到。登记时就送上一杯水，入住就送水果。服务到位。只是门面小了一点。', '短评打分': 5}
{'短评内容': '服务态度不错，减20元还送水果。唯一缺点是房间太小', '短评打分': 3}
{'短评内容': '装修一般，厕所太小，所谓四星，实则两星！唯一安慰，送的水果不错！', '短评打分': 1}
{'短评内容': '这家酒店卫生间毛巾十分硬，用起来很不舒服，水龙头出水速度太快，一开就溅的到处都是，最差的就是淋浴，忽冷忽热，那个挤压出来的洗发水任你怎么按就是出不来，真不知道这家酒店怎么还能收这么高的价格！', '短评打分': 1}
{'短评内容': '酒店员工挺热情，从龙门高铁站搭计程车到酒店23块！住的是行政房，房间挺大还配置电脑，就是浴室比较小！里面的家具有点旧，不像网上相片那么新！卫生一般般，房间整个氛围适合情侣入住！', '短评打分': 3}
{'短评内容': '像是土财主开的酒店。服务态度还不错，但是服务意识和水平较差。\n特别是在走廊上整理被套和枕套。', '短评打分': 1}
{'短评内容': '非常不错呢，而且也比较新，总之很满意的呵呵，下次来还会住在这里的，推荐', '短评打分': 5}
{'短评内容': '总体还好！就是舍不得开空调！装潢很现代，但早餐很一般，地段很好，', '短评打分': 5}
{'短评内容': '服务很好，进门就有咖啡奶茶，管理到位，貌似每天都要开会！配套设施差', '短评打分': 5}
{'短评内容': '服务观念很强，理念很好！就是配套设施有待加强！除了室内装修外，实在看不出哪里像四星级', '短评打分': 5}
