{'短评内容': '好，比较安静。', '短评打分': 5}
{'短评内容': '早餐不错', '短评打分': 4}
{'短评内容': '装修时间长了', '短评打分': 1}
{'短评内容': '周边环境很美，创业园可以转一转，文艺气息浓厚，酒店稍微有点霉味，好在能接受，设施稍有陈旧，但是是独特的老房子的感觉，是过去纺织厂宿舍改造的，不得不说早餐，很好吃，很丰富，酒店服务也还不错', '短评打分': 4}
{'短评内容': '交通方便，环境安静，不错', '短评打分': 5}
{'短评内容': '酒店不错！', '短评打分': 5}
{'短评内容': '微信总部所在地，结果什么也没有摇到！环境相当不错！', '短评打分': 5}
{'短评内容': '非常满意，下次还会入住。', '短评打分': 5}
{'短评内容': '去年广交会就住这里，今年继续，有班车接送，挺方便的，环境优美，性价比很高。服务不错，设施完善，值得推荐哦。', '短评打分': 5}
{'短评内容': '隔音差，环境好，卫生一般', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '非常安静的一家酒店，总体设施ok，希望能够改进下服务，另外，里面设施要进行维护，有些破损的及时更换下。', '短评打分': 3}
{'短评内容': '租了套复式套房来做出嫁的婚房！整体环境还不错！布置起来也很漂亮！就是配套设施没放好，小冰箱、电热水壶还要打电话去前台才拿过来！之前明明咨询过可不可以在门口喷礼炮，之前告知是可以的！临退房时又说不行，要弄干净才走！ 感觉服务没跟上！', '短评打分': 4}
{'短评内容': '很好的酒店~环境别致清幽~周围商业交通十分方便~', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '装修设施太久了点，其他都蛮好', '短评打分': 3}
{'短评内容': '广州纺园公寓酒店位置好，环境优雅，到珠影广场都比较近', '短评打分': 5}
{'短评内容': '周围环境还行，酒店空调噪声大、开门就是路没有安全感、早餐一般，不值300的价，200不到还差不多', '短评打分': 1}
{'短评内容': '广州纺园公寓酒店在小区里面，的位置交通方便，比较幽静，客村地铁站附近的酒店预订查询，赤岗纺织学校附近的酒店\n\n', '短评打分': 5}
{'短评内容': '广州纺园公寓酒店位置号，安静，位于新港中路。去广州国际会展中心和广州电视塔都比较近，值得入住', '短评打分': 5}
{'短评内容': '纺园公寓酒店的位置交通方便，到琶洲展馆比较近，打的10多块钱，到珠影广场也很近，附近饮食方便，娱乐方便！', '短评打分': 5}
{'短评内容': '广州纺园公寓酒店的价格小贵，不过位置交通方便，在小区里面，比较幽静，客村地铁站附近的，赤岗纺织学校附近的宾馆', '短评打分': 5}
{'短评内容': '广州纺园公寓酒店的位置交通方便，在小区里面，比较幽静，在客村地铁站附近的酒店预订查询，赤岗东纺织学校附近的酒店', '短评打分': 5}
{'短评内容': '广州纺园公寓酒店的位置交通方便，在小区里面，比较幽静，客村地铁站附近的酒店预订查询，赤岗纺织学校附近的宾馆', '短评打分': 5}
{'短评内容': '广州纺园公寓酒店非常安静，出行方便，到客村地铁站走路估计6分钟左右，广州电视塔也很方便，打的起步价', '短评打分': 5}
{'短评内容': '环境很清幽，房间也不错 。值的这个价位。。。只是 ，酒店人员的素质有必要提高。昨天傍晚，酒店人员 送早餐卷来。一般是从门缝塞进来的 ，那时我在睡觉。我迷糊中听到有人敲门说送餐卷。之后，我还没玩全醒来，那个人就直接开我的房门进来。。。把我给吓坏了。。。连道歉一句都没有。房间有电话，如果有什么要紧事是可以打来的 。不是，二话不说直接开客人的房门。况且只是一张早餐卷。日后，有交易会还是会住这里的！素质很', '短评打分': 5}
