{'短评内容': '房间不大，装修已经陈旧啦，地理位置不错，靠近骡马市', '短评打分': 3}
{'短评内容': '因为公务地点就在酒店对面，所以这次选择了九龙，对比一下上次住的附近另一家。正像大家评论的那样，酒店有点老，设备陈旧，但卫生非常好，感觉酒店在软件方面正在逐步完善，比如卫生间手巾毛巾浴巾都是新的，床品也都是新的，烧水壶也是崭新的。2楼的餐厅全新装修好，用餐环境一流，早上的自助餐花色品种味道都很赞，这样的价格真正物超所值。房卡套上还印有从酒店出门去各景点的抵达方式，细节决定成败，赞赞赞。以后将成为它的', '短评打分': 5}
{'短评内容': '很不错的选择', '短评打分': 5}
{'短评内容': '酒店位置便利，早餐丰富，就是因为盖得较早，有些老派', '短评打分': 4}
{'短评内容': '价格再优惠点就好', '短评打分': 5}
{'短评内容': '住了很多天了，环境很不错，洗漱用品也都是五星级标准', '短评打分': 5}
{'短评内容': '不错，特别是酒店的工作人员服务态度很好。点个赞！', '短评打分': 5}
{'短评内容': '挺不错的。很值。这个价位已经不错了。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '房间有点陈旧，交通还是很方便', '短评打分': 5}
{'短评内容': '很喜欢该酒店，凡到成都，都会住该酒店。', '短评打分': 5}
{'短评内容': '停车场很好，非常适合自驾住宿。', '短评打分': 5}
{'短评内容': '物廉价美', '短评打分': 5}
{'短评内容': '感觉挺好的，早餐也很丰富，要是再去成都，还是想住那里', '短评打分': 5}
{'短评内容': '地理位置优越，出门方便，但临亍稍吵。房间设施比较陈旧，早餐我喜欢', '短评打分': 4}
{'短评内容': '交通方便，也比较干净。', '短评打分': 5}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '很不错的酒店，周边餐饮集中，出行方便，前台态度很好，客房，餐厅服务都很到位，推荐!', '短评打分': 5}
{'短评内容': '设施一般，服务很好', '短评打分': 5}
{'短评内容': '位置好，离医院很近', '短评打分': 4}
{'短评内容': '交通、吃饭都很方便，单间一个人住还好。', '短评打分': 3}
{'短评内容': '老牌三星级酒店，一切中规中矩，地理位置方便，四通八达。', '短评打分': 5}
{'短评内容': '房间太小了， 单间价格太不值了，早餐也过于简单，好像乞丐吃的，希望改进。', '短评打分': 1}
{'短评内容': '服务很好，值得推荐', '短评打分': 3}
