{'短评内容': '一般、就是太贵了', '短评打分': 2}
{'短评内容': '位于市中心，其实酒店环境很好，只是酒店比较老了，设施设备也就没那么好，不过价格也便宜。挺好', '短评打分': 5}
{'短评内容': '星级酒店在这个小县城来说已经很好啦。房间干净卫生！', '短评打分': 5}
{'短评内容': '垃圾酒店，特别吵，无线信号差的离谱，竟然还没有发票，以后再也不住了', '短评打分': 1}
{'短评内容': '脏，乱，差，太脏，迫不得已才选这里', '短评打分': 1}
{'短评内容': '还好吧 凑合   这个价位也就这样了', '短评打分': 3}
{'短评内容': '很一般、感觉很旧环境也不是太好，还没停车场让我们先停门口，害我们被罚款还被扣分。', '短评打分': 3}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '酒店位置挺好 就是房间太差 连热水都没有 临时安排房间洗澡才解决一身男人味', '短评打分': 5}
{'短评内容': '一般，过得去', '短评打分': 4}
{'短评内容': '看评论不怎么样，挂电话客服说住的人多以为评论可能有偏差，到哪一住才知道，别人评论的是多么正确。住的人是多全是旅游团。房间根本不隔音墙我敲了一下根本就是不是砖的，是木头板隔开的。走廊上小孩跑，服务员走路、说话听的是一清二楚。根本就睡不好觉。本来要住2天的住了一天就走了，走之前上躺卫生间马桶水箱还不好使了。真不明白就这条件还开酒店呢 而且还好意思160一晚。这是我本次成都、重庆、昆明、版纳这几个地方住', '短评打分': 1}
{'短评内容': '房间设施和勐腊绿宝石的差不多，但价格却差了400，不厚道啊', '短评打分': 1}
{'短评内容': '性价比严重不符，放到其他时间最多卖100多，春节居然卖500多，太黑了', '短评打分': 1}
{'短评内容': '价格与硬件品质严重不符，不建议大家入住该酒店', '短评打分': 1}
{'短评内容': '房间不是太大，桌椅全无，意外啊！还要重新付费！', '短评打分': 3}
{'短评内容': '酒店不错，就是过年期间价格贵了。放在平常100多块的价格，性价比高！', '短评打分': 5}
{'短评内容': '地理位子好，听不见汽车声音，服务态度还好，但厕所很臭', '短评打分': 5}
{'短评内容': '酒店环境很好，服务很好，但酒店房间设施一般。', '短评打分': 3}
{'短评内容': '不错,房间干净,服务好', '短评打分': 3}
{'短评内容': '有接机（免费）服务，好像没有早餐，环境比较好。走廊如果有人走路或说话，房间里听的很清楚，房间打扫很马虎哦，我们住3天，服务员就没扫过地！无奈。', '短评打分': 5}
{'短评内容': '这是家经济实惠的酒店 (确切的说, 是客栈). 虽然酒店的设施不奢侈, 但是, 对于背包族旅客来说, 非常好. 酒店的地理位置不错, 步行可以到任何地方(景洪市很小). 问题是这家酒店主要是接待旅行团的, 所以, 每逢夜间, 旅行团到达之后, 都是一片嘈杂之声.', '短评打分': 5}
{'短评内容': '地理位置一般，服务也一般，但周围生活比较方便', '短评打分': 1}
{'短评内容': '格调不错，正在新修有点吵，网速慢，晚上掉线居然无人修，要等第二天修。', '短评打分': 1}
{'短评内容': '很一般的，就跟小旅馆差不多，挂着菩提岛的大名，', '短评打分': 1}
