{'短评内容': '不错，不错！老板娘有来接。做的菜，也很可口', '短评打分': 5}
{'短评内容': '环境好', '短评打分': 4}
{'短评内容': '早餐没吃，但是老板娘厨艺非常不错，晚餐在他家吃的，不能加床，家庭房适合带孩子，', '短评打分': 5}
{'短评内容': '很好啊，老板人不错，我们去的晚给留了一个大房间。晚上飞机到的晚去接的我们，第二天走还把行李给送到码头，谢谢老板', '短评打分': 5}
{'短评内容': '老兵老板很好，打电话过来接的，走的时候免费把行李送去码头，很遗憾我们去的时候老板娘没有在家，所以没有迟到老板娘做的菜，在西天景区旁边，很好', '短评打分': 5}
{'短评内容': '老板会提供普陀山景区的小地图，还顺便讲解了下旅游路线，对第一次来普陀山的我帮助很大，非常感谢。都说普陀山一来要来三年，明年继续来！', '短评打分': 5}
{'短评内容': '房间打扫的很干净，睡的很舒服。晚餐也是老板家吃的，阿姨烧的菜味道非常不错。普陀山上走走停停，体会一下宁静、放松的生活非常不错！有机会下次多来住几天，修心养性！', '短评打分': 5}
{'短评内容': '朋友推荐的这家客栈不错，房间收拾的很干净，设施很齐全，热水很给力，老板一家人服务很周到，非常满意，推荐大家来住！', '短评打分': 5}
{'短评内容': '好评，叔叔阿姨很热情。饭菜也烧的特别好吃。下次一定再来！', '短评打分': 5}
{'短评内容': '就在西天景区入口。周边吃饭、出行都很方便，总体不错，性价比高', '短评打分': 5}
{'短评内容': '酒店离观音寺很近。地理位置不错，可惜的是我们是最后一拨客户了，老板将搬到西山，老板娘人不错，煮的饭菜味道不错，实惠。', '短评打分': 4}
{'短评内容': '因为外婆突然去世，就没有住，费用预付的不能退，不过老板还是打电话过来问了什么时候到', '短评打分': 5}
{'短评内容': '环境一般，价格偏高。老板娘做饭挺好吃。', '短评打分': 4}
{'短评内容': '干净，出行方便，饭菜可口，服务周全，谢谢啦！', '短评打分': 3}
{'短评内容': '谢谢啦！阿姨，酒店有种家的感觉，服务很好，阿姨的饭菜相当可口，听说要搬到西山二区了，不过那里都是新房子，下次一定光顾。', '短评打分': 3}
