{'短评内容': '房间设施有待提高，且早餐不是很丰富', '短评打分': 3}
{'短评内容': '说实话，位置不太好，出门去哪都不方便。尤其是公交回来要走的那个立交桥，累死人！但是负责接待的大姐很和善。', '短评打分': 1}
{'短评内容': '不错，如果下次来，尚客优是个不二之选。如果有提什么建议的话，之前有人反映过热水不足，门缝过大。希望贵店能适当解决！', '短评打分': 5}
{'短评内容': '去黄岛，尚客优（青岛黄河中路店）是你最佳选择。门前公交东去乘快船可去青岛，坐公交穿海底隧道，太方便！', '短评打分': 5}
{'短评内容': '总体感觉不错，很经济。唯一不足的是大门不是密封的，外面吵得话能听见', '短评打分': 5}
{'短评内容': '地方很偏，几个女孩子住晚上走夜路很吓人，标间挺宽敞的，就是水忽冷忽热的', '短评打分': 1}
{'短评内容': '这是第二次住了。这次有点不爽的是房间位置不好，在一楼，挺吵的，别的都还不错', '短评打分': 5}
{'短评内容': '挺好的，前台人很好，很干净\n而且价格也很合适', '短评打分': 5}
{'短评内容': '酒店内还有乒乓球台子，休闲时候可以打打球，很放松，身体不疲倦，床很大，舒服哈哈', '短评打分': 5}
{'短评内容': '是你旅游休息的舒服住所，很安静，早餐很及时，丰盛，价格合适', '短评打分': 5}
{'短评内容': '房间床很大，很舒服，早餐很丰富，值得留宿', '短评打分': 5}
{'短评内容': '今天退房怎么不返那三十?', '短评打分': 3}
{'短评内容': '去堆场很方便，住宿条件还不错。但是黄岛就什么也没有，所以住在这个位置和住在黄岛市区没什么区别。', '短评打分': 5}
{'短评内容': '卫生干净，服务态度好。距离新街口很近。酒店门口有公交站，新街口西。交通方便。', '短评打分': 5}
{'短评内容': '房间不错，就是附近吃饭什么的不太方便，早饭太简单了，其他都好', '短评打分': 5}
{'短评内容': '很干净很舒服……就是地方有点难找…', '短评打分': 3}
{'短评内容': '房间不错，很干净，感觉很宽敞，就是电视频道有点少', '短评打分': 5}
{'短评内容': '房间挺不错，热水和早餐都挺方便。房间也挺干净，入住挺顺利。', '短评打分': 5}
{'短评内容': '很满意，干净舒适，只是淋浴的喷头坏了，呵呵，无所谓啦，挺好的!', '短评打分': 3}
{'短评内容': '没有热水', '短评打分': 3}
{'短评内容': '条件和环境还不错，就是没有无线网络信号，有点遗憾', '短评打分': 5}
{'短评内容': '浴室建议增加置物篮，不用成包的洗发沐浴液，牙缸太小。优点，房间很大，干净整洁，设施齐全很好以后还会入住', '短评打分': 3}
{'短评内容': '干净整洁、房间很温馨，无骚扰电话，服务态度好，值得推荐', '短评打分': 5}
{'短评内容': '房间很不错就是感觉床有点小', '短评打分': 3}
{'短评内容': '空间蛮大 卫生间很大 蛮干净 前台服务很好 卫生间的墙是透明的 如果上网是无线的就更好了', '短评打分': 5}
{'短评内容': '新装修的，房间干净，人员服务态度很好，最关键的是还有早餐，很是难得，就是有点偏，离市区较远，实惠值得推荐!', '短评打分': 3}
{'短评内容': '酒店服务不错，很人性化。特别是早餐还可以。', '短评打分': 5}
