{'短评内容': '酒店比较旧，主要是很潮湿。位置还可以', '短评打分': 3}
{'短评内容': '设施有点旧', '短评打分': 5}
{'短评内容': '位置还可以，就是设施老旧，早餐极差。', '短评打分': 3}
{'短评内容': '位置还可以，就是设施老旧，早餐极差。', '短评打分': 3}
{'短评内容': '酒店规模还行，就是设备有些陈旧有霉味', '短评打分': 5}
{'短评内容': '设施旧了点。房间的墙纸都褪色了，房间还有异味。好的是离海滩很近，走路5分钟不到，非常便捷。另外，自助式早餐不行，品种过少。', '短评打分': 4}
{'短评内容': '比较旧的了，感觉一般', '短评打分': 3}
{'短评内容': '除了从新装修不然不会再来住，太旧了、霉味很重建议大家选择别的酒店', '短评打分': 3}
{'短评内容': '房间味道很重，酒店后面有个沙滩，但也得走蛮久的，早餐很差，建议不要选。酒店有很多很多栋，办理入住在浪琴轩，完全没指示', '短评打分': 2}
{'短评内容': '唉！一般般，设备老化，沙发都破了，不知道要说那里好了', '短评打分': 3}
{'短评内容': '一般，比较旧。', '短评打分': 3}
{'短评内容': '还行吧，就是厕所小点，空调冷点，其它的还好。', '短评打分': 5}
{'短评内容': '房間很大!\n夏季應該很不錯\n但冬天沒暖气\n太冷了!', '短评打分': 1}
{'短评内容': '十设施陈旧，早餐简单', '短评打分': 3}
{'短评内容': '房间很大，比较干净 有一大一小双床，很适合2+1的家庭', '短评打分': 5}
{'短评内容': '住的是家庭房，作为4星级酒店来说硬件设施一般，卫生不错，房价稍贵。工作人员服务态度很好。', '短评打分': 5}
{'短评内容': ' 环境还不错…', '短评打分': 3}
{'短评内容': '酒店总体上令人满意', '短评打分': 3}
{'短评内容': '这是我住过最烂的酒店。偶预定的是标准套房，入住时候发现只是个单间，房间大一点而已。\n1、房间内很重的塑料味，无法去除\n2、空调时有时无，晚上热得无法入睡\n3、房顶上居然有老鼠\n4、洗手间异常的臭味。\n而且服务态度奇差无比。', '短评打分': 1}
{'短评内容': '住的是别墅，感觉不好，蚊子多，靠近路边比叫吵，床太软，枕头太高太硬，早餐很差！极不推荐。', '短评打分': 3}
{'短评内容': 'Very good, comfortable, high graded hotel.', '短评打分': 5}
{'短评内容': '目前东山岛最好的酒店，位置不错，交通也挺方便，就是到海边要绕道，稍微远了一点。', '短评打分': 5}
{'短评内容': '景色很美', '短评打分': 3}
{'短评内容': '听酒店的人说2月6日有中央领导来，所以把我们的房间给替换了，真不公平，难道我们老百姓就低人一等吗，真气人。这家酒店也不怎么样，我们定的家庭房，3人入住，才给2床被子，向酒店要被子，她竟然说没有，服务太差。', '短评打分': 1}
{'短评内容': '怪自己订房时没注意地点。乘车到漳州时才知道酒店离市区还有一百多公里。当时时间已晚，只能在市区里另外再找酒店了。留个遗憾，下次找机会再去。', '短评打分': 5}
{'短评内容': '酒店位置是确实好，这里海滩风景特别好!对海泳/散步或看日出都非常方便。冬季海滩气氛也有特别气味。', '短评打分': 5}
{'短评内容': '   东山岛马鸾湾的这家酒店位置有些不好找，路边的标识不明显，但酒店在海边，风景和沙滩很不错，也比较安静，是个度假的好地方，有空还可以再去！', '短评打分': 5}
{'短评内容': '+房间有点旧了,设备还算齐全,最值得的是那张两米的大床', '短评打分': 5}
{'短评内容': '位置比较好，走5分种可到沙滩，值得一住。特别空调比较冷', '短评打分': 5}
{'短评内容': '这次由于是商务招待，只能住高星级的酒店，而东山岛只有这家是四星级的，而且是最高的星级，所以只能选择入住了。入住后感觉环境还不如三星，但酒店的位置确实非常好，不论是海泳还是看日出都非常方便。第二天早上吃早餐时，居然在餐厅外看到一头被捕的老鼠在门口狂叫，而且没有服务员清理现场，太恐怖了', '短评打分': 5}
{'短评内容': '我个人觉得酒店星级不达标.（硬件条件方面不好）交通还算方便，出门就有公交车.不过晚上打车也不是很方便.', '短评打分': 1}
{'短评内容': '房价高了些。其他都很好。', '短评打分': 5}
{'短评内容': '性价比稍差,即房价稍贵.其他都很好', '短评打分': 5}
{'短评内容': '值得入住的酒店……', '短评打分': 5}
{'短评内容': '3月29日入住的，进岛的大路在修，要绕一个大圈才到酒店。酒店设施一般，环境还行，服务态度很好。这个价格的酒店，马马虎虎还可以了。', '短评打分': 3}
{'短评内容': '环境很好，旁边就是海滩，进岛的道路在修，开车绕了一大圈才到。服务很好，设施一般。酒店占地很大，在岛上算是很好的酒店了。', '短评打分': 3}
{'短评内容': '3月29日入住的，进岛的大路在修，要绕一个大圈才到酒店。酒店设施一般，环境还行，服务态度很好。这个价格的酒店，马马虎虎还可以了。', '短评打分': 5}
{'短评内容': '房间照明不是特别理想，有蚊子，有点潮，不过服务不错！早餐也相当不错！', '短评打分': 5}
{'短评内容': '都还好，就是蚊子特别多。', '短评打分': 5}
{'短评内容': '海景酒店但是去看不到海', '短评打分': 5}
{'短评内容': '酒店的环境设施都还不错，但是根本看不到海,和我想象的海景大酒店的感觉不太一样.', '短评打分': 5}
