{'短评内容': '服务很好。以后会常来', '短评打分': 5}
{'短评内容': '没有自己的停车场，不方便。其他还好', '短评打分': 4}
{'短评内容': '性价比高，周边太闹', '短评打分': 3}
{'短评内容': '性价比高，值得推荐', '短评打分': 4}
{'短评内容': '无停车场，', '短评打分': 4}
{'短评内容': '这个酒店让我很不满意，可以说是这么多年出差旅游住过的最差的一个，没有之一…首先，酒店大堂在7楼，而二楼就是洗浴中心，负一楼是酒吧，晚上噪音可想而知…其次，酒店设施设备陈旧，而且卫生打扫不干净，洗澡的时候竟然在淋浴开关上还挂着一大撮头发，让人很恶心…忘了，我入住的价格是近500元一晚…', '短评打分': 2}
{'短评内容': '酒店价格在赤水属中上水平，但设备都陈旧了，停车也不方便，建议酒店可以翻新了。除了老城区这个优势上性价比并不高。又吵这样下去会影响生意', '短评打分': 3}
{'短评内容': '服务态度好热情周到', '短评打分': 5}
{'短评内容': '还不错，定了两晚上但由于有急事就退了一晚，酒店前台服务也很好，过了规定退房的时间，也没有加收费用，很不错', '短评打分': 5}
{'短评内容': '酒店位置不错，但也就仅仅是位置。酒店停车不方便，没有自己的停车场。特别不好的是晚上楼下还是其它什么地方有一个迪厅，强烈的鼓点节奏一直延续到凌晨，让人无法入睡。好容易等到迪厅安静了，刚睡没多久，楼下有传来处理垃圾的声音（楼下路边有两个大的垃圾箱）让人整晚都没办法睡觉。酒店国庆期间5百多的房价，这是我住过性价比最差的酒店！', '短评打分': 3}
{'短评内容': '酒店环境和位置都不错，值得再次入住！', '短评打分': 4}
{'短评内容': '酒店环境和位置都不错，值得再次入住！', '短评打分': 4}
{'短评内容': '总体还可以.早餐太单调.在赤水位置很好', '短评打分': 3}
{'短评内容': '总体还可以.早餐太单调.在赤水位置很好.', '短评打分': 3}
{'短评内容': '哈哈哈哈哈哈哈哈哈哈哈哈哈哈', '短评打分': 3}
{'短评内容': '酒店开张半年，设备硬件很好，房间宽敞，被褥干净，交通便利，尤免费早餐地道家常饭，非常好吃。王悦', '短评打分': 3}
{'短评内容': '房间比较小，不过服务还是比较好的，卫生也可以', '短评打分': 3}
